Acquisition,SemesterEffective,FormerUHCourseNumber,FormerUHCourseTitle,ReplacementUHCourseNumber,ReplacementUHCourseTitle,Reference
Manual,202103,ANTH 1300,Introduction to Anthropology,ANTH 2346,Introduction to Anthropology,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ANTH 2301,Introduction to Physical Anthropology,ANTH 2301,Introduction to Physical Anthropology,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ANTH 2302,Introduction to Cultural Anthropology,ANTH 2351,Introduction to Cultural Anthropology,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ANTH 2303,Introduction to Archeology,ANTH 2302,Introduction to Archeology,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ARAB 2301,Intermediate Arabic I,ARAB 2311,Intermediate Arabic I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ARAB 2302,Intermediate Arabic II,ARAB 2312,Intermediate Arabic II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ART 1301,Fundamentals of Drawing,ARTS 1316,Fundamentals of Drawing,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ART 1304,Fundamentals of Painting,ARTS 2316,Fundamentals of Painting,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ART 1310,Fundamentals of Printmaking,ARTS 2333,Fundamentals of Printmaking,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ART 1330,Fundamentals of Graphic Design,ARTS 1311,Fundamentals of Graphic Design,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ART 1350,Fundamentals of Ceramics,ARTS 2346,Fundamentals of Ceramics,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ART 1360,Fundamentals of Sculpture,ARTS 2326,Fundamentals of Sculpture,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ART 1371,Fundamentals of Photography/Digital Media,ARTS 2356,Fundamentals of Photography/Digital Media,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ART 1382,Digital Tools,ARTS 2348,Digital Tools,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ART 3300,Intermediate Drawing,ARTS 1317,Drawing II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ART 3303,"Color, Materials and Methods",ARTS 2311,"Color, Materials and Methods",https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ART 3306,Watercolor,ARTS 2366,Watercolor,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ARTH 1380,Art and Society: Prehistoric to Gothic,ARTS 1303,Art History I (Prehistoric to the 14th Century),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ARTH 1381,Renaissance to Modern,ARTS 1304,Art History II (15th Century to the Present),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ASLI 1301,Elementary Sign Language I,SGNL 1301,Elementary Sign Language I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ASLI 1302,Elementary Sign Language I,SGNL 1302,Elementary Sign Language II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ASLI 2301,Intermediate Sign Language I,SGNL 2301,Intermediate Sign Language I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ASLI 2302,Intermediate Sign Language I,SGNL 2302,Intermediate Sign Language II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,BIOL 1134,Human Anatomy & Physiology Laboratory I,BIOL 2101,Anatomy & Physiology Laboratory I (lab),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,BIOL 1144,Human Anatomy & Physiology Laboratory II,BIOL 2102,Anatomy & Physiology Laboratory II (lab),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,BIOL 1153,Prenursing Microbiology Laboratory,BIOL 2120,Microbiology for Non-Science Majors Laboratory (lab),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,BIOL 1161,Introduction to Biological Science Laboratory 1,BIOL 1106,Biology for Science Majors I (lab),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,BIOL 1162,Introduction to Biological Science Laboratory 2,BIOL 1107,Biology for Science Majors II (lab),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,BIOL 1309,Human Genetics and Society,BIOL 1319   ,Human Genetics and Society   ,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,BIOL 1310,General Biology 1,BIOL 1308,Biology for Non-Science Majors I (lecture),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,BIOL 1320,General Biology 2,BIOL 1309,Biology for Non-Science Majors II (lecture),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,BIOL 1334,Human Anatomy & Physiology 1,BIOL 2301,Anatomy & Physiology I (lecture),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,BIOL 1344,Human Anatomy and Physiology 2,BIOL 2302,Anatomy & Physiology II (lecture),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,BIOL 1353,Prenursing Microbiology,BIOL 2320,Microbiology for Non-Science Majors (lecture),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
