Department,Catalog Number,Description,"Core Code",FA19 Component Area,"Listed (DL)","FALL 2019 CHANGE",TCCN2019
ENGL,1303,First Year Writing I,10,Communication,,,ENGL 1301
ENGL,1304,First Year Writing II,10,Communication,,,ENGL 1302
ENGL,1370,Freshman Composition II - Honors,10,Communication,,,
ENGL,2361,Western World Literature II - Honors,10,Communication,,,
MATH,1310,College Algebra,20,Mathematics,,,MATH 1314
MATH,1311,Elementary Mathematical Modeling,20,Mathematics,,,MATH 1332
MATH,1312,Introduction to Mathematical Reasoning,20,Mathematics,DBL,,
MATH,1313,Finite Mathematics with Applications,20,Mathematics,DBL,,
MATH,1314,Calculus for Business and the Life Sciences,20,Mathematics,DBL,,
MATH,1330,Precalculus,20,Mathematics,DBL,,
MATH,1431,Calculus I,20,Mathematics,DBL,,
MATH,1450,Accelerated Calculus,20,Mathematics,DBL,,
MATH,2311,Introduction to Probability and Statistics,20,Mathematics,DBL,,
BIOL,1305,Human Biology for the Informed Citizen,30,Life & Physical Sciences,,,
BIOL,1309,Human Genetics and Society,30,Life & Physical Sciences,,,
BIOL,1310,General Biology 1,30,Life & Physical Sciences,,,BIOL 1308
BIOL,1320,General Biology 2,30,Life & Physical Sciences,,,BIOL 1309
BIOL,1361,Introduction to Biological Science,30,Life & Physical Sciences,,,BIOL 1306
BIOL,1362,Introduction to Biological Science,30,Life & Physical Sciences,,,BIOL 1307
BIOL,2315,Biology of Food,30,Life & Physical Sciences,,New Fall 2019,
CHEM,1301,Foundations of Chemistry,30,Life & Physical Sciences,,,CHEM 1306
CHEM,1331,Fundamentals of Chemistry,30,Life & Physical Sciences,,,CHEM 1311
CHEM,1332,Fundamentals of Chemistry 2,30,Life & Physical Sciences,,,CHEM 1312
GEOL,1302,Introduction to Global Climate Change,30,Life & Physical Sciences,,,
GEOL,1330,Physical Geology,30,Life & Physical Sciences,,,GEOL 1303
GEOL,1340,Earth Systems,30,Life & Physical Sciences,,,
GEOL,1350,Introduction to Meteorology,30,Life & Physical Sciences,,,
GEOL,1360,Introduction to Oceanography,30,Life & Physical Sciences,,,
GEOL,1370,Natural Disasters,30,Life & Physical Sciences,,,
GEOL,1376,Historical Geology,30,Life & Physical Sciences,,,GEOL 1304
NUTR,2332,Introduction to Human Nutrition,30,Life & Physical Sciences,,,
PHAR,2362,Principles of Drug Action,30,Life & Physical Sciences,,,
PHYS,1301,Introductory General Physics I,30,Life & Physical Sciences,,,PHYS 1301
PHYS,1302,Introductory General Physics II,30,Life & Physical Sciences,,,PHYS 1302
PHYS,1305,Introductory Astronomy - The Solar System,30,Life & Physical Sciences,,,
PHYS,1306,"Introductory Astronomy - Stellar and Galactic
Systems",30,Life & Physical Sciences,,,
PHYS,1321,University Physics I,30,Life & Physical Sciences,,,PHYS 2325
PHYS,1322,University Physics II,30,Life & Physical Sciences,,,PHYS 2326
AAS,2320,Introduction to African American Studies,40,"Language, Philosophy, & Culture",,,
AAS,2330,Black Liberation Theology,40,"Language, Philosophy, & Culture",,,
ARAB,3340,Modernity and Rationalism in Islamic Tradition,40,"Language, Philosophy, & Culture",,,
