TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Fall 2013",ACCT,4105,1,"PPA Colloquium 1",Newman,"Michael Ray",,,,,,,
"Fall 2013",ACCT,4106,1,"PPA Colloquium 2",Newman,"Michael Ray",,,,,,,
"Fall 2013",ACCT,4107,1,"Oil and Gas Acct Colloquium",Newman,"Michael Ray",,,,,,,
"Fall 2013",ACCT,4396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Fall 2013",ACCT,7105,1,"MS/Accountancy Colloquium",Newman,"Michael Ray",,,,,,,
"Fall 2013",ACCT,7396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Fall 2013",ACCT,8999,2,"Doctoral Dissertation",Lobo,Gerald,,,,,,,
"Fall 2013",ACCT,8999,4,"Doctoral Dissertation",Lu,Tong,,,,,,,
"Fall 2013",ACCT,8999,5,"Doctoral Dissertation",Khumawala,"Saleha B",,,,,,,
"Fall 2013",ACCT,8999,6,"Doctoral Dissertation",Francia,"Arthur John",,,,,,,
"Fall 2013",ACCT,8999,7,"Doctoral Dissertation",Newberry,"Kaye J",,,,,,,
"Fall 2013",ANTH,6326,1,"Cultural Construction of HIV",Hutchinson,"Janice Faye",,,,,,,
"Fall 2013",ANTH,6399,1,"Masters Thesis",Hutchinson,"Janice Faye",,,,,,,
"Fall 2013",ANTH,6399,3,"Masters Thesis",Gordon,"Andrew J",,,,,,,
"Fall 2013",ANTH,6399,4,"Masters Thesis",Brown,"Kenneth L",,,,,,,
"Fall 2013",ANTH,6399,6,"Masters Thesis",Storey,Rebecca,,,,,,,
"Fall 2013",ANTH,7399,5,"Masters Thesis",Hutchinson,"Janice Faye",,,,,,,
"Fall 2013",ANTH,7399,7,"Masters Thesis",Rasmussen,"Susan J",,,,,,,
"Fall 2013",ARTH,4399,1,"Senior Honors Thesis",Costello,"Sarah Kielt",,,,,,,
"Fall 2013",ARTH,6394,8,"Sel Top in Art History",Powell,Amy,,,,,,,
"Fall 2013",BCHS,6113,1,"Graduate Biochemistry Seminar",Fox,"Robert O",,,,,,,
"Fall 2013",BCHS,6198,7,"Special Problems",Fox,"George Edward",,,,,,,
"Fall 2013",BCHS,6198,8,"Special Problems",Fujita,Masaya,,,,,,,
"Fall 2013",BCHS,6198,11,"Special Problems",Bark,Steven,,,,,,,
"Fall 2013",BCHS,6198,12,"Special Problems",Gunaratne,"Preethi H",,,,,,,
"Fall 2013",BCHS,6198,3,"Special Problems",Schwartz,"Robert J",,,,,,,
"Fall 2013",BCHS,6298,16,"Special Problems",Fox,"George Edward",,,,,,,
"Fall 2013",BCHS,6298,2,"Special Problems",Wang,Yuhong,,,,,,,
"Fall 2013",BCHS,6298,21,"Special Problems",Weihua,Zhang,,,,,,,
"Fall 2013",BCHS,6298,5,"Special Problems",Fox,"Robert O",,,,,,,
"Fall 2013",BCHS,6398,15,"Special Problems",Gustafsson,Jan-Ake,,,,,,,
"Fall 2013",BCHS,6398,16,"Special Problems",Gunaratne,"Preethi H",,,,,,,
"Fall 2013",BCHS,6398,17,"Special Problems",Fox,"Robert O",,,,,,,
"Fall 2013",BCHS,6398,18,"Special Problems",Bark,Steven,,,,,,,
"Fall 2013",BCHS,6398,8,"Special Problems",Schwartz,"Robert J",,,,,,,
"Fall 2013",BCHS,6498,10,"Special Problems",Willson,Richard,,,,,,,
"Fall 2013",BCHS,6498,16,"Special Problems",Fox,"Robert O",,,,,,,
"Fall 2013",BCHS,6498,19,"Special Problems",Briggs,"James M",,,,,,,
"Fall 2013",BCHS,6498,20,"Special Problems",Schwartz,"Robert J",,,,,,,
"Fall 2013",BCHS,6498,21,"Special Problems",Weihua,Zhang,,,,,,,
"Fall 2013",BCHS,6498,22,"Special Problems",Roman,"Gregg W",,,,,,,
"Fall 2013",BCHS,6598,16,"Special Problems",Gunaratne,"Preethi H",,,,,,,
"Fall 2013",BCHS,6598,17,"Special Problems",Fox,"Robert O",,,,,,,
"Fall 2013",BCHS,6598,18,"Special Problems",Fujita,Masaya,,,,,,,
"Fall 2013",BCHS,8199,9,"Doctoral Dissertation",Widger,"William R",,,,,,,
"Fall 2013",BCHS,8298,19,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Fall 2013",BCHS,8299,2,"Doctoral Dissertation",Widger,"William R",,,,,,,
"Fall 2013",BCHS,8398,8,"Doctoral Research",Willson,Richard,,,,,,,
"Fall 2013",BCHS,8498,4,"Doctoral Research",Gustafsson,Jan-Ake,,,,,,,
"Fall 2013",BCHS,8598,15,"Doctoral Research",Gustafsson,Jan-Ake,,,,,,,
"Fall 2013",BCHS,8598,18,"Doctoral Research",Wang,Yuhong,,,,,,,
"Fall 2013",BCHS,8698,14,"Doctoral Research",Willson,Richard,,,,,,,
"Fall 2013",BCHS,8698,20,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Fall 2013",BCHS,8998,1,"Doctoral Research",Willson,Richard,,,,,,,
"Fall 2013",BCHS,8998,10,"Doctoral Research",Fox,"George Edward",,,,,,,
"Fall 2013",BCHS,8998,11,"Doctoral Research",Fox,"Robert O",,,,,,,
"Fall 2013",BCHS,8998,18,"Doctoral Research",Fujita,Masaya,,,,,,,
"Fall 2013",BCHS,8998,21,"Doctoral Research",Gunaratne,"Preethi H",,,,,,,
"Fall 2013",BCHS,8998,6,"Doctoral Research",Gustafsson,Jan-Ake,,,,,,,
"Fall 2013",BCHS,8998,8,"Doctoral Research",Zhang,"Shaun Xiaoliu",,,,,,,
"Fall 2013",BCHS,8999,18,"Doctoral Dissertation",Gustafsson,Jan-Ake,,,,,,,
"Fall 2013",BCHS,8999,19,"Doctoral Dissertation",Gao,Xiaolian,,,,,,,
"Fall 2013",BIOE,1100,1,"Intro To Biomed Engineering",Chen,Ting,,,,,,,
"Fall 2013",BIOE,6121,1,"Graduate Bioengr Seminar","Akay PhD",Metin,,,,,,,
"Fall 2013",BIOE,6198,5,Research,Ince,"Nuri Firat",,,,,,,
"Fall 2013",BIOE,6198,6,Research,Sheth,"Bhavin R.",,,,,,,
"Fall 2013",BIOE,6298,1,Research,"Akay PhD",Metin,,,,,,,
"Fall 2013",BIOE,6298,4,Research,Gifford,Howard,,,,,,,
"Fall 2013",BIOE,6298,5,Research,Shevkoplyas,Sergey,,,,,,,
"Fall 2013",BIOE,6298,6,Research,Ince,"Nuri Firat",,,,,,,
"Fall 2013",BIOE,6398,1,Research,Birla,"Ravi K",,,,,,,
"Fall 2013",BIOE,6398,2,Research,"Akay PhD",Metin,,,,,,,
"Fall 2013",BIOE,6398,6,Research,May,"Elebeoba E",,,,,,,
"Fall 2013",BIOE,6398,7,Research,Das,"Vallabh E",,,,,,,
"Fall 2013",BIOE,6398,8,Research,Das,Mini,,,,,,,
"Fall 2013",BIOE,6498,4,Research,May,"Elebeoba E",,,,,,,
"Fall 2013",BIOE,6598,3,Research,Birla,"Ravi K",,,,,,,
"Fall 2013",BIOE,6598,4,Research,Shevkoplyas,Sergey,,,,,,,
"Fall 2013",BIOE,6598,5,Research,Contreras-Vidal,"Jose Luis",,,,,,,
"Fall 2013",BIOE,6598,6,Research,Sheth,"Bhavin R.",,,,,,,
"Fall 2013",BIOE,8198,1,"Doctoral Research","Akay PhD",Metin,,,,,,,
"Fall 2013",BIOE,8198,2,"Doctoral Research",Larin,Kirill,,,,,,,
"Fall 2013",BIOE,8198,5,"Doctoral Research",Omurtag,Ahmet,,,,,,,
"Fall 2013",BIOE,8198,6,"Doctoral Research",Gifford,Howard,,,,,,,
"Fall 2013",BIOE,8198,7,"Doctoral Research",Ince,"Nuri Firat",,,,,,,
