TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Summer 2016",ACCT,4396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Summer 2016",ACCT,7396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Summer 2016",ANTH,7199,1,Thesis,Gordon,"Andrew J",,,,,,,
"Summer 2016",ANTH,7399,1,"Masters Thesis",Brown,"Kenneth L",,,,,,,
"Summer 2016",BCHS,6198,10,"Special Problems",Wang,Yuhong,,,,,,,
"Summer 2016",BCHS,6198,7,"Special Problems",Schwartz,"Robert J",,,,,,,
"Summer 2016",BCHS,6298,2,"Special Problems",Widger,"William R",,,,,,,
"Summer 2016",BCHS,6298,9,"Special Problems",Briggs,"James M",,,,,,,
"Summer 2016",BCHS,6298,21,"Special Problems",Bark,Steven,,,,,,,
"Summer 2016",BCHS,6298,22,"Special Problems",Liu,Yu,,,,,,,
"Summer 2016",BCHS,6298,24,"Special Problems",Sen,Mehmet,,,,,,,
"Summer 2016",BCHS,6498,2,"Special Problems",Widger,"William R",,,,,,,
"Summer 2016",BCHS,6498,12,"Special Problems",Briggs,"James M",,,,,,,
"Summer 2016",BCHS,6498,2,"Special Problems",Liu,Yu,,,,,,,
"Summer 2016",BCHS,6498,21,"Special Problems",Bark,Steven,,,,,,,
"Summer 2016",BCHS,6498,24,"Special Problems",Sen,Mehmet,,,,,,,
"Summer 2016",BCHS,6598,4,"Special Problems",Wang,Yuhong,,,,,,,
"Summer 2016",BCHS,6598,6,"Special Problems",Schwartz,"Robert J",,,,,,,
"Summer 2016",BCHS,8298,8,"Doctoral Research",Bark,Steven,,,,,,,
"Summer 2016",BCHS,8498,7,"Doctoral Research",Bark,Steven,,,,,,,
"Summer 2016",BCHS,8698,5,"Doctoral Research",Willson,Richard,,,,,,,
"Summer 2016",BCHS,8698,6,"Doctoral Research",Briggs,"James M",,,,,,,
"Summer 2016",BCHS,8698,11,"Doctoral Research",Fujita,Masaya,,,,,,,
"Summer 2016",BCHS,8698,23,"Doctoral Research",Gustafsson,Jan-Ake,,,,,,,
"Summer 2016",BCHS,8698,24,"Doctoral Research",Wang,Yuhong,,,,,,,
"Summer 2016",BCHS,8698,28,"Doctoral Research",Gunaratne,"Preethi H",,,,,,,
"Summer 2016",BCHS,8698,29,"Doctoral Research",Ziburkus,Jokubas,,,,,,,
"Summer 2016",BCHS,8698,31,"Doctoral Research",Fox,"Robert O",,,,,,,
"Summer 2016",BCHS,8698,32,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Summer 2016",BCHS,8698,4,"Doctoral Research",Gao,Xiaolian,,,,,,,
"Summer 2016",BCHS,8699,20,"Doctoral Dissertation",Briggs,"James M",,,,,,,
"Summer 2016",BIOE,6198,14,Research,Contreras-Vidal,"Jose Luis",,,,,,,
"Summer 2016",BIOE,6198,7,Research,Ince,"Nuri Firat",,,,,,,
"Summer 2016",BIOE,6298,9,Research,Mohan,Chandra,,,,,,,
"Summer 2016",BIOE,8198,1,"Doctoral Research","Akay PhD",Metin,,,,,,,
"Summer 2016",BIOE,8198,11,"Doctoral Research",Wu,Tianfu,,,,,,,
"Summer 2016",BIOE,8198,12,"Doctoral Research",Shevkoplyas,Sergey,,,,,,,
"Summer 2016",BIOE,8198,13,"Doctoral Research",Zhang,Yingchun,,,,,,,
"Summer 2016",BIOE,8198,14,"Doctoral Research",Abidian,"Mohammad Reza",,,,,,,
"Summer 2016",BIOE,8198,15,"Doctoral Research",Naash,Muna,,,,,,,
"Summer 2016",BIOE,8198,16,"Doctoral Research",Kakadiaris,"Ioannis A.",,,,,,,
"Summer 2016",BIOE,8198,17,"Doctoral Research",Willson,Richard,,,,,,,
"Summer 2016",BIOE,8198,18,"Doctoral Research",Porter,Jason,,,,,,,
"Summer 2016",BIOE,8198,19,"Doctoral Research",Merchant,"Fatima Aziz",,,,,,,
"Summer 2016",BIOE,8198,2,"Doctoral Research",Larin,Kirill,,,,,,,
"Summer 2016",BIOE,8198,20,"Doctoral Research",Das,Mini,,,,,,,
"Summer 2016",BIOE,8198,6,"Doctoral Research",Gifford,Howard,,,,,,,
"Summer 2016",BIOE,8198,7,"Doctoral Research",Ince,"Nuri Firat",,,,,,,
"Summer 2016",BIOE,8198,8,"Doctoral Research",May,"Elebeoba E",,,,,,,
"Summer 2016",BIOE,8198,9,"Doctoral Research",Mohan,Chandra,,,,,,,
"Summer 2016",BIOE,8298,1,"Doctoral Research","Akay PhD",Metin,,,,,,,
"Summer 2016",BIOE,8298,11,"Doctoral Research",Shevkoplyas,Sergey,,,,,,,
"Summer 2016",BIOE,8298,13,"Doctoral Research",Zhang,Yingchun,,,,,,,
"Summer 2016",BIOE,8298,7,"Doctoral Research",Ince,"Nuri Firat",,,,,,,
"Summer 2016",BIOE,8298,9,"Doctoral Research",Mohan,Chandra,,,,,,,
"Summer 2016",BIOE,8398,10,"Doctoral Research",Omurtag,Ahmet,,,,,,,
"Summer 2016",BIOE,8398,12,"Doctoral Research",Shevkoplyas,Sergey,,,,,,,
"Summer 2016",BIOE,8398,13,"Doctoral Research",Zhang,Yingchun,,,,,,,
"Summer 2016",BIOE,8398,6,"Doctoral Research",Gifford,Howard,,,,,,,
"Summer 2016",BIOE,8398,7,"Doctoral Research",Ince,"Nuri Firat",,,,,,,
"Summer 2016",BIOE,8398,8,"Doctoral Research",May,"Elebeoba E",,,,,,,
"Summer 2016",BIOE,8399,2,"Doctoral Dissertation",Omurtag,Ahmet,,,,,,,
"Summer 2016",BIOE,8498,1,"Doctoral Research","Akay PhD",Metin,,,,,,,
"Summer 2016",BIOE,8498,13,"Doctoral Research",Zhang,Yingchun,,,,,,,
"Summer 2016",BIOE,8498,7,"Doctoral Research",Ince,"Nuri Firat",,,,,,,
"Summer 2016",BIOE,8498,9,"Doctoral Research",Mohan,Chandra,,,,,,,
"Summer 2016",BIOE,8598,1,"Doctoral Research","Akay PhD",Metin,,,,,,,
"Summer 2016",BIOE,8598,11,"Doctoral Research",Shevkoplyas,Sergey,,,,,,,
"Summer 2016",BIOE,8598,12,"Doctoral Research",Wu,Tianfu,,,,,,,
"Summer 2016",BIOE,8598,13,"Doctoral Research",Zhang,Yingchun,,,,,,,
"Summer 2016",BIOE,8598,14,"Doctoral Research",Abidian,"Mohammad Reza",,,,,,,
"Summer 2016",BIOE,8598,15,"Doctoral Research",Naash,Muna,,,,,,,
"Summer 2016",BIOE,8598,16,"Doctoral Research",Kakadiaris,"Ioannis A.",,,,,,,
"Summer 2016",BIOE,8598,17,"Doctoral Research",Willson,Richard,,,,,,,
"Summer 2016",BIOE,8598,18,"Doctoral Research",Porter,Jason,,,,,,,
