TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Spring 2018",ACCT,4105,1,"PPA Colloquium 1",Newman,"Michael Ray",,,,,,,
"Spring 2018",ACCT,4106,1,"PPA Colloquium 2",Newman,"Michael Ray",,,,,,,
"Spring 2018",ACCT,4108,1,"Internal Audit Colloquium",Newman,"Michael Ray",,,,,,,
"Spring 2018",ACCT,4396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Spring 2018",ACCT,7396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Spring 2018",ACCT,8999,2,"Doctoral Dissertation",Newberry,"Kaye J",,,,,,,
"Spring 2018",ACCT,8999,7,"Doctoral Dissertation",Sun,Xue,,,,,,,
"Spring 2018",ACCT,8999,10,"Doctoral Dissertation",Meade,Janet,,,,,,,
"Spring 2018",ANTH,3399,5,"Senior Honors Thesis",Storey,Rebecca,,,,,,,
"Spring 2018",ANTH,4398,3,"Independent Study",Storey,Rebecca,,,,,,,
"Spring 2018",ANTH,6399,2,"Masters Thesis",Rasmussen,"Susan J",,,,,,,
"Spring 2018",ANTH,6399,4,"Masters Thesis",Gordon,"Andrew J",,,,,,,
"Spring 2018",ANTH,6399,5,"Masters Thesis",Storey,Rebecca,,,,,,,
"Spring 2018",ANTH,6399,6,"Masters Thesis",Widmer,"Randolph J",,,,,,,
"Spring 2018",ANTH,7399,1,"Masters Thesis",Rasmussen,"Susan J",,,,,,,
"Spring 2018",ANTH,7399,2,"Masters Thesis",Storey,Rebecca,,,,,,,
"Spring 2018",ANTH,7399,5,"Masters Thesis",Widmer,"Randolph J",,,,,,,
"Spring 2018",BCHS,4398,1,"Independent Study",Williams,Lawrence,,,,,,,
"Spring 2018",BCHS,6113,1,"Graduate Biochemistry Seminar",Bark,Steven,,,,,,,
"Spring 2018",BCHS,6113,1,"Graduate Biochemistry Seminar",Widger,"William R",,,,,,,
"Spring 2018",BCHS,6198,13,"Special Problems",Gunaratne,"Preethi H",,,,,,,
