TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Summer 2021,PETR,8198,2,14126,Doctoral Research,Hatzignatiou,Dimitrios Georgios,0,0,0,0,0,1,0,0,0,0
Summer 2021,MATH,8398,4,13002,Doctoral Research,Mang,Andreas,0,0,0,0,0,2,0,0,0,0
Summer 2021,GEOL,8698,2,19782,Doctoral Research,Wang,Yuxuan,0,0,0,0,0,1,0,0,0,0
Summer 2021,PHOP,8398,2,16308,Doctoral Research,Das,Vallabh E,2,0,0,0,0,0,0,0,0,4
Summer 2021,COSC,8398,128,15814,Doctoral Research,Tsekos,Nikolaos V,0,0,0,0,0,1,0,0,0,0
Summer 2021,PHOP,6198,1,15063,Spec Prob-Physio Optics,Raghunathan,Vijaykrishna,1,0,0,0,0,0,0,0,0,4
Summer 2021,MATH,8398,6,19510,Doctoral Research,Kalantar,Mehrdad,0,0,0,0,0,3,0,0,0,0
Summer 2021,ELCS,8313,1,18662,Issues for Urban Education Adm,Lopez,Ruth Maria,8,0,1,0,0,0,0,0,0,3.778
Summer 2021,FINA,7397,1,18769,Selected Topics in Finance,Stewart,Marcus,9,6,1,0,0,0,0,1,0,3.479
Summer 2021,MIS,   6A41,3,13763,Information Systems,Silva,Leiser O,28,3,0,0,0,0,0,0,0,3.871
Summer 2021,POLS,4598,1,19715,Independent Study,Cross,Renee D,0,0,0,0,0,3,0,0,0,0
Summer 2021,GENB,7397,4,19396,Selected Topics,Belinne,Jamie King,1,0,0,0,0,0,0,0,0,4
Summer 2021,PHLS,7326,1,14587,Counseling in the Schools,Wines,Lisa A,4,0,0,0,1,0,0,0,0,3.2
Summer 2021,CHEM,1111,1,10466,Fundamentals of Chm Lab,Zaitsev,Vladimir G,5,6,1,4,1,0,0,0,2,2.608
Summer 2021,PSYC,8390,1,14215,Clinical Neuropsyc Internship,Vincent,John P,2,0,0,0,0,0,0,0,0,4
Summer 2021,COSC,8398,107,15795,Doctoral Research,Eick,Christoph F,0,0,0,0,0,1,0,0,0,0
Summer 2021,CHEM,6398,15,11344,Special Problems,Xu,Shoujun,0,0,0,0,0,1,0,0,0,0
Summer 2021,LAW,5123,1,19029,Civil Practice Clinic II,Heppard,Janet M,0,1,0,0,0,0,0,0,0,3
Summer 2021,LAW,5298,1,12778,Special Rsch & Writing,Vetter,Greg R,0,1,0,0,0,0,0,0,0,3
Summer 2021,PSYC,7392,1,14220,Psychology Practicum,Fetterman,Adam Kent,2,0,0,0,0,0,0,0,0,4
Summer 2021,PHYS,7399,3,10747,Masters Thesis,Morrison,Gregory C,1,0,0,0,0,0,0,0,0,4
Summer 2021,ANTH,4398,1,10196,Independent Study,Gordon,Andrew J,0,2,0,0,0,0,0,0,0,3.165
Summer 2021,CIVE,7399,3,19418,Master's Thesis,Krakowiak,Konrad,1,0,0,0,0,0,0,0,0,4
Summer 2021,CHEE,2331,1,15757,Chemical Processes,Kowal,Marsha Christine,5,8,7,4,12,0,0,0,8,1.658
Summer 2021,HON,3397,4,19472,Honors Selected Topics,Monroe,William F,2,0,0,0,0,0,0,0,0,4
Summer 2021,MATH,5383,1,18222,Number Theory,Ru,Min,9,1,0,0,0,0,0,0,1,3.9
Summer 2021,THEA,6297,1,18792,Selected Topics,Ferrarone,Jessica,12,0,0,0,0,0,0,0,0,4
Summer 2021,HLT,3300,1,18899,Social Health and Wellness,Ripperger-Suhler,Ken,57,20,3,1,1,0,0,0,0,3.565
Summer 2021,COMD,5346,1,14111,SP/Lang Dis Adults for SLPA,Eckert,Janet F,11,0,0,0,0,0,0,0,3,3.94
Summer 2021,PSYC,3301,1,14509,Intro Psych Stats,Samaniego,Charissa Alexandra,29,13,6,1,6,0,0,0,1,3.031
Summer 2021,ENGL,1303,2,14015,First Year Writing I,Kroger,Ann Gabriel,2,7,3,0,2,0,0,0,1,2.524
Summer 2021,COSC,3337,201,15871,Data Science I,Rizk,Nouhad J,28,16,8,7,1,0,0,0,5,3.056
Summer 2021,BIOL,3132,3,13985,Elementary Microbiology Lab,Knapp,Richard D,5,6,0,3,0,0,0,0,0,2.905
Summer 2021,PHYS,1101,5,15039,General Physics Laboratory I,Maric,Sladjana,2,14,6,1,0,0,0,0,1,2.667
Summer 2021,PSYC,2344,3,15240,Cultural Psychology,Haddad,Sana,42,7,5,1,1,0,0,0,2,3.566
Summer 2021,COSC,6368,301,15265,Artificial Intelligence,Vilalta,Ricardo,24,4,0,0,0,0,0,0,2,3.763
Summer 2021,COSC,2430,203,19615,Programming and Data Structure,Rizk,Nouhad J,27,24,8,1,3,0,0,0,12,3.117
Summer 2021,ACCT,7330,1,13182,Advanced Accounting,Ramaswamy,Vinita,11,4,0,0,0,0,0,0,0,3.755
Summer 2021,CHEM,6398,13,11342,Special Problems,Harth,Eva M,0,0,0,0,0,3,0,0,0,0
Summer 2021,CHEE,3321,1,10006,Analytical Methods Chem Engr,Nikolaou,Michael,3,5,6,0,0,0,0,0,2,2.786
Summer 2021,GEOL,1130,1,10473,Physical Geology Lab,Sisson,Virginia B,11,11,1,0,1,0,0,0,0,3.333
Summer 2021,PHYS,8399,6,10868,Doctoral Dissertation,Varghese,Oomman K,0,0,0,0,0,3,0,0,0,0
Summer 2021,BIOL,1362,1,11269,Intro To Biological Science 2,Farmer,Lisa M,15,28,22,17,9,0,0,0,8,2.264
Summer 2021,PHAR,5297,1,18733,Selected Topics in Pharmacy,Asias-Dinh,Bernadette De Leon,48,17,1,0,0,0,0,0,0,3.712
Summer 2021,GEOL,3355,2,18107,Field Geology I,Weber,John,5,2,3,0,0,0,0,0,0,3.068
Summer 2021,HRMA,4326,1,15632,Catering Management,Jarvis,Nathan Alexander,21,10,4,2,3,0,0,0,0,3.067
Summer 2021,WCL,3366,2,15259,Latin American and Latino Film,Centeno,Daniel,19,6,1,1,2,0,0,0,1,3.22
Summer 2021,ELET,3425,1,13534,Embedded Systems,Moges,Mequanint A,3,4,0,0,0,0,0,0,0,3.334
Summer 2021,TLIM,3355,1,15697,Project Management Principles,Moore,George P,18,9,1,1,0,0,0,0,0,3.438
Summer 2021,NURS,6338,1,15744,Advanced Pathophysiology,Schrader PhD,Patricia K,3,4,0,0,0,0,0,0,1,3.429
Summer 2021,COMD,7391,10,12808,Clinic in Speech Lang Disorder,Walker,Dionne A,2,0,0,0,0,0,0,0,0,3.835
Summer 2021,PHAR,5493,1,10008,Introduction to Community IPPE,Hatfield,Catherine L,42,22,0,0,1,0,0,0,0,3.6
Summer 2021,SPAN,1501,1,13228,Elementary Spanish I,Pueyo Castan,Josefa,4,8,1,1,7,0,0,0,1,2
Summer 2021,ENRG,4397,1,18603,Sel Topics-Enrgy & Sustainblty,El-Badawi,Emran,2,4,0,1,0,0,0,0,0,2.764
Summer 2021,BIOL,1162,5,11268,Intro To Biol Science Lab 2,Hanke,Marc H,14,2,0,0,2,0,0,0,1,3.426
Summer 2021,PHLS,6335,2,18850,Intro To Grp Couns Thry,Whitaker,Rachael Gwin,9,1,0,0,0,0,0,0,0,3.867
Summer 2021,TLIM,4390,30,15716,Current Issues Ldshp & Innov,Mehring,Brian George,5,4,0,1,0,0,0,0,0,3.366
Summer 2021,HLT,2320,1,14567,Introduction to Public Health,Proctor,Robin Ann,56,14,4,1,1,0,0,0,3,3.566
Summer 2021,LAW,5303,1,14845,Criminal Law,Kaufman,Zachary Daniel,9,20,7,1,0,0,0,0,0,3.134
Summer 2021,PSYC,3310,4,15592,Indstrl-Orgnztnl Psy,Liu,Zihan,5,5,2,0,0,0,0,0,0,3.278
Summer 2021,MANA,3335,2,14560,Intro Org Behavior and Mgmt,Salaiz,Ashley,37,9,1,0,1,0,0,0,1,3.674
Summer 2021,PCEU,8399,3,19436,Doctoral Dissertation,Guo,Bin,2,0,0,0,0,0,0,0,0,4
Summer 2021,ENGL,4371,1,15904,Literature and Medicine,Vollrath,Lesli A,18,2,2,0,1,0,0,0,0,3.565
