TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Fall 2021,ARCH,4510,21,Integrated Arch Solutions,Martinez,Amna Ansari,8,2,0,0,0,0,0,0,0,3.569
Fall 2021,BIOL,2101,31,Anatomy & Physiology Lab I,Gill,Tejendra,4,8,8,2,0,0,0,0,1,2.606
Fall 2021,BIOE,4319,2,Mass Transport Biosystems,Majd,Sheereen,3,2,1,0,0,0,0,0,0,3.388
Fall 2021,MATH,6398,7,Special Problems,Blecher,David P,0,0,0,0,0,3,0,0,0,0
Fall 2021,ECE,8498,4,Doctoral Research,Chen,Ji,0,0,0,0,0,1,0,0,0,0
Fall 2021,ARCH,6354,1,The Culture of Architecture,Turner,Drexel,5,0,0,0,0,0,0,0,0,3.868
Fall 2021,ARTS,6386,1,Professional Practices,Anderson-Staley,Keliy,5,0,0,0,0,0,0,0,0,4
Fall 2021,ELCS,8198,1,Independent Study,Horn,Catherine Lynn,0,0,0,0,0,1,0,0,0,0
Fall 2021,THEA,3388,1,Advanced Stagecraft,Kearns,Casey,0,0,2,0,0,0,0,0,0,2
Fall 2021,MUED,2342,3,Music for Children,Bigwood,Cora Morgan,13,7,0,0,0,0,0,0,0,3.518
Fall 2021,HLT,1353,2,Personal Health,Rafique,Kiran Sajid,82,13,0,1,3,0,0,0,0,3.657
Fall 2021,HRMA,1301,2,Hospitality Technology,Morosan,Cristian,11,30,10,6,4,0,0,0,2,2.639
Fall 2021,MANA,4330,1,Intro to Strategic HR Mgt,Phillips,James S,130,90,13,4,2,0,0,0,4,3.377
Fall 2021,MATH,3338,5,Probability,Kao,Edward P,10,15,0,0,1,0,0,0,10,3.142
Fall 2021,MATH,3339,4,Statistics for the Sciences,Wang,Wenshuang,129,43,20,28,22,0,0,0,13,2.924
Fall 2021,BCHS,3201,16,Biochemistry I Laboratory,Pattison,Donna,3,7,2,2,3,0,0,0,1,2.197
Fall 2021,COMM,4303,3,Communication Law and Ethics,Perin,Monica Wilch,12,11,3,5,4,0,0,0,5,2.638
Fall 2021,SCM,4330,1,Bus Modeling and Dec Analysis,Cossick,Kathy L,29,21,7,1,1,0,0,0,6,3.255
Fall 2021,CHEM,1111,57,Fundamentals of Chm Lab,Zaitsev,Vladimir G,4,11,2,1,0,0,0,0,1,3.018
Fall 2021,HDFS,4394,1,Internship in HDFS,Conston,Toya,31,1,1,0,0,0,0,0,2,3.909
Fall 2021,PHYS,1102,17,College Physics II (lab),Wood,Lowell T,2,12,9,0,0,0,0,0,0,2.667
Fall 2021,SOCW,7324,5,Clinical Apps of DSM in SW,Taylor,Patricia G,16,4,0,0,0,0,0,0,0,3.734
Fall 2021,NURS,6306,1,"Policy, Role & Economics",Obulaney,Patricia Anne,8,4,0,0,0,0,0,0,0,3.667
Fall 2021,ECE,8699,11,Doctoral Dissertation,Han,Zhu,3,0,0,0,0,0,0,0,0,4
Fall 2021,ARTS,6301,1,Life Drawing Studio,Barbee,Robert N,2,0,0,0,0,0,0,0,0,4
Fall 2021,PSYC,6399,16,Masters Thesis,Leasure,Jennifer Leigh,0,0,0,0,0,1,0,0,0,0
Fall 2021,PSYC,8399,18,Doctoral Dissertation,Bick,Johanna R,0,0,0,0,0,2,0,0,0,0
Fall 2021,LAW,6366,1,Int'l Arbitration Advocacy,Harrell Jr,David Earl,2,4,0,0,0,0,0,0,0,3.223
Fall 2021,CHEM,6333,1,Fund-Chemical Analysis,Baldelli,Steve,4,1,0,0,0,0,0,0,0,3.47
Fall 2021,LAW,5386,1,Trial Advocacy,Baldassano,Steven L,12,23,0,0,0,4,0,0,0,3
Fall 2021,LAW,5344,1,Appellate Advocacy I,Peebles,Julia Marie,10,11,1,0,0,4,0,0,2,2.847
Fall 2021,PHAR,5371,1,Ambulatory Practice Management,Thornton,James D,69,51,2,0,0,0,0,0,0,3.549
Fall 2021,OPTO,5133,4,Adv Human Anat/Hist Lab,Coulson-Thomas,Vivien J,14,6,4,0,0,0,0,0,0,3.417
Fall 2021,HDFS,4325,1,Theory to Prac HDFS,Frankel,Leslie Ann,24,13,3,0,0,0,0,0,0,3.443
Fall 2021,BIOL,3304,1,The Biology of Social Behavior,Cole,Blaine J,9,20,16,6,2,0,0,0,6,2.454
Fall 2021,COMM,3306,1,End of Life Communication,Hudson-Gillan,Gail,29,6,0,0,1,0,0,0,0,3.667
Fall 2021,SPAN,1501,11,Elementary Spanish I,Molinete,Julio Antonio,12,8,3,1,2,0,0,0,2,2.975
Fall 2021,CHEM,2123,25,Organic Chemistry Lab I,Bean,Mary B,4,7,5,2,1,0,0,0,3,2.492
Fall 2021,SPAN,4388,1,Image of Women:Sp-Am Film/Lit,Cuesta,Mabel,8,6,1,0,0,0,0,0,1,3.489
Fall 2021,DRAM,1330,1,Scenic Technology,Schreier,Mary Carol,5,12,3,1,0,0,0,0,0,2.921
Fall 2021,PSYC,3341,9,Physiological Psychology,Lipschutz,Rebecca Sara,16,11,3,0,1,0,0,0,2,3.355
Fall 2021,SPAN,2307,1,Span for Heritage Learners I,Fairclough,Marta A,7,1,0,2,1,0,0,0,2,2.97
Fall 2021,IDNS,2197,4,Top-Natrl Sci & Mth,Frankino,William A,7,3,0,0,0,0,0,0,0,3.667
Fall 2021,MECE,6388,1,Optimal Control Theory,Chen,Zheng,6,3,1,0,1,0,0,0,1,3.092
Fall 2021,CUIN,8393,2,Adv Internship & Prac,Chauvot,Jennifer B,1,0,0,0,0,0,0,0,0,4
Fall 2021,PHYS,8998,22,Doctoral Research,Morrison,Gregory C,0,0,0,0,0,1,0,0,0,0
Fall 2021,INDS,6397,3,Selected Topics,Chow,George K,1,1,0,0,0,0,0,0,0,3.665
Fall 2021,CUIN,8397,11,Selected Topics in C&I,Gronseth,Susie L B,2,0,0,0,0,0,0,0,0,4
Fall 2021,ARTH,6399,5,Master's Thesis,Harren,Natilee O,1,0,0,0,0,0,0,0,0,4
Fall 2021,ECE,7399,3,Masters Thesis,Krishnamoorthy,Harish Sarma,1,0,0,0,0,0,0,0,0,4
Fall 2021,ACCT,7396,1,Accounting Internship,Newman,Michael Ray,0,0,0,0,0,1,0,0,0,0
Fall 2021,MUSA,4400,7,Applied Voice,Vasquez,Hector A,1,1,0,0,0,0,0,0,0,3.665
Fall 2021,MECE,7399,24,Masters Thesis,Ostilla Monico,Rodolfo,0,1,0,0,0,0,0,0,0,3
Fall 2021,PHYS,8398,27,Doctoral Research,Ratti,Claudia,0,0,0,0,0,2,0,0,0,0
Fall 2021,BIOE,6398,6,Research,Francis,Joseph Thachil,0,0,0,0,0,1,0,0,0,0
Fall 2021,ELCS,8311,1,Lab of Practice-Lit Revw Devel,Hawkins,Jacqueline McLean,0,0,0,0,0,0,0,0,0,0
Fall 2021,CUIN,4375,4,Classroom Management,Thompson,Alan M,10,12,0,0,0,0,0,0,0,3.515
Fall 2021,MATH,2415,21,Calculus III,West,James David,15,33,26,15,57,0,0,0,56,1.539
Fall 2021,HRMA,3341,3,Hospitality Managerial Acct,Ramirez,Arlene D,12,5,8,1,5,0,0,0,1,2.549
Fall 2021,ENGL,2360,1,Western World Lit I--Honors,Wallace,Daniel,83,74,2,1,2,0,0,0,2,3.432
Fall 2021,ARCH,1358,1,Introduction to Design Culture,Kubo,Michael,164,45,11,10,9,0,0,0,4,3.397
Fall 2021,WGSS,2350,16,Intro To Women's Studies,Pegoda,Andrew Joseph,10,9,4,0,3,0,0,0,3,2.885
Fall 2021,ACCT,2301,18,Prin of Financial Accounting,Sykes,Mary Reeves,25,21,10,3,0,0,0,0,6,3.231
Fall 2021,DRAM,1310,7,Introduction to Theatre,Egging,Jon Leo,31,6,2,0,6,0,0,0,2,3.142
Fall 2021,ARCH,1500,23,Design Studio I,Logan,Jason,3,1,1,0,0,0,0,0,1,3.136
Fall 2021,AAMS,2300,1,Intro Asian American Studies,Nguyen,An,3,9,0,2,3,0,0,0,1,2.373
Fall 2021,COMM,1303,2,Writing for Communicators,Lyn,Robyn,72,8,3,1,8,0,0,0,4,3.449
Fall 2021,SPAN,3384,1,Intro To Hispanic Literature,Gutierrez,Pedro Revuelta,6,5,2,0,1,0,0,0,1,2.93
Fall 2021,ENGL,1301,145,First Year Writing I,Rolater,Sara C,12,5,4,3,0,0,0,0,3,2.946
Fall 2021,ELCS,8355,1,Policy Pol & Gov of Education,Lopez,Ruth Maria,8,0,0,0,0,0,0,0,0,3.918
Fall 2021,EDRS,8380,2,Rsch Mthds in Educ,Freelon,Rhoda,9,3,0,0,0,0,0,0,0,3.668
Fall 2021,ELCS,7354,2,Leadership for Change,Davis,Tiffany J,13,6,0,0,0,0,0,0,1,3.702
Fall 2021,LAW,5291,1,Partnership Tax,Bergez,Craig,1,5,0,0,0,4,0,0,0,1.867
Fall 2021,CHEM,6115,1,Sem in Chm Lab Instruct,Zaitsev,Vladimir G,0,0,0,0,0,14,0,0,0,0
Fall 2021,MUSA,6140,5,Graduate Recital I,Johnson,Robert,0,1,0,0,0,0,0,0,0,3
Fall 2021,PHYS,6315,2,Quantum Mechanics I,Hosur,Pavan R,11,13,0,0,0,0,0,0,2,3.335
Fall 2021,MUSA,6140,1,Graduate Recital I,Brooks,Wayne A,2,0,0,0,0,0,0,0,0,4
Fall 2021,OPTO,8991,1,Community Health Clinic,Herring,Ralph Jay,0,0,0,0,0,32,0,0,0,0
Fall 2021,OPTO,5133,3,Adv Human Anat/Hist Lab,Ostrin,Lisa,16,9,0,1,0,0,0,0,0,3.538
Fall 2021,KIN,3309,2,Biomechanics,Gorniak,Stacey,27,30,42,14,5,0,0,0,5,2.517
Fall 2021,LAW,5314,9,Lawyering Skills & Strategy I,Heard,Whitney W,5,10,2,0,0,0,0,0,0,3.196
Fall 2021,HON,3397,6,Honors Selected Topics,Rayder,Benjamin Taylor,12,3,1,0,0,0,0,0,0,3.646
Fall 2021,PSYC,2305,5,Intro to Methods in Psychology,Mariotto PhD,Marco J,9,19,31,9,4,0,0,0,14,2.31
Fall 2021,COSC,4351,2,Fundamentals of Software Engr,Singh,Raj Kumar,70,8,2,1,2,0,0,0,1,3.651
Fall 2021,ENTR,3310,2,Entrepreneurship,Wilbur,Stephen,149,86,25,9,6,0,0,0,4,3.309
Fall 2021,CHEM,1112,22,Fundamentals of Chm Lab,Zaitsev,Vladimir G,2,12,3,0,0,0,0,0,2,2.961
Fall 2021,TLIM,4378,30,Senior Project,Burns,Maria,18,1,0,0,0,0,0,0,0,3.947
Fall 2021,AAS,3348,1,African Americans and the Law,Putman,Eronn A,16,2,0,0,0,0,0,0,0,3.852
Fall 2021,ENGI,1100,15,Introduction To Engineering,Aksu,Gulin Tulunay,13,24,9,1,2,0,0,0,6,2.885
Fall 2021,HIST,1378,7,The U S Since 1877,Zarnow,Leandra Ruth,85,75,48,16,53,0,0,0,61,2.437
Fall 2021,SCM,4351,2,Stratgic Sourcing & Spend Anal,Wayhan,Victor Brian,33,27,0,0,0,0,0,0,0,3.539
Fall 2021,BIOL,3301,3,Genetics,Meisel,Richard P,63,113,54,8,5,0,0,0,5,2.867
Fall 2021,HRMA,3348,2,Principles of Hosp Revenue Mgt,Kazemi Zarkouei,Mohammad Sadegh,23,9,5,3,8,0,0,0,5,2.736
Fall 2021,MECT,3341,1,Computer-Aided Drafting,Ray,Kyle A,154,50,7,3,5,0,0,0,6,3.538
Fall 2021,JAPN,2311,2,Intermediate Japanese I,LIU,JING,33,14,2,1,3,0,0,0,2,3.328
Fall 2021,ELED,3322,1,Elem Reading Phonics Instructn,Alba,Celeste,32,7,1,0,0,0,0,0,0,3.75
Fall 2021,SPAN,2312,8,Intermediate Spanish II,Romero Jurado,Neysi,6,8,5,3,0,0,0,0,1,2.743
Fall 2021,HISP,2374,1,Spanish American Culture & Civ,De Los Reyes Heredia,Jose Guillermo,16,4,4,2,5,0,0,0,0,2.7
Fall 2021,FINA,4343,1,Credit Analysis,Lara,Alexander J,25,4,0,1,0,0,0,0,1,3.679
Fall 2021,GOVT,2306,50,US and Texas Const/Politics,Vassiliou,Constantine,17,6,0,0,0,0,0,0,0,3.653
Fall 2021,MANA,3335,10,Intro Org Behavior and Mgmt,Nae,Eun Young,32,10,5,1,1,0,0,0,0,3.449
Fall 2021,MATH,3321,5,Engineering Mathematics,Ryan,John M,11,14,26,15,18,0,0,0,9,1.798
Fall 2021,CHEM,1111,34,Fundamentals of Chm Lab,Zaitsev,Vladimir G,3,11,2,0,0,0,0,0,2,3.104
Fall 2021,MUSI,3215,2,Introduction To Large Forms,Garza,Paul Victor,4,0,3,0,4,0,0,0,0,1.94
Fall 2021,CHEM,1111,73,Fundamentals of Chm Lab,Zaitsev,Vladimir G,7,10,1,0,1,0,0,0,1,3.036
Fall 2021,FINA,4397,1,Selected Topics in Finance,Pena,Juan F,18,6,0,0,1,0,0,0,0,3.56
Fall 2021,ITAL,3307,1,Italian Renaissance,Behr,Francesca D.,2,6,10,0,1,0,0,0,1,2.438
Fall 2021,POLS,3312,3,"Arguments, Data, Politics",Marinov,Nikolay,9,17,3,2,2,0,0,0,6,2.869
Fall 2021,PHLS,7375,2,Intro To Family Counsl,Smedley,Diane,6,2,0,0,0,0,0,0,0,3.668
Fall 2021,MECE,8699,28,Doctoral Dissertation,Selvamanickam,Venkat,0,0,0,0,0,4,0,0,0,0
Fall 2021,ELED,4315,2,Mathematics in Elem School II,Burris,Justin T,21,3,1,0,0,0,0,0,0,3.76
Fall 2021,ARCH,3500,3,Architecture Design Studio V,Diehl,Tom,1,3,0,0,0,0,0,0,0,3.333
Fall 2021,INDE,8498,2,Doctoral Research,Feng,Qianmei,0,0,0,0,0,1,0,0,0,0
Fall 2021,BIOE,8398,12,Doctoral Research,Roh,Jinsook,0,0,0,0,0,3,0,0,0,0
Fall 2021,OPTO,8993,1,Community Health Clinic,Herring,Ralph Jay,0,0,0,0,0,30,0,0,0,0
Fall 2021,CHEM,2125,6,Organic Chemistry Lab II,Bean,Mary B,4,2,5,4,3,0,0,0,4,2.055
Fall 2021,PHAR,5663,2,Pharmacy Management,Tolleson,Shane Russell,7,0,1,0,0,0,0,0,0,3.75
Fall 2021,BIOL,3324,1,Human Physiology,Wayne,Chad M,18,49,52,0,11,0,0,0,19,2.505
Fall 2021,BCHS,3201,11,Biochemistry I Laboratory,Pattison,Donna,5,8,9,0,2,0,0,0,0,2.473
Fall 2021,MECE,3336,1,Mechanics II,Wang,Su Su,2,10,29,6,10,0,0,0,7,1.778
Fall 2021,SOCI,1301,1,Introduction To Sociology,Nelson,Steven M,24,17,6,2,8,0,0,0,2,2.796
Fall 2021,GENB,5304,3,Business Ethics for Accountant,Spartalis,Emmanuel Michael,4,8,0,0,0,0,0,0,0,3.223
Fall 2021,MSCI,3310,1,Training Management & WFF,Ta,Hung,13,2,0,0,0,0,0,0,0,3.713
Fall 2021,HON,3397,4,Honors Selected Topics,Trninic,Marina,7,2,0,0,0,0,0,0,0,3.631
Fall 2021,COSC,4324,1,Entrepreneurship for CS,Panahi,Hesam Mike,14,7,3,0,0,0,0,0,0,3.348
