TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Spring 2022,NUTR,6311,1,20419,Capstone I,Haubrick,Kevin,7,0,0,0,0,0,0,0,0,3.859
Spring 2022,ENGL,2361,35,25234,Western World Lit II--Honors,Sisman,Cengiz,3,3,0,0,1,0,0,0,0,3
Spring 2022,FINA,4381,1,18686,Essentials of Real Estate,Madison,Necitha,20,14,4,1,0,0,0,0,0,3.359
Spring 2022,ARTS,3301,1,23844,Life Drawing,Barbee,Robert N,14,2,0,0,0,0,0,0,0,3.607
Spring 2022,LAW,5420,1,15607,Civil Practice Clinic I,Heppard,Janet M,2,5,0,0,0,0,0,0,0,3.38
Spring 2022,MUSA,3444,1,18088,Applied Trombone,Kauk,Brian Keith,5,0,0,0,0,0,0,0,0,4
Spring 2022,LAST,4398,1,26168,Independent Study,Howard,Philip,0,1,0,0,0,0,0,0,0,2.67
Spring 2022,ELCS,8395,8,23338,Doctoral Thesis,Rangel,Virginia,2,0,0,0,0,0,2,0,0,2
Spring 2022,THEA,2100,1,26145,Theatre Education Internship,Cooper,Charles G,5,0,0,0,0,0,0,0,0,4
Spring 2022,ELCS,8398,3,26952,Independent Study,Rangel,Virginia,1,0,0,0,0,0,0,0,0,4
Spring 2022,MATH,8699,11,14940,Doctoral Dissertation,Haynes,Alan K,1,0,0,0,0,0,0,0,0,4
Spring 2022,CIVE,8498,9,27598,Doctoral Research,Nakshatrala,Kalyana,0,0,0,0,0,1,0,0,0,0
Spring 2022,CIVE,6398,5,27930,Research,Mo,Larry Yi-Lung,0,0,0,0,0,1,0,0,0,0
Spring 2022,PSYC,4398,4,27502,Independent Study,Reyes,Denise Lucia,0,0,0,0,0,1,0,0,0,0
Spring 2022,PCEU,8399,4,26896,Doctoral Dissertation,Liu,Xinli,1,0,0,0,0,0,0,0,0,4
Spring 2022,PSYC,7399,22,27233,Masters Thesis,Cirino,Paul,0,0,0,0,0,1,0,0,0,0
Spring 2022,ECE,8699,14,27669,Doctoral Dissertation,Nguyen,Hien V,1,0,0,0,0,0,0,0,0,4
Spring 2022,THEA,4283,1,17981,Seminar in Stage Management,Bush,Rachel R,1,0,0,0,0,0,0,0,0,4
Spring 2022,ARTH,4399,1,20572,Senior Honors Thesis,Orto,Luisa,1,0,0,0,0,0,0,0,0,4
Spring 2022,KIN,1304,12,21101,Public Hlt Issues in Phys/Obes,Graham,Marilynn Hadassah,75,14,4,1,4,0,0,0,1,3.612
Spring 2022,PSYC,3341,1,16722,Physiological Psychology,Kosten,Therese A,23,19,6,0,0,0,0,0,0,3.313
Spring 2022,COMM,3382,1,14351,TV II & Sports Production,Crowe,Craig Warren,12,6,0,0,0,0,0,0,1,3.612
Spring 2022,BIOL,3324,1,14073,Human Physiology,Ogletree-Hughes,Monique L,43,45,38,18,12,0,0,0,35,2.562
Spring 2022,ARTS,2316,2,23747,Fundamentals of Painting,Stephan,Hollie,11,1,4,0,1,0,0,0,3,3.216
Spring 2022,CUIN,4332,2,17738,Literacy Assess Rdg Writing,Jerasa,Sarah E,34,2,1,0,0,0,0,0,0,3.883
Spring 2022,BUSI,2305,4,21035,Business Statistics,Hong,Yili,24,0,0,0,0,0,0,0,0,4
Spring 2022,ELET,4331,1,20905,Medical Imaging,Zouridakis,George,6,7,0,0,0,0,0,0,0,3.385
Spring 2022,CHEM,6698,2,15924,Special Problems,Gilbertson,Scott R,0,0,0,0,0,1,0,0,0,0
Spring 2022,WGSS,2350,7,17513,Intro To Women's Studies,Norquist,Grete A,11,13,2,0,2,0,0,0,0,3.143
Spring 2022,OPTO,7330,1,15051,"Lasers, Refract Proced, Surg",Patel,Nimesh Bhikhu,62,29,0,0,0,0,0,0,0,3.696
Spring 2022,PHYS,1102,9,15409,College Physics II (lab),Maric,Sladjana,2,7,14,0,0,0,0,0,1,2.665
Spring 2022,MATH,1324,9,14845,Finite Math with Applications,Hafeez,Shahinda,23,23,25,4,23,0,0,0,28,2.13
Spring 2022,PHYS,3110,1,17110,Sem-Adv Lab Analysis,Timmins,Anthony Robert,8,3,3,0,1,0,0,0,0,3.067
Spring 2022,ACCT,2301,6,16329,Prin of Financial Accounting,Goble,Samuel,20,34,19,13,13,0,0,0,20,2.43
Spring 2022,HRD,4352,1,17883,Facilitation Strategies,Owens-Shepard,Toya,27,1,2,0,1,0,0,0,0,3.678
Spring 2022,LAW,5421,2,17445,Business Organizations,Ragazzo,Robert A,9,16,2,0,0,0,0,0,2,3.271
Spring 2022,ECE,1197,1,26180,Selected Topics,De La Rosa-Pohl,Diana,19,0,0,0,0,0,0,0,0,4
Spring 2022,ENGL,4322,1,25421,Grammar & Usage,Duran,Chatwara,12,13,3,1,0,0,0,0,0,3.184
Spring 2022,CHEM,1312,6,20658,Fundamentals of Chemistry 2,Hoffman,David M,11,8,3,2,0,0,0,0,1,3.112
Spring 2022,PHYS,1101,13,16264,College Physics I (lab),Wood,Lowell T,3,16,3,0,0,0,0,0,0,2.865
Spring 2022,ELET,4303,1,14508,Power Distribution & Transmiss,Shireen,Wajiha,10,20,4,1,0,0,0,0,0,3.105
Spring 2022,PSYC,3350,1,16083,Intro to Cognitive Psychology,Deleanu,Evelina,13,21,19,5,4,0,0,0,8,2.628
Spring 2022,PSYC,4363,1,25816,Abnormal Child Psych,Viana,Andres G,6,21,11,2,2,0,0,0,6,2.619
Spring 2022,LAW,5254,1,16639,Tax Controversy & Litigation,Vasquez Jr,Juan F,3,5,0,0,0,0,0,0,0,3.499
Spring 2022,ENGL,2305,5,16481,Intro To Fiction,Christopherson,Alissa N,24,0,2,0,2,0,0,0,1,3.501
Spring 2022,GEOL,4370,1,17502,Global Seismology,Chesnokov,Evgeni M,1,4,0,0,0,0,0,0,0,3.332
Spring 2022,BIOL,1107,20,14064,Biology for Science Majors II,Medrano,Ana I,15,3,1,1,1,0,0,0,3,3.413
Spring 2022,MUED,3101,1,20072,Woodwinds,Bell,Priscilla Garrett,19,0,0,0,0,0,0,0,0,4
Spring 2022,PETR,6326,2,27039,Applied Reservoir Simulation,Rietz,Dean C,0,1,0,0,0,0,0,0,0,3.33
Spring 2022,MUSI,6106,2,18161,Grad Large Ensemble,Marmolejo,Noe J,1,0,0,0,0,0,0,0,0,4
Spring 2022,BCHS,8999,2,27264,Doctoral Dissertation,Yeo,Hye-Jeong,1,0,0,0,0,0,0,0,0,4
Spring 2022,INDE,8398,3,14722,Doctoral Research,Peng PhD,Jiming Ouyang,0,0,0,0,0,1,1,0,0,0
Spring 2022,PETR,8298,12,18921,Doctoral Research,Dindoruk,Birol,0,0,0,0,0,0,1,0,0,0
Spring 2022,CUIN,3312,2,19198,Educational Technology,Zhang,Haoyue,16,2,0,0,0,0,0,0,2,3.816
Spring 2022,HON,2101,2,14663,The Human Situation:Modernity,Mikics,David,188,100,11,2,2,0,0,2,7,3.491
Spring 2022,ELCS,6342,1,23403,Critical Issues in Higher Educ,McKinney,Lonnie Lyle,9,9,0,0,0,0,0,0,0,3.5
Spring 2022,GOVT,2306,50,23702,US and Texas Const/Politics,Belco,Michelle Helene,23,1,0,1,0,0,0,0,0,3.827
Spring 2022,HLT,4303,1,21374,The Obesity Epidemic,Olvera,Norma E,22,17,18,1,2,0,0,0,0,2.922
Spring 2022,MIS,3376,1,17392,Busn Appls Database Mgmt I,Dimoka,Angelika,15,9,2,3,0,0,0,0,1,3.173
Spring 2022,COMM,3374,1,19178,Strategic Social Media,Uhrick,Jan,10,13,5,0,1,0,0,0,0,3.023
Spring 2022,CUIN,7304,3,16733,Professional Seminar II,Gist,Conra D.,25,7,0,0,0,0,0,0,0,3.75
Spring 2022,LAW,6201,1,17064,Sexual Orientation and the Law,Devine,Corey Edward,2,2,0,0,0,1,0,0,0,2.734
Spring 2022,TMTH,3360,6,18721,Applied Technical Statistics,Daniel,Patrick Nathanial,5,12,6,0,0,0,0,4,4,2.942
Spring 2022,THEA,4390,1,17986,Acting Showcase: Capstone,Black,Shelley Calene,8,1,1,0,0,0,0,0,0,3.535
Spring 2022,MANA,7339,2,20979,Leadership Development,Witt,Lawrence A,28,0,0,0,0,0,0,0,0,3.714
Spring 2022,LAW,5227,1,17443,Procedure of Patent Litigation,Dhanani,Ali N,4,7,0,0,0,0,0,0,0,3.394
Spring 2022,PHLS,8193,1,18821,Internship in Psychology,Gonzalez,Jorge E,0,0,0,0,0,11,0,0,0,0
Spring 2022,FINA,4396,1,16792,Finance Internship,Kumar,Praveen,0,0,0,0,0,21,0,0,0,0
Spring 2022,SCM,3301,3,16775,SCM Fundamentals,Anderson Fletcher,Elizabeth,13,5,0,0,0,0,0,0,0,3.686
Spring 2022,HON,4399,4,19506,Senior Honors Thesis,Contreras-Vidal,Jose Luis,1,0,0,0,0,0,0,0,0,4
Spring 2022,LAW,6209,2,14800,Health Law Journal,Mantel,Jessica,0,0,0,0,0,8,0,0,0,0
Spring 2022,ENGL,2361,5,25209,Western World Lit II--Honors,Garner,Richard A,4,3,0,0,0,0,0,0,0,3.619
Spring 2022,ENGL,4396,1,25461,SR Experience Seminar Topics,Mikics,David,4,3,0,0,0,0,0,0,0,3.666
Spring 2022,MIS,4397,8,26305,Selected Topics in MIS,Messinger,Jacob Nelson,10,1,0,0,0,0,0,0,1,3.819
Spring 2022,CHEE,8399,18,18380,Doctoral Dissertation,Willson,Richard,0,0,0,0,0,3,0,0,0,0
Spring 2022,SPAN,6398,6,15355,Special Problems,Rivera Garza,Cristina,3,0,0,0,0,0,0,0,0,4
Spring 2022,CIVE,6388,2,26650,Hazardous Waste Proceses,Rixey,William G,3,0,0,0,0,0,0,0,0,3.89
Spring 2022,ECE,8498,19,15826,Doctoral Research,Pan,Miao,0,0,0,0,0,3,0,0,0,0
Spring 2022,HIST,8377,4,27458,Reading for Comps Exams,Rector,Josiah John,1,0,0,0,0,0,0,0,0,4
Spring 2022,MECE,2334,6,27396,Thermodynamics,Love,Holley Carole,4,0,0,0,0,0,0,0,0,3.918
Spring 2022,MUSI,8296,4,22525,Doctoral Essay,Murphy,Nancy Elizabeth,1,0,0,0,0,0,0,0,0,4
Spring 2022,COSC,4399,2,26607,Senior Honors Thesis,Shah,Shishir,1,0,0,0,0,0,0,0,0,4
Spring 2022,ENGI,1331,14,19147,Computing for Engineers,Aksu,Gulin Tulunay,21,18,7,3,3,0,0,0,9,2.987
Spring 2022,SCLT,4389,30,17219,Practicum in Supply Chain,Kidd,Margaret A,14,5,4,1,1,0,0,0,1,3.2
Spring 2022,ARTS,3316,1,23766,Relief Printmaking,Maddeaux,Elizabeth Ann,12,0,0,0,0,0,0,0,1,4
Spring 2022,PHIL,1305,4,13645,Intro To Ethics,Yau,Claudia,36,27,4,2,0,0,0,0,4,3.401
Spring 2022,HDCS,3304,2,24983,Visual Merchandising,Stewart,Barbara L,19,12,14,4,2,0,0,0,0,2.791
Spring 2022,BIOL,1107,19,14063,Biology for Science Majors II,Medrano,Ana I,12,5,6,0,1,0,0,0,0,3.125
Spring 2022,AAS,2320,5,16225,Intro To African American Stdy,Thompson,Kevin Bernard,39,0,0,1,0,0,0,0,0,3.9
Spring 2022,TLIM,4341,1,19758,Production & Service Operation,Lattier,Gregory Jeff,25,12,3,0,2,0,0,0,4,3.31
Spring 2022,HDFS,3310,1,17040,Introduction to Child Life,Fraser,Camille,14,2,2,0,0,0,0,0,1,3.648
Spring 2022,FREN,2312,3,15411,Intermediate French II,Panchang,Maya,3,4,6,2,0,0,0,0,0,2.489
Spring 2022,HON,2341,6,25293,Classics of Modernity,Gish,Dustin,10,2,0,0,0,0,0,0,2,3.751
Spring 2022,COMD,4382,1,16114,Aural Rehabilitation,Andrews,Chereece N,45,6,0,1,0,0,0,0,0,3.751
Spring 2022,CHEM,1112,42,16545,Fundamentals of Chm Lab,Zaitsev,Vladimir G,3,11,4,0,0,0,0,0,1,2.908
Spring 2022,ELCS,8191,1,18373,Special Field Projects,Davis,Bradley,11,4,1,0,0,0,0,0,0,3.625
Spring 2022,BIOL,2121,7,16432,Microbiology for Science Major,Knapp,Richard D,11,5,3,1,0,0,0,0,2,3.284
Spring 2022,HIST,3379,1,21523,World Civ To 1500,Choi,Mihwa,16,12,6,1,0,0,0,0,0,3.172
Spring 2022,FINA,4382,1,21066,Developing R E Project,Williams,Junious E,25,7,3,0,0,0,0,0,0,3.666
Spring 2022,OPTO,5135,1,15004,Ocular Anatomy Lab,Ostrin,Lisa,20,3,0,0,0,0,0,0,0,3.87
Spring 2022,GEOL,1103,2,14607,Physical Geology Lab,Sisson,Virginia B,11,4,0,0,1,0,0,0,2,3.479
Spring 2022,BIOL,8999,2,22345,Doctoral Dissertation,Dauwalder,Brigitte,0,0,0,0,0,1,0,0,0,0
