TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,TOTAL DROPPED,AVG GPA
Summer 2022,COMM,1303,2,13385,Writing for Communicators,Lyn,Robyn,11,1,2,0,0,0,0,3.549
Summer 2022,ACCT,2302,8,15312,Prin of Managerial Accounting,Newman,Michael Ray,12,5,6,0,0,0,1,3.247
Summer 2022,PETR,8398,11,16578,Doctoral Research,Sakhaee Pour,Ahmad,0,0,0,0,0,3,0,0
Summer 2022,CIVE,8598,22,17180,Doctoral Research,Rodrigues,Debora Frigi,0,0,0,0,0,6,0,0
Summer 2022,CIS,2332,1,15668,Info Tech Hdwr & Systems Sftwr,Peddoju,Suresh Kumar,19,0,0,0,0,0,0,3.965
Summer 2022,MATH,1324,5,10738,Finite Math with Applications,Chang,James A,5,4,4,3,4,0,0,2.216
Summer 2022,MATH,3321,1,10743,Engineering Mathematics,Etgen,Garret J,14,14,10,2,5,0,3,2.659
Summer 2022,HRMA,3341,1,12371,Hospitality Managerial Acct,Ramirez,Arlene D,0,4,1,0,0,0,0,2.8
Summer 2022,CUIN,3302,1,12612,Social Education,Thomas,Dustine J,24,0,0,0,1,0,1,3.84
Summer 2022,ELCS,8361,1,15623,Public & Community Relations,Freelon,Rhoda,7,0,0,0,0,0,0,4
Summer 2022,BIOE,8699,1,16425,Doctoral Dissertation,Mohan,Chandra,2,0,0,0,0,0,0,4
Summer 2022,ECON,3334,1,13477,Intermediate Macroeconomics,Mcgregor,Ryan P,8,3,9,1,0,0,3,2.747
Summer 2022,PHYS,2125,2,16202,University Physics Lab I,Maric,Sladjana,2,55,8,2,2,0,0,2.663
Summer 2022,HDCS,2301,1,11134,Consumer Science,Stewart,Juliana Floriene,25,0,0,1,0,0,1,3.808
Summer 2022,PSYC,6336,2,13137,Directed Rsch in Social Psyc,Neighbors,Clayton T,1,0,0,0,0,0,0,4
Summer 2022,CHEE,8399,12,10952,Doctoral Dissertation,Harold,Michael P,0,0,0,0,0,6,0,0
Summer 2022,LAW,5197,21,14197,Selected Topics,Lawrence,Jim E,0,0,0,0,0,4,0,0
Summer 2022,PSYC,7399,8,16803,Masters Thesis,Cirino,Paul,1,0,0,0,0,0,0,4
Summer 2022,SOCW,7391,1,11133,Field Practicum Elective,Gonzales,Shelley A,0,0,0,0,0,8,0,0
Summer 2022,MANA,8399,2,16519,Doctoral Dissertation,Vera,Dusya M,1,0,0,0,0,0,0,4
Summer 2022,ELCS,6342,1,12530,Critical Issues in Higher Educ,Barnes,Yolanda Michelle,5,1,0,0,0,0,0,3.888
Summer 2022,NURS,8336,1,16054,Advanced Synthesis Practicum,Joseph,Beena Roby,0,0,0,0,0,6,0,0
Summer 2022,PHLS,8199,3,16644,Dissertation,Reitzel,Lorraine R,1,0,0,0,0,0,0,4
Summer 2022,FINA,7361,1,12733,Risk Management,Hogan,Kenneth David,16,0,0,0,0,0,0,4
Summer 2022,COMD,7381,1,11269,Medical SLP Seminar,Ivey,Michelle L,13,0,0,0,0,0,0,3.949
Summer 2022,BIOE,8398,5,16405,Doctoral Research,Naash,Muna,0,0,0,0,0,5,0,0
Summer 2022,PETR,6397,1,16268,Selected Topics,Mohamed,Mohamed Ibrahim,13,1,1,0,0,0,0,3.712
Summer 2022,CUIN,8310,46,11789,Laboratory of Practice,McNeil,Sara G,4,0,0,0,0,0,0,4
Summer 2022,LAW,5602,1,11992,Govt Nonprofit Extshp I,Hancock,Amy Sladczyk,0,0,0,0,0,4,0,0
Summer 2022,LAW,6355,3,11602,Govt Nonprofit Extshp II,Powers,William,0,0,0,0,0,2,0,0
Summer 2022,CHEM,1311,1,12444,Fundamentals of Chemistry,Czader,Arkadiusz,5,14,19,20,36,0,5,1.263
Summer 2022,FINA,7374,1,12946,Midstream Energy Finance,Broxson,John Robert,36,0,0,0,0,0,0,3.991
Summer 2022,COMM,4303,1,12362,Communication Law and Ethics,Bundage Juvane,Stephanie,18,0,0,0,0,0,0,4
Summer 2022,TLIM,4341,31,12954,Production & Service Operation,Terrell,John Allen,11,8,1,0,0,0,0,3.418
Summer 2022,SPEC,7341,1,12615,Assessment of Learning Diff,Hassett,Kristen Spring,8,0,0,0,0,0,1,3.959
Summer 2022,CHEM,4340,1,15637,Research Methods,Ekeoba,Jacqueline Njideka,2,0,0,0,0,0,0,4
Summer 2022,MANA,4355,1,11613,Selection and Staffing,Phillips,James S,7,19,4,2,0,0,0,2.938
Summer 2022,CNST,3205,1,11787,Construction Safety Management,Hart,Lee J,24,3,0,0,0,0,0,3.889
Summer 2022,PHYS,8698,11,16721,Doctoral Research,Freelon,Byron Kendall,0,0,0,0,0,4,0,0
Summer 2022,PHLS,8351,1,12201,Hist & Philosophy of Psyc Syst,Reyna,Ronda,31,0,0,0,0,0,0,4
Summer 2022,PSYC,2301,5,11920,Introduction to Psychology,Capuozzo,Kristen Irene,9,4,1,1,0,0,0,3.4
Summer 2022,MIS,4397,1,14491,Selected Topics in MIS,Messinger,Jacob Nelson,12,0,0,0,0,0,1,3.863
Summer 2022,DIGM,3152,30,13441,Graphic Comm Output Lab,Dawson,Michael John,7,1,0,0,0,0,0,3.875
Summer 2022,MATH,4378,1,10744,Advanced Linear Algebra II,Torok,Andrei S,4,3,5,3,1,0,0,2.231
Summer 2022,ILAS,3150,1,16847,Internship Practicum,Connolly,Sally,6,2,1,0,1,0,0,3.2
Summer 2022,COMD,7383,2,11628,Pediatric SLP Seminar,Ivey,Michelle L,9,0,0,0,0,0,0,3.963
Summer 2022,COMD,7170,1,16968,Graduate Seminar in SLP,Cizek,Laura S,1,0,0,0,0,0,0,4
Summer 2022,CHEM,6698,20,11627,Special Problems,Gilbertson,Scott R,0,0,0,0,0,4,0,0
Summer 2022,PHYS,8698,24,16734,Doctoral Research,Renshaw,Andrew,0,0,0,0,0,3,0,0
Summer 2022,PHOP,6557,4,16400,Research Practicum B,Coulson-Thomas,Vivien J,1,0,0,0,0,0,0,4
Summer 2022,ACCT,4396,1,10521,Accounting Internship,Newman,Michael Ray,0,0,0,0,0,2,0,0
Summer 2022,ECE,8398,8,16845,Doctoral Research,Chen,Ji,0,0,0,0,0,1,0,0
Summer 2022,ELCS,6393,1,12234,Practicum,Davis,Tiffany J,2,0,0,0,0,0,0,4
Summer 2022,PHOP,8598,9,16654,Doctoral Research,Harrison,Wendy W,1,0,0,0,0,0,0,4
