TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,TOTAL DROPPED,AVG GPA
Spring 2023,SOCW,7325,1,10002,Assessment in SW Practice,Parks,Steven Lee,17,0,0,0,0,0,0,3.981
Spring 2023,PHIL,1301,1,10243,Intro To Philosophy,Aiman,Edwin E,44,24,3,1,3,0,1,3.343
Spring 2023,PHIL,1301,3,10245,Intro To Philosophy,Haaga,Curtis W,47,25,4,2,4,0,6,3.309
Spring 2023,PHIL,1301,4,10246,Intro To Philosophy,Oliveira,Luis RG,70,34,10,2,2,0,1,3.393
Spring 2023,PHIL,1305,1,10247,Intro To Ethics,Coates,Daniel J,72,31,12,0,1,0,4,3.514
Spring 2023,PHIL,1305,2,10248,Intro To Ethics,Aiman,Edwin E,18,42,6,0,6,0,3,2.94
Spring 2023,PHIL,1305,3,10249,Intro To Ethics,Sommers,Tamler S,71,14,13,2,6,0,10,3.302
Spring 2023,PHIL,1321,2,10250,Logic I,Buckner,Cameron J,25,35,19,6,7,0,23,2.717
Spring 2023,PHIL,1321,3,10251,Logic I,Haaga,Curtis W,19,23,10,14,10,0,23,2.316
Spring 2023,PHIL,1321,4,10252,Logic I,Haaga,Curtis W,11,11,8,4,5,0,9,2.436
Spring 2023,PHIL,1321,5,10254,Logic I,Loewenstein,Yael R,36,21,16,14,20,0,11,2.309
Spring 2023,PHIL,1361,1,10257,Philosophy and the Arts,Drapela,Nick Gerard,16,24,5,3,1,0,0,3.054
Spring 2023,PHIL,1361,2,10258,Philosophy and the Arts,Drapela,Nick Gerard,16,16,9,5,2,0,2,2.812
Spring 2023,PHIL,1361,3,10259,Philosophy and the Arts,Drapela,Nick Gerard,18,13,12,2,2,0,2,2.873
Spring 2023,PHIL,1361,4,10260,Philosophy and the Arts,Drapela,Nick Gerard,15,17,10,4,0,0,3,2.942
Spring 2023,PHIL,3386,1,10261,19th Century Philosophy,Werner,Andrew Timothy,10,5,2,1,0,0,1,3.315
Spring 2023,PHIL,3358,1,10262,Classics in Hist of Ethics,Phillips,David K,14,7,3,0,1,0,3,3.267
Spring 2023,ARCH,4324,1,10267,High-Rise Structures,Colaco,Joseph P,0,2,4,0,0,0,1,2.388
Spring 2023,ARCH,6324,1,10268,High Rise Structures,Colaco,Joseph P,10,5,0,0,0,0,0,3.557
Spring 2023,AAS,2320,1,10270,Intro To African American Stdy,Smith,Marlon Antoine,14,12,5,2,1,0,0,3.059
Spring 2023,AAS,2320,2,10271,Intro To African American Stdy,Wiggins,Gretchen Flowers,8,14,2,0,1,0,9,3.08
Spring 2023,AAS,4370,1,10272,Sem. African American Studies,Shinault,Carley Michelle,12,6,1,0,1,0,1,3.4
Spring 2023,ACCT,2301,1,10273,Prin of Financial Accounting,Farrar,Felicia,6,4,3,1,2,0,3,2.77
Spring 2023,ACCT,2302,1,10274,Prin of Managerial Accounting,Weber,Catherine K,99,44,28,9,2,0,5,3.293
Spring 2023,ACCT,3368,1,10275,Intermediate Accounting II,Wang,Yu,1,6,2,1,0,0,2,2.601
Spring 2023,ACCT,4331,1,10276,Federal Income Tax-Individual,Fernandez,Ramon,8,22,7,0,0,0,2,3.116
Spring 2023,ACCT,4331,2,10277,Federal Income Tax-Individual,Small,Randolph Christopher,8,11,4,2,0,0,0,3.0
Spring 2023,ACCT,4396,1,10279,Accounting Internship,Newman,Michael Ray,0,0,0,0,0,30,0,
Spring 2023,ACCT,5330,1,10280,Advanced Accounting,Ramaswamy,Vinita,1,3,1,0,0,0,0,3.132
Spring 2023,ACCT,5337,1,10281,Management Accounting,Serrato,Darlene Marie  Bohac,2,4,1,0,0,0,1,3.19
Spring 2023,ACCT,5368,1,10282,Intermediate Accounting II,Wang,Yu,2,4,0,0,0,0,3,3.223
Spring 2023,ACCT,6331,1,10283,Financial Accounting,Li,Bin,8,9,0,0,0,0,0,3.529
Spring 2023,ACCT,7330,1,10284,Advanced Accounting,Ramaswamy,Vinita,5,1,1,0,0,0,0,3.571
Spring 2023,ACCT,7330,2,10285,Advanced Accounting,Ramaswamy,Vinita,6,2,1,0,0,0,0,3.519
Spring 2023,ACCT,7340,1,10286,Financial Statement Analysis,Crawford,Steven,4,2,0,0,0,0,0,3.722
Spring 2023,ACCT,7340,2,10287,Financial Statement Analysis,Crawford,Steven,19,12,0,0,0,0,1,3.645
Spring 2023,ACCT,8699,1,10288,Doctoral Dissertation,Lobo,Gerald,1,0,0,0,0,1,0,4.0
Spring 2023,ACCT,8999,1,10289,Doctoral Dissertation,Lu,Tong,0,0,0,0,0,1,0,
Spring 2023,AFSC,1202,1,10290,Foundations of the USAF II,O'Connor,Anthony,2,1,0,0,0,0,0,3.667
Spring 2023,AFSC,1202,2,10291,Foundations of the USAF II,O'Connor,Anthony,5,3,0,0,0,0,1,3.378
Spring 2023,AFSC,2202,2,10294,Evolution of Air Power II,O'Connor,Anthony,6,0,0,0,0,0,0,3.89
Spring 2023,AFSC,3302,1,10296,Air Force Leadership II,Williams,Randi,3,0,0,0,0,0,1,4.0
