TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,TOTAL DROPPED,AVG GPA
Fall 2023,PHYS,2325,1,10002,University Physics I (lecture),McElhenny,Brian Patrick,55,37,47,14,10,0,18,2.665
Fall 2023,GENB,7A97,1,10005,Selected Topics,Haseley,Ken A.,15,3,0,0,0,0,0,3.833
Fall 2023,GENB,7A97,2,10006,Selected Topics,Haseley,Ken A.,9,2,1,0,0,0,0,3.667
Fall 2023,GENB,7A97,3,10007,Selected Topics,Williams,John M,18,0,0,0,0,0,0,4.0
Fall 2023,GENB,7A97,4,10008,Selected Topics,Williams,John M,11,0,0,0,0,0,0,4.0
Fall 2023,SCM,6301,1,10009,Supply Chain Mgt Foundations,Hosseinabadi Farahani,Mehdi,7,0,0,0,0,0,0,3.906
Fall 2023,SCM,6301,2,10010,Supply Chain Mgt Foundations,Smith,Gordon D,8,3,1,0,0,0,0,3.611
Fall 2023,MANA,6A25,1,10012,Ethical Leadrshp & Crit Reason,Krylova,Ksenia O,18,0,0,0,0,0,0,4.0
Fall 2023,MANA,6332,1,10013,Organiztnl Behavior & Mangemnt,Werner,Steve,18,0,0,0,0,0,0,3.982
Fall 2023,BZAN,6310,5,10014,Quant Analysis for Busn Dec,Johnson,Norman A,11,6,0,0,0,0,0,3.569
Fall 2023,BZAN,6310,6,10015,Quant Analysis for Busn Dec,Johnson,Norman A,8,3,0,0,0,0,0,3.757
Fall 2023,COMM,6399,1,10018,Masters Thesis,Camaj,Lindita,3,0,0,0,0,0,0,4.0
Fall 2023,SOCW,8334,1,10019,Social Policy Analysis,Ali,Samira Bano,3,1,0,0,0,0,0,3.75
Fall 2023,SOCW,8323,1,10020,Research Methods III,Walton,Quenette,5,1,0,0,0,0,0,3.833
Fall 2023,PHIL,1301,3,10022,Intro To Philosophy,Haaga,Curtis W,30,12,4,2,0,0,0,3.445
Fall 2023,PHIL,1301,4,10023,Intro To Philosophy,Haaga,Curtis W,35,14,1,0,0,0,2,3.654
Fall 2023,PHIL,1305,1,10024,Intro To Ethics,Aiman,Edwin E,31,31,1,1,5,0,4,3.15
Fall 2023,PHIL,1361,1,10025,Philosophy and the Arts,Drapela,Nick Gerard,20,13,8,2,1,0,7,3.106
Fall 2023,ARCH,1500,1,10026,Design Studio I,Benjamin,Gregory,9,5,1,0,0,0,0,3.401
Fall 2023,ARCH,1500,3,10028,Design Studio I,Murray,Cara,3,7,1,0,1,0,2,2.889
Fall 2023,ARCH,1500,5,10030,Design Studio I,Perez Lopez,Elena Maria,8,5,2,0,0,0,0,3.356
Fall 2023,ARCH,1500,7,10032,Design Studio I,Wells,Adam C,0,12,1,0,0,0,0,3.025
Fall 2023,ARCH,1500,9,10034,Design Studio I,Wienert,Ross George,7,4,2,0,0,0,2,3.385
Fall 2023,ARCH,1500,11,10036,Design Studio I,Kudless,Andrew Justin,12,3,0,0,0,0,0,3.822
Fall 2023,ARCH,1500,13,10038,Design Studio I,Olwi,Asmaa,5,8,1,0,0,0,0,3.333
Fall 2023,ARCH,2350,1,10040,Hist of the Built Environmt I,Ramaswamy,Deepa,91,59,15,3,5,0,7,3.203
Fall 2023,ARCH,2500,1,10047,Arc/Int Arc Design Studio III,Gonzales,Michael A,10,5,1,1,0,0,0,3.334
Fall 2023,ARCH,2500,5,10049,Arc/Int Arc Design Studio III,Lutz,Shawn M,10,4,2,0,0,0,0,3.459
Fall 2023,ARCH,2500,11,10053,Arc/Int Arc Design Studio III,Murray,Cara,3,7,3,1,1,0,1,2.645
Fall 2023,ARCH,4373,1,10057,Urban Environments,Rifaat,Shafik I,109,10,0,0,0,0,0,3.805
Fall 2023,ARCH,5500,3,10058,Architecture Design Studio IX,Longoria,Rafael R,6,0,0,0,0,0,0,3.89
Fall 2023,ARCH,6301,1,10060,Visual Studies I,Logan,Jason,7,2,2,0,0,0,0,3.365
Fall 2023,ARCH,6340,1,10062,Architectural History Survey I,Ramaswamy,Deepa,5,5,1,0,0,0,0,3.244
Fall 2023,ARCH,7600,1,10064,Architecture Design Studio V,Race,Bruce Alan,1,2,0,0,0,0,0,3.553
Fall 2023,INDS,2340,1,10066,Visual Communication,Jamjoom,Zain Ahmed,4,5,4,1,0,0,0,2.951
Fall 2023,INDS,2355,1,10068,Design History I,Ramirez,Enrique,18,9,2,0,0,0,1,3.461
Fall 2023,INDS,3500,1,10069,Industrial Design Studio V,Feng,Jeff Feng,3,10,0,0,0,0,0,3.282
Fall 2023,INDS,4500,1,10071,Industrial Design Studio VII,Morshedzadeh,Elham,2,6,0,0,0,0,0,3.168
Fall 2023,ACCT,2301,1,10074,Prin of Financial Accounting,Goble,Samuel,19,35,10,4,2,0,9,3.051
Fall 2023,ACCT,2301,2,10075,Prin of Financial Accounting,Goble,Samuel,15,36,7,2,5,0,1,2.927
Fall 2023,ACCT,2301,3,10076,Prin of Financial Accounting,Goble,Samuel,37,62,33,9,9,0,23,2.845
Fall 2023,ACCT,3377,1,10077,Cost Accounting,Lin,Haijin,13,13,9,5,0,0,2,2.85
Fall 2023,ACCT,3377,2,10078,Cost Accounting,Lin,Haijin,19,22,12,3,0,0,3,2.983
Fall 2023,ACCT,3368,1,10079,Intermediate Accounting II,Muslu,Volkan,0,11,11,1,0,0,1,2.349
Fall 2023,ACCT,4335,1,10080,Financial Statement Auditing,Zhao,Yuping,25,32,5,0,1,0,0,3.27
Fall 2023,ACCT,4375,1,10081,Internal Audit Entity Environ,Brant Jr,Robert Edward,5,8,5,0,0,0,0,3.055
Fall 2023,ACCT,5367,1,10082,Intermediate Accounting I,Noland,Thomas R,5,4,4,0,0,0,0,3.229
Fall 2023,ACCT,6331,1,10083,Financial Accounting,Larson,Chad R,10,7,1,0,0,0,1,3.482
Fall 2023,ACCT,6331,2,10084,Financial Accounting,Kuruvilla,Mohan,12,9,3,1,0,0,0,3.306
Fall 2023,ACCT,6331,4,10085,Financial Accounting,Larson,Chad R,18,11,0,1,1,0,4,3.409
Fall 2023,ACCT,7330,1,10086,Advanced Accounting,Ramaswamy,Vinita,13,12,2,0,0,0,0,3.444
Fall 2023,ACCT,7330,2,10087,Advanced Accounting,Ramaswamy,Vinita,9,5,0,0,0,0,0,3.69
Fall 2023,ACCT,7340,2,10088,Financial Statement Analysis,Lu,Tong,17,1,1,0,1,0,0,3.634
Fall 2023,ACCT,7375,1,10089,Taxation of Business Entities,Fernandez,Ramon,5,11,4,0,0,0,2,3.149
Fall 2023,ACCT,8699,1,10090,Doctoral Dissertation,Lobo,Gerald,1,0,0,0,0,0,0,4.0
Fall 2023,ACCT,8999,1,10091,Doctoral Dissertation,Lu,Tong,0,0,0,0,0,1,0,
Fall 2023,ENTR,3310,1,10092,Entrepreneurship,Ortega,Carlos Alberto,168,22,4,1,0,0,2,3.77
Fall 2023,ENTR,3310,2,10093,Entrepreneurship,Wilbur,Stephen,116,135,18,3,0,0,4,3.319
Fall 2023,ENTR,3312,1,10094,Corporate Entrepreneurship,Karonika,John R,25,22,1,0,0,0,2,3.459
Fall 2023,ENTR,3312,2,10095,Corporate Entrepreneurship,Karonika,John R,21,14,5,0,0,0,8,3.342
Fall 2023,ENTR,3312,3,10096,Corporate Entrepreneurship,Lish,Alan D,28,52,14,1,2,0,2,3.021
Fall 2023,FINA,3332,3,10097,Prin of Financial Management,Chisholm,Darla,24,41,66,35,10,0,17,2.161
Fall 2023,FINA,4354,1,10098,Risk Management,Kapatos,Nick Gus,16,19,19,7,0,0,1,2.77
Fall 2023,FINA,4355,1,10099,International Risk Management,Kapatos,Nick Gus,15,40,4,0,0,0,1,3.125
Fall 2023,FINA,4357,1,10100,Commercial Liability,Kapatos,Nick Gus,10,12,10,0,0,0,0,2.99
Fall 2023,FINA,6387,2,10101,Managerial Analysis,Basu,Swati,16,6,0,0,0,0,0,3.727
Fall 2023,FINA,8398,1,10103,Special Problems,George,Thomas J,1,0,0,0,0,0,0,4.0
Fall 2023,FINA,8999,1,10106,Doctoral Dissertation,Yerramilli,Vijay,0,0,0,0,0,1,0,
Fall 2023,BUSI,4396,1,10107,Business Internship,Wortzel,Zachary,0,0,0,0,0,42,0,
Fall 2023,MANA,3335,1,10109,Intro Org Behavior and Mgmt,Sebastijanovic,Marina,208,35,4,0,1,0,1,3.776
Fall 2023,MANA,3335,4,10110,Intro Org Behavior and Mgmt,Currie,Daniel David,180,54,8,2,4,0,2,3.61
Fall 2023,MANA,4330,1,10111,Intro to Strategic HR Mgt,Phillips,James S,102,99,15,4,2,0,2,3.269
Fall 2023,MARK,4389,1,10118,Marketing Strategy & Planning,Agrawal,Arpit,29,1,0,0,0,0,0,3.934
Fall 2023,MARK,4389,2,10119,Marketing Strategy & Planning,Koch,Steven F,31,0,0,0,0,0,0,3.979
Fall 2023,MARK,4389,3,10120,Marketing Strategy & Planning,Randazzo,Gary W,27,4,0,0,0,0,0,3.733
Fall 2023,MARK,4389,4,10121,Marketing Strategy & Planning,Beveridge,Ivana,31,1,0,0,0,0,0,3.938
Fall 2023,MARK,4373,1,10122,Advanced Professional Selling,Bremer,Justin,16,10,0,0,0,0,0,3.628
Fall 2023,MARK,4374,1,10123,Sales Management,Webb,James R,26,0,0,0,0,0,0,4.0
Fall 2023,MARK,4374,2,10124,Sales Management,Webb,James R,26,0,0,0,0,0,0,4.0
Fall 2023,MARK,4375,1,10125,Key Account Selling,Webb,James R,17,3,0,0,0,0,0,3.735
Fall 2023,MARK,7374,1,10126,New Product Development,Kamal,Saiyid Zafar,12,1,0,0,0,0,0,3.847
Fall 2023,MARK,8398,1,10127,Special Problems,Ahearne,Michael,1,0,0,0,0,0,0,4.0
Fall 2023,MARK,8399,1,10128,Doctoral Dissertation,Ahearne,Michael,0,0,0,0,0,1,0,
Fall 2023,ACCT,4330,1,10131,Advanced Accounting,Ramaswamy,Vinita,4,1,1,0,0,0,0,3.61
Fall 2023,ACCT,4330,2,10132,Advanced Accounting,Ramaswamy,Vinita,1,2,0,0,0,0,0,3.443
Fall 2023,ENTR,3312,4,10133,Corporate Entrepreneurship,Lish,Alan D,23,52,21,1,1,0,1,2.932
Fall 2023,ACCT,7370,1,10134,Adv Fin Statement Auditing,Zhao,Yuping,13,3,1,0,0,0,0,3.725
Fall 2023,ENTR,7336,1,10149,Entrepreneurship Overview,Wilbur,Stephen,16,7,0,0,0,0,0,3.667
Fall 2023,ACCT,2301,4,10150,Prin of Financial Accounting,Goble,Samuel,33,29,8,2,1,0,4,3.342
Fall 2023,STAT,3331,1,10151,Statistical Anal Bus Appl I,Wiley,Briceon C,127,106,72,52,3,0,42,2.792
Fall 2023,SCM,3301,1,10152,SCM Fundamentals,Miller,Bradley D,358,169,18,2,0,0,1,3.584
Fall 2023,BCIS,1305,1,10153,Business Computer Applications,Felvegi,Emese,25,0,0,0,0,0,0,3.987
Fall 2023,BCIS,1305,2,10154,Business Computer Applications,Felvegi,Emese,198,39,10,0,2,0,1,3.719
Fall 2023,MIS,3370,1,10155,Info Systems Development Tools,Hossain,Nahid,8,14,17,6,4,0,11,2.327
Fall 2023,MIS,3371,1,10156,Transaction Processing Sys I,Messinger,Jacob Nelson,146,33,1,0,0,0,0,3.763
Fall 2023,FINA,4370,1,10158,Energy Trading,Smith III,Edwin A,5,3,0,0,0,0,0,3.584
Fall 2023,FINA,4371,1,10159,Energy Value Chain,Slaughter,Andrew Jeremy,1,8,1,0,0,0,0,3.0
Fall 2023,MARK,4373,2,10160,Advanced Professional Selling,Pingel,John W,23,8,1,0,0,0,0,3.615
