TERM,SUBJECT,CATALOG_NUMBER,SECTION_NUMBER,FACULTY_NAME,A,A-,B,B-,B+,C,C-,C+,D,D-,D+,F,W,Total,AVG GPA
Fall 2025,AAMS,2300,02,"Nguyen,An",4,4,1,4,4,1,,,1,,2,3,3,27,2.346
Fall 2025,AAMS,2300,01,"Nguyen,An",5,4,,1,4,,4,1,1,,,1,1,22,2.758
Fall 2025,AAMS,4300,01,"Nguyen,An",2,3,1,,,1,,,,,,,,7,3.430
Fall 2025,AAS,2320,04,"Muhammad Murphy,Wilma Denae",9,26,1,,4,1,1,,1,,,1,1,45,3.387
Fall 2025,AAS,2320,6,"Muhammad Murphy,Wilma Denae",16,18,2,3,2,,,1,,,,,1,43,3.560
Fall 2025,AAS,2320,07,"Green,Tara T",7,3,3,1,4,1,,3,,,2,,11,35,2.161
Fall 2025,AAS,2320,01,"Wright,Kelechi Chinyere",21,4,1,,6,,,,,,,,1,33,3.687
Fall 2025,AAS,2320,5,"Wiggins,Gretchen Flowers",7,5,3,2,2,2,,4,,,,,8,33,2.445
Fall 2025,AAS,2320,02,"Shakir,Ameenah",13,7,2,,5,1,,1,,,,3,,32,3.271
Fall 2025,AAS,2320,03,"Muhammad Murphy,Wilma Denae",3,10,5,2,6,,1,,,,,,2,29,3.127
Fall 2025,AAS,2320,8,"Horne,Gerald",1,5,4,,1,2,1,4,,,,,1,19,2.772
Fall 2025,AAS,3348,1,"Putman,Eronn A",30,2,1,1,,1,,,,,,,1,36,3.750
Fall 2025,AAS,3375,1,"Shakir,Ameenah",11,5,2,1,2,1,,,,,,2,,24,3.320
Fall 2025,AAS,3325,1,"Wright,Kelechi Chinyere",11,,1,,1,,,,,,,,2,15,3.355
Fall 2025,AAS,4330,1,"Johnson,Alexander Emmitt Maurice",5,1,1,,,,,,,,,2,3,12,2.223
Fall 2025,AAS,3339,1,"Langa,Neema Michael",5,,1,,1,,,,,,,,,7,3.761
Fall 2025,AAS,3366,1,"Muhammad Murphy,Wilma Denae",5,,,,,,,,,,,,,5,4.000
Fall 2025,ACCT,2301,09,"Serrato,Darlene Marie  Bohac",14,,42,,22,37,,35,43,,27,26,31,277,1.768
Fall 2025,ACCT,2301,10,"Parthasarathy,Kiran M",25,,31,,33,41,,30,37,,31,14,35,277,1.924
Fall 2025,ACCT,2301,04,"Serrato,Darlene Marie  Bohac",11,,45,,23,35,,25,48,,32,19,25,263,1.804
Fall 2025,ACCT,2301,11,"Serrato,Darlene Marie  Bohac",21,,25,,19,50,,27,51,,25,14,27,259,1.812
Fall 2025,ACCT,2301,02,"Zhu,Limin",4,,11,,6,6,,12,12,,10,5,9,75,1.790
