TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,TOTAL DROPPED,AVG GPA
Spring 2019,AAS,2320,1,Intro To African American Stdy,Smith,Marlon Antoine,7,12,7,4,6,0,2.314
Spring 2019,AAS,2320,2,Intro To African American Stdy,Horne,Gerald,,,,,,,
Spring 2019,AAS,2320,3,Intro To African American Stdy,Walker,Alan,19,10,6,0,5,3,2.925
Spring 2019,AAS,2320,4,Intro To African American Stdy,Thompson,Kevin Bernard,25,6,1,2,0,1,3.52
Spring 2019,AAS,2320,5,Intro To African American Stdy,Thompson,Kevin Bernard,31,5,1,0,0,1,3.766
Spring 2019,AAS,2320,6,Intro To African American Stdy,Poindexter-Sylvers,Carole Jean,12,7,0,0,2,8,3.317
Spring 2019,AAS,2330,1,Black Liberation Theology,Francois III,Willie Dwayne,22,11,1,0,0,0,3.511
Spring 2019,AAS,3301,1,Hip Hop History and Culture,Chiles IV,John Ritchie,18,4,2,0,0,1,3.68
Spring 2019,AAS,3348,1,African Americans and the Law,Putman,Eronn A,2,13,11,0,0,2,2.717
Spring 2019,AAS,3354,1,AF Nation'st Thought Ethics/US,Conyers,James l,,,,,,,
Spring 2019,AAS,3366,1,AAS Community Internship,Conyers,James l,,,,,,,
Spring 2019,AAS,3394,2,Selected Topics Afr Am Stdy,Horne,Gerald,,,,,,,
Spring 2019,AAS,3394,2,Selected Topics Afr Am Stdy,Dewalt,Ashley Lewis,11,14,5,0,2,1,3
Spring 2019,AAS,3394,3,Selected Topics Afr Am Stdy,Edwards,Crystal Latanya,,,,,,,
Spring 2019,AAS,4330,1,The Black Church in America,Johnson,Alexander Emmitt Maurice,12,5,1,4,9,3,2.151
Spring 2019,AAS,4370,1,Sem. African American Studies,Conyers,James l,11,7,3,0,0,2,3.365
Spring 2019,AAS,6307,1,Seminar On Mlk Jr. & Malcolm X,Conyers,James l,19,0,0,0,0,2,3.579
Spring 2019,ACCT,2331,1,Acct Principles I - Financial,Sykes,Mary Reeves,25,17,16,2,2,4,3.053
Spring 2019,ACCT,2331,2,Acct Principles I - Financial,Goble,Samuel,20,23,20,7,2,3,2.777
Spring 2019,ACCT,2331,4,Acct Principles I - Financial,Serrato,Darlene Marie  Bohac,29,40,32,18,9,14,2.549
Spring 2019,ACCT,2331,5,Acct Principles I - Financial,Serrato,Darlene Marie  Bohac,20,24,14,4,5,9,2.825
Spring 2019,ACCT,2331,6,Acct Principles I - Financial,Serrato,Darlene Marie  Bohac,13,20,12,0,8,11,2.591
Spring 2019,ACCT,2331,7,Acct Principles I - Financial,Sykes,Mary Reeves,26,16,12,1,3,6,3.109
Spring 2019,ACCT,2331,8,Acct Principles I - Financial,Goble,Samuel,21,13,19,11,1,10,2.722
Spring 2019,ACCT,2331,9,Acct Principles I - Financial,Goble,Samuel,11,22,14,13,2,8,2.51
Spring 2019,ACCT,2331,10,Acct Principles I - Financial,Sykes,Mary Reeves,31,13,8,6,1,6,3.192
Spring 2019,ACCT,2331,11,Acct Principles I - Financial,Sykes,Mary Reeves,16,18,13,5,3,9,2.757
Spring 2019,ACCT,2331,12,Acct Principles I - Financial,Serrato,Darlene Marie  Bohac,24,19,11,8,3,10,2.876
Spring 2019,ACCT,2331,13,Acct Principles I - Financial,Goble,Samuel,19,13,13,9,8,6,2.478
Spring 2019,ACCT,2331,14,Acct Principles I - Financial,Goble,Samuel,14,24,19,7,2,14,2.726
Spring 2019,ACCT,2332,1,Acct Principles 2-Managerial,Newman,Michael Ray,17,7,0,0,0,0,3.736
Spring 2019,ACCT,2332,2,Acct Principles 2-Managerial,Weber,Catherine K,30,21,17,7,2,3,2.991
Spring 2019,ACCT,2332,3,Acct Principles 2-Managerial,Weber,Catherine K,22,35,15,6,0,1,3.004
Spring 2019,ACCT,2332,4,Acct Principles 2-Managerial,Parthasarathy,Kiran M,117,96,44,10,1,10,3.264
Spring 2019,ACCT,2332,5,Acct Principles 2-Managerial,Seltz,Joe D,23,24,11,5,1,1,3.041
Spring 2019,ACCT,2332,6,Acct Principles 2-Managerial,Seltz,Joe D,22,23,10,6,0,4,3.038
Spring 2019,ACCT,2332,7,Acct Principles 2-Managerial,Seltz,Joe D,43,67,56,23,2,9,2.734
Spring 2019,ACCT,2332,8,Acct Principles 2-Managerial,Parthasarathy,Kiran M,32,20,8,1,0,5,3.431
Spring 2019,ACCT,2332,9,Acct Principles 2-Managerial,Newman,Michael Ray,15,8,0,0,0,0,3.609
Spring 2019,ACCT,2332,10,Acct Principles 2-Managerial,Newman,Michael Ray,13,3,0,0,0,2,3.854
Spring 2019,ACCT,2332,11,Acct Principles 2-Managerial,Seltz,Joe D,15,20,11,10,2,3,2.723
Spring 2019,ACCT,3366,1,Financial Reporting Frameworks,Harris,Kathleen L,21,18,8,5,3,18,2.897
Spring 2019,ACCT,3366,2,Financial Reporting Frameworks,Harris,Kathleen L,16,10,11,8,9,20,2.357
Spring 2019,ACCT,3366,3,Financial Reporting Frameworks,Harris,Kathleen L,19,14,15,8,1,22,2.783
Spring 2019,ACCT,3366,4,Financial Reporting Frameworks,Harris,Kathleen L,15,15,6,14,9,16,2.276
Spring 2019,ACCT,3367,1,Intermediate Accounting I,Wang,Yu,9,10,15,8,2,20,2.416
Spring 2019,ACCT,3367,3,Intermediate Accounting I,Kilic,Emre,13,9,4,1,2,20,3.057
Spring 2019,ACCT,3367,4,Intermediate Accounting I,Wang,Yu,9,5,16,7,1,11,2.429
Spring 2019,ACCT,3367,5,Intermediate Accounting I,Wang,Yu,8,11,7,5,4,15,2.475
Spring 2019,ACCT,3367,6,Intermediate Accounting I,Gamble,George O,2,2,0,4,0,9,2.25
Spring 2019,ACCT,3367,7,Intermediate Accounting I,Gamble,George O,,,,,,,
Spring 2019,ACCT,3368,1,Intermediate Accounting II,Sun,Xue,6,7,8,1,0,2,2.848
Spring 2019,ACCT,3368,4,Intermediate Accounting II,Nathan,Edward C,17,12,28,0,0,7,2.848
Spring 2019,ACCT,3368,5,Intermediate Accounting II,Nathan,Edward C,18,19,20,0,0,8,2.982
Spring 2019,ACCT,3371,1,Accounting Information Systems,Miles,Carolyn A,4,14,4,0,1,1,2.927
Spring 2019,ACCT,3371,2,Accounting Information Systems,Miles,Carolyn A,6,17,6,0,7,3,2.426
Spring 2019,ACCT,3371,3,Accounting Information Systems,Miles,Carolyn A,6,14,11,2,1,2,2.647
Spring 2019,ACCT,3371,4,Accounting Information Systems,Miles,Carolyn A,17,13,5,2,2,1,2.975
Spring 2019,ACCT,3377,1,Cost Accounting,Yampuler,Michael,47,11,10,2,2,5,3.37
Spring 2019,ACCT,3377,2,Cost Accounting,Yampuler,Michael,34,14,12,0,2,4,3.263
Spring 2019,ACCT,3377,3,Cost Accounting,Yampuler,Michael,28,21,17,3,1,8,3.014
Spring 2019,ACCT,3377,4,Cost Accounting,Yampuler,Michael,22,17,12,4,2,9,2.959
Spring 2019,ACCT,3377,6,Cost Accounting,Serrato,Darlene Marie  Bohac,4,4,4,0,0,0,3.055
Spring 2019,ACCT,4105,1,PPA Colloquium 1,Newman,Michael Ray,,,,,,,
Spring 2019,ACCT,4106,1,PPA Colloquium 2,Newman,Michael Ray,,,,,,,
Spring 2019,ACCT,4108,1,Internal Audit Colloquium,Newman,Michael Ray,,,,,,,
Spring 2019,ACCT,4198,1,Independent Study,Newman,Michael Ray,18,1,0,0,0,1,3.947
Spring 2019,ACCT,4330,1,Advanced Accounting,Ramaswamy,Vinita,,,,,,,
Spring 2019,ACCT,4331,1,Federal Income Tax-Individual,Cutler,Joshua D,13,19,11,1,0,2,2.94
Spring 2019,ACCT,4331,2,Federal Income Tax-Individual,Cutler,Joshua D,21,25,7,1,0,1,3.186
Spring 2019,ACCT,4331,3,Federal Income Tax-Individual,Cutler,Joshua D,18,26,10,0,1,0,3.085
Spring 2019,ACCT,4331,4,Federal Income Tax-Individual,Green,John L.,3,3,8,0,0,0,2.666
