TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Summer 2020,SPAN,2302,6,Intermediate Spanish II,Torres,Cristina,11,7,0,0,0,4,0,2,2.895
Summer 2020,CHEM,1112,3,Fundamentals of Chm Lab,Zaitsev,Vladimir G,4,6,2,0,0,3,0,0,2.203
Summer 2020,ECE,8398,2,Doctoral Research,Han,Zhu,0,0,0,0,0,4,0,0,0
Summer 2020,ELCS,8398,4,Independent Study,Davis,Bradley,0,0,0,0,0,2,0,0,0
Summer 2020,PHYS,1101,4,General Physics Laboratory I,Wood,Lowell T,9,7,3,0,0,10,0,0,2.116
Summer 2020,GENB,5305,1,Commercial Law,Hopkins,Troy D,3,0,0,0,0,1,0,0,2.835
Summer 2020,CHEE,8398,1,Doctoral Research,Conrad,Jacinta C,0,0,0,0,0,2,0,0,0
Summer 2020,CHEE,6397,1,Selected Topics,Kaushik,Krishna R,10,2,0,0,0,0,0,1,3.723
Summer 2020,PSYC,8399,19,Doctoral Dissertation,Grigorenko,Elena L,0,0,0,0,0,0,1,0,0
Summer 2020,BIOL,1144,4,Hum Anat Physiol Lab II,Gill,Tejendra,15,5,1,0,0,1,0,0,3.455
Summer 2020,BIOL,6350,1,Biomedical Sciences Practicum,Lin,Chin-Yo,28,0,0,0,0,0,0,0,4
Summer 2020,WCL,3366,2,Latin American and Latino Film,Centeno,Daniel,18,7,0,0,0,4,0,0,3.078
Summer 2020,HDCS,3369,1,Entrepreneurship,Hitchman,Cal M,23,8,0,0,0,1,0,1,3.395
Summer 2020,SPEC,4353,1,Technology in Special Pops,Goodrich,Elizabeth A,7,4,1,0,0,2,0,3,2.734
Summer 2020,CHEM,1112,9,Fundamentals of Chm Lab,Zaitsev,Vladimir G,7,8,0,0,0,5,0,0,2.633
Summer 2020,PETR,7399,6,Masters Thesis,Ehlig-Economides,Christine A.,0,0,0,0,0,0,0,0,0
Summer 2020,WGSS,3322,1,Intersectionalities,De Los Reyes Heredia,Jose Guillermo,27,0,0,0,0,1,0,1,3.679
Summer 2020,CIVE,8198,12,Doctoral Research,Rifai,Hanadi S,0,0,0,0,0,1,0,0,0
Summer 2020,MECT,3367,1,Quality Control Technology,Singh,Navdeep,7,6,1,0,0,8,0,1,1.766
Summer 2020,GENB,7397,4,Selected Topics,Belinne,Jamie King,2,0,0,0,0,0,0,0,4
Summer 2020,PSYC,7392,2,Psychology Practicum,Damian,Rodica Ioana,0,0,0,0,0,1,0,0,0
Summer 2020,MATH,6315,1,Masters Tutorial,Fu,Wenjiang,24,0,0,0,0,0,0,1,3.904
Summer 2020,CIVE,8398,12,Doctoral Research,Rifai,Hanadi S,0,0,0,0,0,3,0,0,0
Summer 2020,COMM,4397,3,Selected Topics Communication,Fuller,Annette M,10,7,3,0,0,4,0,0,2.627
Summer 2020,COSC,8698,114,Doctoral Research,Kakadiaris,Ioannis A.,0,0,0,0,0,0,0,0,0
Summer 2020,PHAR,5206,1,Pharmacy and Geriatrics,Fernandez,Julianna M,64,8,1,0,0,0,0,0,3.863
Summer 2020,HRMA,2220,1,Food Service Productn & Ops II,Haskell,Rebecca Erin,45,3,0,0,0,2,0,1,3.654
Summer 2020,PHAR,5207,1,Herbal Medicine,Ruan,Ke-He,18,0,0,0,0,0,0,0,4
Summer 2020,MATH,8698,13,Doctoral Research,Kalantar,Mehrdad,0,0,0,0,0,3,0,0,0
Summer 2020,BCHS,6698,19,Special Problems,Gustafsson,Jan-Ake,0,0,0,0,0,1,0,0,0
Summer 2020,PEP,8399,9,Doctoral Dissertation,Lee,Beom Chan,0,0,0,0,0,0,0,0,0
Summer 2020,PHLS,8398,3,Special Problems,Fan,Weihua,0,0,0,0,0,1,0,0,0
Summer 2020,ECE,8399,12,Doctoral Dissertation,Han,Zhu,1,0,0,0,0,0,0,0,4
Summer 2020,LAW,5402,60,Entrpr Community Dev Clinic I,Heard,Christopher D,0,0,0,0,0,2,0,1,0
Summer 2020,LAW,6300,2,Govt Nonprofit Extshp I,Hancock,Amy Sladczyk,0,0,0,0,0,3,0,0,0
Summer 2020,SPEC,8395,2,Doctoral Thesis,Kent,Shawn Christopher,1,0,0,0,0,0,0,0,4
Summer 2020,OPTO,6115,2,Clinical Integration,Gostovic,Anita Ticak,0,0,0,0,0,1,0,0,0
Summer 2020,PETR,8399,8,Doctoral Dissertation,Qin,Guan,2,0,0,0,0,0,0,0,4
Summer 2020,BIOE,8598,17,Doctoral Research,Willson,Richard,0,0,0,0,0,1,0,0,0
Summer 2020,POLS,8399,16,Doctoral Dissertation,Clark,Jennifer H,0,0,0,0,0,0,0,0,0
Summer 2020,ANTH,6399,4,Masters Thesis,McNeal,Keith E.,1,0,0,0,0,0,0,0,4
Summer 2020,LAW,5274,1,Interscholastic Moot Ct Retro,Lawrence,Jim E,0,0,0,0,0,1,0,0,0
Summer 2020,HIST,6380,1,Public History Internship,Young,Nancy Beck,1,0,0,0,0,0,0,0,4
Summer 2020,PEP,8399,1,Doctoral Dissertation,Markofski,Melissa,1,0,0,0,0,0,0,0,4
Summer 2020,BIOL,8698,3,Doctoral Research,Pennings,Steven C,0,0,0,0,0,1,0,0,0
Summer 2020,BIOL,6698,19,Special Problems,Gustafsson,Jan-Ake,0,0,0,0,0,1,0,0,0
Summer 2020,BIOE,8198,9,Doctoral Research,Mohan,Chandra,0,0,0,0,0,2,0,0,0
Summer 2020,HLT,3301,1,Health Behavior Theories,Bennett,Kristin C,31,17,5,0,0,9,0,0,2.942
Summer 2020,PHYS,1102,3,General Physics Laboratory II,Wood,Lowell T,8,11,1,0,0,7,0,1,2.396
Summer 2020,NURS,4297,1,Special Topic in Nursing,Perez,Maria Eugenia,19,0,0,0,0,0,0,0,4
