TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,TOTAL DROPPED,AVG GPA
Spring 2021,LAW,5136,1,16227,Interscholastic Moot Ct Retro,Lawrence,Jim E,0,0,0,0,0,0,0
Spring 2021,BIOL,6315,2,27362,Neuroscience,Ziburkus,Jokubas,10,0,0,0,0,0,3.967
Spring 2021,PHYS,8399,29,15931,Doctoral Dissertation,Ren,Zhifeng,0,0,0,0,0,0,0
Spring 2021,MANA,4347,2,24479,Ethics and Corp Soc Respon.,Im,Taehoon,26,16,1,0,0,0,3.188
Spring 2021,ECON,4373,1,24259,Economics of Financial Crises,Paluszynski,Radoslaw,8,6,2,0,0,1,1.227
Spring 2021,CIVE,3434,3,20513,Fluid Mech and Hydraulic Engr,Momen,Mostafa,19,24,1,0,0,0,2.643
Spring 2021,MATH,6321,1,15137,Func Real Variable,Blecher,David P,6,4,0,0,0,0,3.243
Spring 2021,OPTO,5298,1,30074,Spec Prob Phys Optics,Quintero,Sam,0,0,0,0,0,0,0
Spring 2021,HON,2101,23,21648,The Human Situation:Modernity,LeVeaux,Christine,13,4,0,0,0,0,3.386
Spring 2021,ENGI,2304,12,20082,Technical Communications,Contos,Ashlie Meghan,17,7,0,0,0,1,2.515
Spring 2021,SPAN,3305,1,16178,Spanish Grammar Review,Gutierrez,Manuel J,4,7,0,0,0,0,2.037
Spring 2021,PHAR,5368,3,28700,Integrated Psychiatric Module,De La Cruz,Austin Isaac,17,15,3,0,0,0,3.4
Spring 2021,ENGL,6316,1,27922,American Folklore,Lindahl,Carl R,6,0,0,0,0,0,3.945
Spring 2021,MARK,4374,1,15055,Sales Management,Webb,James R,32,3,0,0,0,0,3.605
Spring 2021,ELCS,8335,1,28832,Seminar in Adult Education,Bell,D'Jalon Jackson,12,2,0,0,0,0,3.857
Spring 2021,CIVE,2330,1,19905,Mechanics I (Statics),Krakowiak,Konrad,16,7,0,0,0,2,1.308
Spring 2021,IDNS,3132,7,28559,Organic Chem II SEP Workshop,Pattison,Donna,15,6,0,0,0,0,2.344
Spring 2021,MATH,2131,1,20904,Linear Alg Labs w/MATLAB,Duvall,Jason R.,42,5,0,0,0,7,3.121
Spring 2021,PSYC,6306,1,28235,Fndatns-Cogntve Psy,Yoshida,Hanako,8,1,0,0,0,0,3.889
Spring 2021,CHEM,3132,1,18756,Problem Solving in Org Chem II,Lee,T Randall,0,0,0,0,0,0,0
Spring 2021,SPAN,2610,1,20250,Intensive Intermediate Spanish,Patterson,Haley F,3,6,0,0,0,2,1.289
Spring 2021,MUSI,4114,2,31408,Chamber Music - Brass,Pradervand,Dana S,1,0,0,0,0,0,4
Spring 2021,PHIL,1305,2,25436,Intro To Ethics,Sommers,Tamler S,46,23,5,0,0,4,2.279
Spring 2021,GRET,6333,2,19888,Retail Mgmt Cross-Cultural,Norwood,Marcella L,8,6,0,0,0,0,3.267
Spring 2021,MUSA,4189,3,29549,Senior Recital,Griffin,Randall S,2,0,0,0,0,0,4
Spring 2021,ENGL,2307,1,19226,Intro To Drama,Stephens,Brendan C,8,4,1,0,0,0,2.3
Spring 2021,BIOL,6330,1,23427,Molec Basis Infect Diseases,Colbert,Anne D,9,5,0,0,0,0,3.378
Spring 2021,LAW,6207,12,19691,Lawyering Skills & Strategy II,Swift,Kenneth Richard,4,9,1,0,0,1,3.332
Spring 2021,ENTR,3312,1,14689,Corporate Entrepreneurship,Karonika,John R,32,10,2,0,0,2,3.32
Spring 2021,POLC,6317,1,24343,Public Policy Capstone,Wong,Man Chiu,20,0,0,0,0,0,4
Spring 2021,BIOL,4103,2,18375,Integration Biol Knowledge,Wayne,Chad M,102,8,0,0,0,0,3.889
Spring 2021,HDCS,4374,1,16510,Entrepreneurial E-Tailing,Johnson,Olivia,2,8,0,0,0,1,1.391
Spring 2021,BTEC,6303,30,22616,Protein Engineering Technology,Flavier,Albert B,0,3,0,0,0,0,1.144
Spring 2021,BIOL,3132,10,19731,Elementary Microbiology Lab,Knapp,Richard D,10,7,0,0,0,1,2.623
Spring 2021,CHEM,1111,7,14054,Fundamentals of Chm Lab,Zaitsev,Vladimir G,1,12,0,0,0,1,2.036
Spring 2021,MATH,1312,5,27980,Intro to Math Reasoning,Watkins,Katie Nicole,44,22,1,0,0,9,1.431
Spring 2021,PHIL,3344,1,27427,Philosophy of Science,Weisberg,Joshua,7,12,0,0,0,0,2.086
Spring 2021,COMM,2310,15,28546,Writing for Print and Digital,Crixell,Charles A,3,6,5,1,0,0,2.733
Spring 2021,HON,2341,1,27537,Classics of Modernity,Liddell,Robert B,131,60,0,0,0,0,3.079
Spring 2021,ARCH,6357,1,24312,Contemporary Theory,Kubo,Michael,17,0,0,0,0,1,3.845
Spring 2021,ANTH,3381,1,27404,Global Hinduism,Menon-Chembottil,Sarath Kumar,27,0,0,0,0,0,3.578
Spring 2021,SOCW,7325,5,21135,Assessment in SW Practice,Borja,Sharon G,22,0,0,0,0,0,3.812
Spring 2021,COMM,4398,5,31082,Independent Study,Fix,Julie B,3,2,0,0,0,0,3.402
Spring 2021,THEA,3376,1,31311,Advanced Drafting,Kearns,Casey,2,0,0,0,0,1,3.67
Spring 2021,DAN,4308,1,21250,Teaching Dance Skills,Chapman,Teresa Lynn,8,1,0,0,0,0,2.834
Spring 2021,COMM,3377,2,22486,Strategic PR Planning,Tinsley,Priscilla T,19,2,0,0,0,0,3.393
