TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,TOTAL DROPPED,AVG GPA,HELPER
Fall 2025,MATH,1324,06,Finite Math with Applications,Sosa,Moses,119,57,60,16,23,25,2.584,MATH1324
Fall 2025,MATH,1324,02,Finite Math with Applications,Winkle,James J,43,52,76,30,57,40,1.655,MATH1324
Fall 2025,MATH,1324,04,Finite Math with Applications,Watkins,Katie Nicole,32,34,73,29,62,39,1.452,MATH1324
Fall 2025,MATH,1324,01,Finite Math with Applications,Sosa,Moses,55,31,66,21,45,50,1.69,MATH1324
Fall 2025,MATH,1324,07,Finite Math with Applications,Caglar,Atife,78,49,46,30,39,26,2.117,MATH1324
Fall 2025,MATH,1324,05,Finite Math with Applications,Constante,Beatrice,89,57,52,14,36,18,2.383,MATH1324
Fall 2025,MATH,1324,03,Finite Math with Applications,Day,Jason Junichi,45,30,37,16,11,9,2.377,MATH1324
Fall 2025,MATH,1324,08,Finite Math with Applications,Day,Jason Junichi,14,32,41,18,23,20,1.627,MATH1324
Fall 2025,MATH,1324,09,Finite Math with Applications,Sosa,Moses,23,18,18,14,26,28,1.536,MATH1324
Fall 2025,MATH,1324,10,Finite Math with Applications,Hong,Yuqi,17,6,6,1,3,2,2.829,MATH1324
Fall 2025,MATH,1314,01,Calc for Bus/Life Sciences,Caglar,Atife,80,68,53,30,37,22,2.228,MATH1314
Fall 2025,MATH,1314,04,Calc for Bus/Life Sciences,Caglar,Atife,83,58,74,37,25,13,2.351,MATH1314
Fall 2025,MATH,1314,03,Calc for Bus/Life Sciences,Hafeez,Shahinda,46,44,57,44,64,32,1.64,MATH1314
Fall 2025,MATH,1314,07,Calc for Bus/Life Sciences,Hafeez,Shahinda,65,63,61,34,44,20,2.09,MATH1314
Fall 2025,MATH,1314,06,Calc for Bus/Life Sciences,Douglas,Casey,42,37,48,24,32,12,2.044,MATH1314
Fall 2025,MATH,1314,05,Calc for Bus/Life Sciences,Douglas,Casey,35,34,38,31,29,13,1.924,MATH1314
Fall 2025,MATH,1314,02,Calc for Bus/Life Sciences,Krzywon,Lukasz J,46,30,35,22,15,10,2.262,MATH1314
Fall 2025,MATH,1314,09,Calc for Bus/Life Sciences,Campos,Marco,47,27,37,14,24,8,2.242,MATH1314
Fall 2025,MATH,1314,08,Calc for Bus/Life Sciences,Caglar,Atife,9,9,11,6,12,12,1.537,MATH1314
Fall 2025,MATH,2413,01,Calculus I,Perepelitsa,Irina,125,47,30,26,24,27,2.619,MATH2413
Fall 2025,MATH,2413,51,Calculus I,Constante,Beatrice,124,46,36,21,27,24,2.606,MATH2413
Fall 2025,MATH,2413,41,Calculus I,Kim,Jae Youn,78,51,38,21,35,51,2.05,MATH2413
Fall 2025,MATH,2413,11,Calculus I,Almus,Melahat,136,41,29,23,13,24,2.792,MATH2413
Fall 2025,MATH,2413,31,Calculus I,Sosa,Moses,114,54,35,14,26,23,2.628,MATH2413
Fall 2025,MATH,2413,21,Calculus I,Perepelitsa,Irina,118,53,33,20,25,16,2.696,MATH2413
Fall 2025,MATH,1342,01,Elementary Statistical Methods,Chern,Haley Nicole,68,52,45,24,31,19,2.244,MATH1342
Fall 2025,MATH,1342,05,Elementary Statistical Methods,Ryan,John M,57,43,50,21,44,23,1.996,MATH1342
Fall 2025,MATH,1342,04,Elementary Statistical Methods,Kartheiser,Abigail Louise,79,66,47,16,17,12,2.611,MATH1342
Fall 2025,MATH,1342,03,Elementary Statistical Methods,Kartheiser,Abigail Louise,82,62,41,16,21,13,2.572,MATH1342
Fall 2025,MATH,1342,02,Elementary Statistical Methods,Kim,Jae Youn,64,48,31,23,33,24,2.138,MATH1342
Fall 2025,MATH,1342,06,Elementary Statistical Methods,Kim,Jae Youn,24,17,22,8,28,17,1.693,MATH1342
Fall 2025,MATH,2312,05,Precalculus,Kim,Jae Youn,71,36,49,7,26,59,1.951,MATH2312
Fall 2025,MATH,2312,06,Precalculus,Almus,Melahat,69,45,40,13,31,45,2.029,MATH2312
Fall 2025,MATH,2312,02,Precalculus,Kartheiser,Abigail Louise,81,44,59,15,17,26,2.415,MATH2312
Fall 2025,MATH,2312,07,Precalculus,Douglas,Casey,55,27,48,12,27,28,2.029,MATH2312
Fall 2025,MATH,2312,03,Precalculus,Singh,Manpreet,25,36,32,11,29,25,1.768,MATH2312
Fall 2025,MATH,2312,08,Precalculus,Almus,Melahat,25,16,16,3,11,16,2.088,MATH2312
Fall 2025,MATH,2414,11,Calculus II,Xhabli,Blerina,82,60,56,25,36,26,2.254,MATH2414
Fall 2025,MATH,2414,31,Calculus II,Almus,Melahat,89,48,60,23,35,20,2.335,MATH2414
Fall 2025,MATH,2414,21,Calculus II,Xhabli,Blerina,51,36,40,28,32,34,1.918,MATH2414
Fall 2025,MATH,2414,01,Calculus II,May,Jennifer Ruhnow,36,39,30,15,13,19,2.198,MATH2414
Fall 2025,MATH,2414,53,Calculus II,Morgan,Jeffrey,16,11,10,4,6,13,2.006,MATH2414
Fall 2025,MATH,2414,51,Calculus II,Morgan,Jeffrey,3,3,2,0,,4,2.056,MATH2414
