TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,TOTAL DROPPED,AVG GPA
Spring 2020,AAMS,2300,1,Intro Asian American Studies,Nguyen,An,7,4,1,0,0,5,1,2.333
Spring 2020,AAS,2320,7,Intro To African American Stdy,Horne,Gerald,3,9,0,0,0,1,2,3
Spring 2020,AAS,4373,1,Black Leaders of 20Th Century,Edwards,Crystal Latanya,6,5,0,1,0,0,7,3.333
Spring 2020,AAS,2320,1,Intro To African American Stdy,Smith,Marlon Antoine,6,9,4,0,0,14,1,1.808
Spring 2020,AAS,4330,1,The Black Church in America,Mitchell,Joshua,10,7,0,0,0,0,1,3.124
Spring 2020,AAS,3301,1,Hip Hop History and Culture,Chiles IV,John Ritchie,13,1,0,0,0,3,0,3.177
Spring 2020,AAS,3340,1,African Amer Sociolinguistics,Raynor,Autumn Fawn,15,1,0,0,0,0,0,3.667
Spring 2020,AAS,2330,1,Black Liberation Theology,Francois III,Willie Dwayne,16,10,0,0,0,0,0,3.527
Spring 2020,AAS,3354,1,AF Nation'st Thought Ethics/US,Conyers,James l,17,0,0,0,0,0,1,4
Spring 2020,AAS,2320,2,Intro To African American Stdy,Jones-Obeng,Caralee Georgianna,18,9,2,0,0,1,0,3.031
Spring 2020,AAS,4370,1,Sem. African American Studies,Conyers,James l,22,0,0,0,0,1,0,3.826
Spring 2020,AAS,6307,1,Seminar On Mlk Jr. & Malcolm X,Conyers,James l,22,0,0,0,0,0,0,4
Spring 2020,AAS,2320,3,Intro To African American Stdy,Walker,Alan,23,11,1,0,0,1,0,3.223
Spring 2020,AAS,2320,4,Intro To African American Stdy,Thompson,Kevin Bernard,30,2,1,0,0,2,0,3.537
Spring 2020,AAS,2320,5,Intro To African American Stdy,Thompson,Kevin Bernard,35,2,1,0,0,0,0,3.877
Spring 2020,ACCT,3367,6,Intermediate Accounting I,Gamble,George O,2,2,10,0,0,8,7,1.59
Spring 2020,ACCT,3367,5,Intermediate Accounting I,Gamble,George O,3,4,10,0,0,22,4,1.166
Spring 2020,ACCT,5330,1,Advanced Accounting,Ramaswamy,Vinita,3,10,0,0,0,2,0,2.844
Spring 2020,ACCT,3366,4,Financial Reporting Frameworks,Harris,Kathleen L,5,3,5,0,0,11,0,1.322
Spring 2020,ACCT,4335,3,Financial Statement Auditing,Kuruvilla,Mohan,6,5,3,0,0,8,0,2.03
Spring 2020,ACCT,7330,2,Advanced Accounting,Ramaswamy,Vinita,6,6,0,0,0,1,2,3.231
Spring 2020,ACCT,5377,1,Govt & Non-Profit Accounting,Fernandez,Ramon,6,8,1,0,0,0,1,3.208
Spring 2020,ACCT,5367,1,Intermediate Accounting I,Kilic,Emre,6,8,2,0,0,8,4,2.208
Spring 2020,ACCT,3367,1,Intermediate Accounting I,Kilic,Emre,6,9,17,0,0,28,3,1.472
Spring 2020,ACCT,2331,12,Acct Principles I - Financial,Goble,Samuel,6,10,1,0,0,11,1,1.988
Spring 2020,ACCT,5331,1,Federal Income Tax-Individual,Fernandez,Ramon,6,11,0,0,0,3,0,2.761
Spring 2020,ACCT,3371,1,Accounting Information Systems,Miles,Carolyn A,6,12,3,0,0,14,1,1.876
Spring 2020,ACCT,4380,1,Contro & Sec Intern Fin Inform,Bennett,Michael Lee,7,5,0,0,0,0,0,3.666
Spring 2020,ACCT,3368,2,Intermediate Accounting II,Sun,Xue,7,7,1,0,0,3,1,2.87
Spring 2020,ACCT,5337,1,Management Accounting,Serrato,Darlene Marie  Bohac,8,6,0,0,0,2,2,3.104
Spring 2020,ACCT,4335,1,Financial Statement Auditing,Kuruvilla,Mohan,8,10,4,0,0,13,0,2.019
Spring 2020,ACCT,4335,2,Financial Statement Auditing,Kuruvilla,Mohan,8,13,1,0,0,23,0,1.644
Spring 2020,ACCT,3367,2,Intermediate Accounting I,Kilic,Emre,8,15,13,0,0,26,4,1.72
Spring 2020,ACCT,6331,4,Financial Accounting,Kuruvilla,Mohan,9,5,0,0,0,3,1,2.961
Spring 2020,ACCT,3371,2,Accounting Information Systems,Miles,Carolyn A,9,14,1,0,0,15,2,1.911
Spring 2020,ACCT,7337,1,Oil & Gas Taxation,Ratliff,Richard Byron,10,8,0,0,0,0,0,3.537
Spring 2020,ACCT,6331,1,Financial Accounting,Weber,Catherine K,10,10,0,0,0,2,0,3.197
Spring 2020,ACCT,2332,5,Acct Principles 2-Managerial,Seltz,Joe D,10,20,2,0,0,26,1,1.661
Spring 2020,ACCT,7387,1,Oil & Gas Accounting 2,Teare,John B,11,5,0,0,0,1,0,3.471
Spring 2020,ACCT,5371,2,Accounting Information Systems,Leavins,Johnny R,11,5,1,0,0,1,3,3.352
Spring 2020,ACCT,6331,2,Financial Accounting,Weber,Catherine K,12,3,0,0,0,2,0,3.112
Spring 2020,ACCT,7388,1,Oil & Gas Accounting 3,Teare,John B,12,3,0,0,0,1,0,3.563
Spring 2020,ACCT,2332,3,Acct Principles 2-Managerial,Weber,Catherine K,12,32,2,0,0,26,0,2.027
Spring 2020,ACCT,7374,1,Appl Data Analytics Acct II,Terry,Ellen Warren,13,5,0,0,0,2,0,3.35
Spring 2020,ACCT,7397,2,Selected Topics in Accounting,Crawford,Steven,13,5,0,0,0,0,1,3.612
Spring 2020,ACCT,7362,1,Tax Research,Meade,Janet,13,8,0,0,0,3,0,3.208
Spring 2020,ACCT,7386,1,Oil & Gas Accounting 1,Teare,John B,14,0,0,0,0,0,0,4
Spring 2020,ACCT,2332,11,Acct Principles 2-Managerial,Seltz,Joe D,15,21,2,0,0,27,0,1.944
Spring 2020,ACCT,2332,13,Acct Principles 2-Managerial,Parthasarathy,Kiran M,15,24,3,0,0,22,0,2.141
Spring 2020,ACCT,7375,1,Corporate Taxation,Chen,Xi,16,6,0,0,0,1,0,3.537
Spring 2020,ACCT,2331,11,Acct Principles I - Financial,Goble,Samuel,16,17,3,0,0,15,2,2.339
Spring 2020,ACCT,3366,3,Financial Reporting Frameworks,Harris,Kathleen L,16,17,3,0,0,18,2,1.978
Spring 2020,ACCT,2332,12,Acct Principles 2-Managerial,Seltz,Joe D,16,20,4,0,0,25,0,2.04
Spring 2020,ACCT,2331,4,Acct Principles I - Financial,Serrato,Darlene Marie  Bohac,16,30,2,0,0,18,3,2.328
Spring 2020,ACCT,7397,1,Selected Topics in Accounting,Ramey,Dan T,17,2,0,0,0,0,0,3.895
Spring 2020,ACCT,7340,1,Financial Statement Analysis,Crawford,Steven,17,7,0,0,0,2,1,3.385
Spring 2020,ACCT,2331,10,Acct Principles I - Financial,Goble,Samuel,18,22,3,0,0,13,0,2.296
Spring 2020,ACCT,2332,9,Acct Principles 2-Managerial,Newman,Michael Ray,19,6,0,0,0,1,0,3.679
Spring 2020,ACCT,2331,7,Acct Principles I - Financial,Goble,Samuel,20,22,2,0,0,20,2,2.095
Spring 2020,ACCT,7340,2,Financial Statement Analysis,Crawford,Steven,21,3,0,0,0,1,1,3.641
Spring 2020,ACCT,2332,7,Acct Principles 2-Managerial,Seltz,Joe D,21,59,11,0,0,105,5,1.411
Spring 2020,ACCT,5397,1,Selected Topics in Accounting,Fernandez,Ramon,22,4,0,0,0,0,0,3.859
Spring 2020,ACCT,3368,4,Intermediate Accounting II,Wang,Yu,22,14,8,0,0,17,1,2.413
Spring 2020,ACCT,2332,6,Acct Principles 2-Managerial,Seltz,Joe D,22,15,2,0,0,24,0,2.138
Spring 2020,ACCT,3366,2,Financial Reporting Frameworks,Harris,Kathleen L,22,18,10,0,0,24,6,1.627
Spring 2020,ACCT,3368,3,Intermediate Accounting II,Wang,Yu,22,20,4,0,0,13,0,2.683
Spring 2020,ACCT,7385,1,Fraud Examination,Ramey,Dan T,23,0,0,0,0,0,0,4
Spring 2020,ACCT,2332,10,Acct Principles 2-Managerial,Newman,Michael Ray,23,1,0,0,0,2,0,3.628
Spring 2020,ACCT,4331,3,Federal Income Tax-Individual,Cutler,Joshua D,23,18,0,0,0,12,0,2.637
Spring 2020,ACCT,2332,2,Acct Principles 2-Managerial,Weber,Catherine K,23,24,5,0,0,22,1,2.414
Spring 2020,ACCT,2332,1,Acct Principles 2-Managerial,Newman,Michael Ray,24,2,0,0,0,0,0,3.923
Spring 2020,ACCT,2331,2,Acct Principles I - Financial,Goble,Samuel,24,7,3,0,0,28,3,1.894
Spring 2020,ACCT,3377,2,Cost Accounting,Koo,Minjae,24,20,1,0,0,11,1,2.749
Spring 2020,ACCT,2331,6,Acct Principles I - Financial,Sykes,Mary Reeves,24,29,0,0,0,9,0,2.876
Spring 2020,ACCT,4331,1,Federal Income Tax-Individual,Cutler,Joshua D,26,21,1,0,0,6,0,3.111
Spring 2020,ACCT,4331,2,Federal Income Tax-Individual,Cutler,Joshua D,28,16,0,0,0,9,0,2.951
Spring 2020,ACCT,3366,1,Financial Reporting Frameworks,Harris,Kathleen L,28,19,9,0,0,31,7,1.583
Spring 2020,ACCT,3371,3,Accounting Information Systems,Miles,Carolyn A,28,23,3,0,0,11,0,2.786
Spring 2020,ACCT,7386,2,Oil & Gas Accounting 1,Teare,John B,29,0,0,0,0,1,0,3.867
Spring 2020,ACCT,2331,1,Acct Principles I - Financial,Sykes,Mary Reeves,29,15,0,0,0,19,0,2.464
Spring 2020,ACCT,2331,5,Acct Principles I - Financial,Serrato,Darlene Marie  Bohac,29,31,3,0,0,22,2,2.333
Spring 2020,ACCT,2331,9,Acct Principles I - Financial,Sykes,Mary Reeves,30,15,0,0,0,15,4,2.688
Spring 2020,ACCT,2331,8,Acct Principles I - Financial,Sykes,Mary Reeves,30,24,1,0,0,10,0,2.994
Spring 2020,ACCT,7378,1,Govt & Non-Profit Accounting,Khumawala,Saleha B,31,2,0,0,0,2,0,3.487
Spring 2020,ACCT,7372,1,Multijurisdictional Taxation,Evetts,Nancy Zalmanek,31,3,0,0,0,0,0,3.912
Spring 2020,ACCT,3377,1,Cost Accounting,Gu,Kai,33,28,1,0,0,8,3,2.991
Spring 2020,ACCT,2332,8,Acct Principles 2-Managerial,Parthasarathy,Kiran M,38,11,0,0,0,15,2,2.916
Spring 2020,ACCT,3377,4,Cost Accounting,Serrato,Darlene Marie  Bohac,41,22,0,0,0,8,0,3.162
Spring 2020,ACCT,2331,3,Acct Principles I - Financial,Serrato,Darlene Marie  Bohac,44,51,2,0,0,40,5,2.34
Spring 2020,ACCT,2332,4,Acct Principles 2-Managerial,Parthasarathy,Kiran M,84,77,8,0,0,103,4,2.161
Spring 2020,AFSC,3302,1,Air Force Leadership II,Manning,Matthew,12,3,0,0,0,1,0,3.583
Spring 2020,ANTH,3375,1,North American Archaeol,Widmer,Randolph J,4,6,1,0,0,3,0,2.642
Spring 2020,ANTH,3342,1,Food and Culture,Widmer,Randolph J,8,4,0,0,0,1,2,2.408
Spring 2020,ANTH,4372,1,Maya Archaeology,Brown,Kenneth L,9,6,0,0,0,8,0,2.264
Spring 2020,ANTH,4310,1,Theories of Culture,McNeal,Keith E.,14,0,0,0,0,0,1,4
Spring 2020,ANTH,3336,1,Caribbean Societies & Cultures,McNeal,Keith E.,15,1,0,0,0,0,1,3.706
Spring 2020,ANTH,2303,1,Intro To Archaeology,Brown,Kenneth L,15,22,1,0,0,20,1,2.098
Spring 2020,ANTH,1300,1,Intro Anthropology,Gordon,Andrew J,15,32,6,0,0,15,1,2.275
Spring 2020,ANTH,3360,1,Human Variation,McElvaney,Katherine Anne,18,9,2,0,0,2,4,3.02
Spring 2020,ANTH,3364,1,Disease in Antiquity,Storey,Rebecca,18,16,1,0,0,2,1,3.05
Spring 2020,ANTH,2301,1,Intro-Physical Anth,McElvaney,Katherine Anne,23,17,4,0,0,14,2,2.576
Spring 2020,ANTH,3316,1,Society and Culture of India,Menon-Chembottil,Sarath Kumar,25,0,1,0,0,3,0,3.517
Spring 2020,ANTH,3312,1,Mex-Amer Culture,Farfan-Santos,Elizabeth,25,0,0,0,0,0,0,4
Spring 2020,ANTH,3348,1,Anthropology of Religion,Rasmussen,Susan J,32,0,0,0,0,11,4,2.8
Spring 2020,ANTH,2304,1,Intro To Language and Culture,Higgs,Elizabeth Wayne,86,11,1,0,0,0,0,3.812
Spring 2020,ANTH,2302,1,Intro To Cultural Anth,Higgs,Elizabeth Wayne,147,8,1,0,1,7,1,3.635
Spring 2020,ARAB,2302,1,Intermediate Arabic II,Sayyid,Huda,18,4,2,0,0,3,0,3.046
Spring 2020,ARCH,3501,3,Architecture Design Studio VI,Schuster,Kristin,1,9,2,0,0,1,0,2.743
Spring 2020,ARCH,2501,1,Architecture Design Studio IV,Veras,Sandra Isabel,2,10,1,0,0,0,0,3.001
Spring 2020,ARCH,3501,11,Architecture Design Studio VI,Oliver,Christopher A,3,8,0,0,0,0,0,3.393
Spring 2020,ARCH,2501,19,Architecture Design Studio IV,Homeyer,Paul George,3,8,1,0,0,0,0,3.249
Spring 2020,ARCH,3501,1,Architecture Design Studio VI,Diehl,Tom,4,7,0,0,0,3,0,2.666
