TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Fall 2020,ELET,1400,1,Circuit Theory and Lab I,Moges,Mequanint A,10,21,4,0,0,32,0,8,1.396
Fall 2020,IDNS,1141,2,Chemistry I SEP Workshop,Pattison,Donna,16,5,0,0,0,2,0,0,3.333
Fall 2020,CORE,1101,50,College Success,Dunkelberger,Martha J,8,1,0,0,0,1,0,0,3.467
Fall 2020,BUSI,4350,6,Business Law and Ethics,Currie,Daniel David,69,76,0,0,0,43,0,0,2.62
Fall 2020,INDE,4320,1,Computer-Integrated Manufactur,Chang,Feng-Chang Roger,24,6,0,0,0,1,0,0,3.645
Fall 2020,JPNS,1501,5,Elementary Japanese I,Suzuki,Mamiko,26,1,1,0,0,3,0,0,3.365
Fall 2020,PHIL,1301,1,Intro To Philosophy,Haaga,Curtis W,32,6,1,0,0,8,0,1,2.973
Fall 2020,FINA,4328,1,Principles of Personal Finance,Coleman,Alfred G,41,1,0,0,0,1,0,1,3.876
Fall 2020,NUTR,2332,5,Intro To Human Nutrition,Alastuey,Lisa L,37,7,1,0,0,3,0,0,3.341
Fall 2020,ENGL,1303,36,First Year Writing I,Anderson,Claire F,15,2,0,0,0,1,0,1,3.422
Fall 2020,COMM,4392,1,Professional Internship,Ashley,Laura B,0,0,0,0,0,23,0,0,0
Fall 2020,COMM,4360,1,Media Planning & Placement,Kelley,Larry D.,16,9,0,0,0,3,0,0,3.226
Fall 2020,ENGL,8699,12,Doctoral Dissertation,Backus,Margot Gayle,0,0,0,0,0,0,0,0,0
Fall 2020,PHAR,5224,1,Integrated Renal Module,Marwaha,Aditi,16,22,16,0,0,0,0,0,3
Fall 2020,MECT,2354,3,Introduction to Mechanics,Basaran,Burak,0,4,4,0,0,17,0,4,0.466
Fall 2020,BIOL,6231,1,Advanced Cell Biology II,Khurana,Seema,12,0,0,0,0,0,0,0,3.945
Fall 2020,PHYS,4421,3,Elec Devices & Applic,Freelon,Byron Kendall,3,0,0,0,0,2,0,0,2.4
Fall 2020,MATH,3338,1,Probability,Kao,Edward P,9,30,0,0,0,9,0,7,2.429
Fall 2020,ENGL,3341,2,Bus & Prof Writing,Butler,Paul G,11,2,0,0,0,3,0,1,2.741
Fall 2020,POLS,1337,53,"US Govt: Congress,Pres & Crts",Williamson,Jonathan Lyle,11,2,0,0,0,0,0,0,3.524
Fall 2020,BIOL,8998,2,Doctoral Research,Zhang,Shaun Xiaoliu,0,0,0,0,0,2,0,0,0
Fall 2020,SCLT,4389,32,Practicum in Supply Chain,Poisler,Marco A,23,5,2,0,0,0,0,0,3.722
Fall 2020,ARCH,1500,19,Design Studio I,Phan,Trang A T,24,3,0,0,0,0,0,0,3.852
Fall 2020,HON,3397,4,Honors Selected Topics,Nash,Michael W,11,3,1,0,0,0,0,0,3.579
Fall 2020,BIOL,6998,1,Special Problems,Feng,Qin,0,0,0,0,0,3,0,0,0
Fall 2020,NUTR,4348,1,Intro to NUTR Counseling,Honig,Caryn A,13,11,0,0,0,2,0,0,3.269
Fall 2020,HRMA,6342,1,Alcoholic Beverage Production,Corsi,Aaron James,5,0,0,0,0,0,0,0,4
Fall 2020,ACCT,4335,4,Financial Statement Auditing,Kuruvilla,Mohan,8,5,1,0,0,10,0,1,2.028
Fall 2020,HRMA,7361,2,Hospitality Marketing Analysis,Shin,Min Jung,7,0,0,0,1,0,0,0,3.5
Fall 2020,MUSI,1100,1,Marching Band,Bertman,David Garry,96,0,0,0,0,1,0,4,3.959
Fall 2020,CHEM,1111,44,Fundamentals of Chm Lab,Zaitsev,Vladimir G,6,12,0,0,0,1,0,0,3.017
Fall 2020,CHEM,1112,10,Fundamentals of Chm Lab,Zaitsev,Vladimir G,9,4,1,0,0,3,0,1,2.666
Fall 2020,ACCT,2301,11,Prin of Financial Accounting,Parthasarathy,Kiran M,95,72,7,0,0,74,0,14,2.334
Fall 2020,CHEM,1111,10,Fundamentals of Chm Lab,Zaitsev,Vladimir G,5,8,0,0,0,2,0,1,2.588
Fall 2020,PHYS,8698,4,Doctoral Research,Bellwied,Rene,0,0,0,0,0,2,0,0,0
Fall 2020,ECE,8598,21,Doctoral Research,Pan,Miao,0,0,0,0,0,4,0,0,0
Fall 2020,ACCT,4378,1,Oil and Gas Accounting I,Teare,John B,3,1,0,0,0,5,0,0,1.667
Fall 2020,ENGL,1304,10,First Year Writing II,Estillore,Abigail C.,9,4,0,0,0,3,0,1,2.612
Fall 2020,ENGL,1370,1,Composition II-Honors,Barnes,Michael,5,4,0,0,0,0,0,0,3.592
Fall 2020,FREN,1501,3,Elementary French I,WILSON,Celine Madeleine Alice,10,9,1,0,0,8,0,0,2.441
Fall 2020,LAW,5386,1,Trial Advocacy,Edison,Andrew,9,9,1,0,0,5,0,0,2.653
Fall 2020,HLT,3301,1,Health Behavior Theories,Fedor Amador,Theresa Marie,48,11,1,0,0,3,0,0,3.511
Fall 2020,PEP,6397,1,Selected Topics in Human Perf,Walsh,David W,10,6,3,0,0,0,0,1,3.351
Fall 2020,COMM,3326,1,Graphics Applications,Economou-Clarke,Ann M,12,5,1,0,0,0,0,0,3.438
Fall 2020,COSC,4351,1,Fundamentals of Software Engr,Singh,Raj Kumar,95,4,0,0,0,1,0,0,3.904
Fall 2020,KIN,1352,15,"Foundations of KIN, HLT, FIT",Gray,Jon Phillip,33,6,4,0,0,4,0,0,3.231
Fall 2020,OPTO,6434,1,General Pharmacology,Rump,Rachel,49,44,6,0,1,0,0,0,3.347
Fall 2020,OPTO,7152,3,Pediatric Optometry II Lab,Currie,Debra C,21,4,1,0,0,0,0,0,3.693
Fall 2020,FORE,6351,1,Futures Research,Hines,Andrew Lewis,26,3,0,0,1,0,0,2,3.657
Fall 2020,ENGL,1303,101,First Year Writing I,Garcia,Sylvia A,10,6,0,0,0,2,0,0,2.801
Fall 2020,TECH,3365,3,Appl of Discrete Mthds in Tech,Larsen,Marilyn Annette,20,9,2,0,0,8,0,1,2.442
Fall 2020,EGRP,1170,2,Engineering Applications IX,Henderson,Jerrod A,0,0,0,0,0,1,0,0,0
Fall 2020,PCOL,7333,1,Molecular Pharmacology,Eriksen,Jason,7,5,2,0,0,0,0,0,3.357
