TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Fall 2014",ACCT,4105,1,"PPA Colloquium 1",Newman,"Michael Ray",,,,,,,
"Fall 2014",ACCT,4106,1,"PPA Colloquium 2",Newman,"Michael Ray",,,,,,,
"Fall 2014",ACCT,4107,1,"Oil and Gas Acct Colloquium",Newman,"Michael Ray",,,,,,,
"Fall 2014",ACCT,4399,1,"Senior Honor Thesis",Newman,"Michael Ray",,,,,,,
"Fall 2014",ACCT,7105,1,"MS/Accountancy Colloquium",Newman,"Michael Ray",,,,,,,
"Fall 2014",ACCT,7396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Fall 2014",ACCT,8399,5,"Doctoral Dissertation",Khumawala,"Saleha B",,,,,,,
"Fall 2014",ACCT,8999,2,"Doctoral Dissertation",Lobo,Gerald,,,,,,,
"Fall 2014",ACCT,8999,5,"Doctoral Dissertation",Khumawala,"Saleha B",,,,,,,
"Fall 2014",ACCT,8999,7,"Doctoral Dissertation",Newberry,"Kaye J",,,,,,,
"Fall 2014",ANTH,6392,4,"Research Practicum I",Hutchinson,"Janice Faye",,,,,,,
"Fall 2014",ANTH,6399,3,"Masters Thesis",Gordon,"Andrew J",,,,,,,
"Fall 2014",ANTH,6399,4,"Masters Thesis",Brown,"Kenneth L",,,,,,,
"Fall 2014",ANTH,6399,5,"Masters Thesis",Rasmussen,"Susan J",,,,,,,
"Fall 2014",ANTH,6399,6,"Masters Thesis",Storey,Rebecca,,,,,,,
"Fall 2014",ANTH,7399,2,"Masters Thesis",Storey,Rebecca,,,,,,,
"Fall 2014",ANTH,7399,3,"Masters Thesis",Brown,"Kenneth L",,,,,,,
"Fall 2014",ANTH,7399,5,"Masters Thesis",Hutchinson,"Janice Faye",,,,,,,
"Fall 2014",ANTH,7399,6,"Masters Thesis",Gordon,"Andrew J",,,,,,,
"Fall 2014",ANTH,7399,7,"Masters Thesis",Rasmussen,"Susan J",,,,,,,
"Fall 2014",BCHS,4398,1,"Independent Study",Williams,Lawrence,,,,,,,
"Fall 2014",BCHS,6113,1,"Graduate Biochemistry Seminar",Fox,"Robert O",,,,,,,
"Fall 2014",BCHS,6198,1,"Special Problems",Gao,Xiaolian,,,,,,,
"Fall 2014",BCHS,6198,9,"Special Problems",Briggs,"James M",,,,,,,
"Fall 2014",BCHS,6198,11,"Special Problems",Bark,Steven,,,,,,,
"Fall 2014",BCHS,6198,12,"Special Problems",Gunaratne,"Preethi H",,,,,,,
"Fall 2014",BCHS,6298,15,"Special Problems",Fujita,Masaya,,,,,,,
"Fall 2014",BCHS,6298,23,"Special Problems",Bark,Steven,,,,,,,
"Fall 2014",BCHS,6398,2,"Special Problems",Willson,Richard,,,,,,,
