TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Spring 2014",ACCT,4105,1,"PPA Colloquium 1",Newman,"Michael Ray",,,,,,,
"Spring 2014",ACCT,4106,1,"PPA Colloquium 2",Newman,"Michael Ray",,,,,,,
"Spring 2014",ACCT,4108,1,"Internal Audit Colloquium",Newman,"Michael Ray",,,,,,,
"Spring 2014",ACCT,4108,1,"Internal Audit Colloquium",Seltz,"Joe D",,,,,,,
"Spring 2014",ACCT,4396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Spring 2014",ACCT,7396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Spring 2014",ACCT,8396,2,"Research Practicum",Newberry,"Kaye J",,,,,,,
"Spring 2014",ACCT,8399,5,"Doctoral Dissertation",Lobo,Gerald,,,,,,,
"Spring 2014",ACCT,8399,6,"Doctoral Dissertation",Newberry,"Kaye J",,,,,,,
"Spring 2014",ACCT,8999,2,"Doctoral Dissertation",Francia,"Arthur John",,,,,,,
"Spring 2014",ACCT,8999,4,"Doctoral Dissertation",Lobo,Gerald,,,,,,,
"Spring 2014",ACCT,8999,10,"Doctoral Dissertation",Newberry,"Kaye J",,,,,,,
"Spring 2014",ACCT,8999,6,"Doctoral Dissertation",Khumawala,"Saleha B",,,,,,,
"Spring 2014",ANTH,6392,3,"Research Practicum I",Storey,Rebecca,,,,,,,
"Spring 2014",ANTH,6399,1,"Masters Thesis",Brown,"Kenneth L",,,,,,,
"Spring 2014",ANTH,6399,2,"Masters Thesis",Rasmussen,"Susan J",,,,,,,
"Spring 2014",ANTH,6399,7,"Masters Thesis",Hutchinson,"Janice Faye",,,,,,,
"Spring 2014",ANTH,7399,3,"Masters Thesis",Brown,"Kenneth L",,,,,,,
"Spring 2014",ANTH,7399,7,"Masters Thesis",Hutchinson,"Janice Faye",,,,,,,
"Spring 2014",BCHS,4398,1,"Independent Study",Tejada-Simon,"Maria Victoria",,,,,,,
"Spring 2014",BCHS,4398,2,"Independent Study",Sater,Amy,,,,,,,
"Spring 2014",BCHS,4398,3,"Independent Study",Williams,Lawrence,,,,,,,
"Spring 2014",BCHS,4398,4,"Independent Study",Sharp,Carla,,,,,,,
"Spring 2014",BCHS,6113,1,"Graduate Biochemistry Seminar",Gao,Xiaolian,,,,,,,
"Spring 2014",BCHS,6198,7,"Special Problems",Wang,Yuhong,,,,,,,
"Spring 2014",BCHS,6198,1,"Special Problems",Briggs,"James M",,,,,,,
"Spring 2014",BCHS,6198,6,"Special Problems",Schwartz,"Robert J",,,,,,,
"Spring 2014",BCHS,6298,1,"Special Problems",Briggs,"James M",,,,,,,
"Spring 2014",BCHS,6298,3,"Special Problems",Fox,"George Edward",,,,,,,
"Spring 2014",BCHS,6298,5,"Special Problems",Willson,Richard,,,,,,,
"Spring 2014",BCHS,6298,13,"Special Problems",Widger,"William R",,,,,,,
"Spring 2014",BCHS,6298,17,"Special Problems",Schwartz,"Robert J",,,,,,,
"Spring 2014",BCHS,6398,9,"Special Problems",Gao,Xiaolian,,,,,,,
"Spring 2014",BCHS,6398,12,"Special Problems",Briggs,"James M",,,,,,,
"Spring 2014",BCHS,6398,13,"Special Problems",Fujita,Masaya,,,,,,,
"Spring 2014",BCHS,6398,15,"Special Problems",Schwartz,"Robert J",,,,,,,
"Spring 2014",BCHS,6498,1,"Special Problems",Fox,"Robert O",,,,,,,
"Spring 2014",BCHS,6498,10,"Special Problems",Willson,Richard,,,,,,,
"Spring 2014",BCHS,6498,12,"Special Problems",Briggs,"James M",,,,,,,
"Spring 2014",BCHS,6498,16,"Special Problems",Schwartz,"Robert J",,,,,,,
"Spring 2014",BCHS,6498,17,"Special Problems",Weihua,Zhang,,,,,,,
"Spring 2014",BCHS,6498,18,"Special Problems",Bark,Steven,,,,,,,
"Spring 2014",BCHS,6498,3,"Special Problems",Gunaratne,"Preethi H",,,,,,,
"Spring 2014",BCHS,6598,1,"Special Problems",Willson,Richard,,,,,,,
"Spring 2014",BCHS,6598,3,"Special Problems",Fujita,Masaya,,,,,,,
"Spring 2014",BCHS,8198,4,"Doctoral Research",Fox,"George Edward",,,,,,,
"Spring 2014",BCHS,8198,6,"Doctoral Research",Colbert,"Anne D",,,,,,,
"Spring 2014",BCHS,8198,10,"Doctoral Research",Willson,Richard,,,,,,,
"Spring 2014",BCHS,8198,15,"Doctoral Research",Gunaratne,"Preethi H",,,,,,,
"Spring 2014",BCHS,8298,1,"Doctoral Research",Willson,Richard,,,,,,,
"Spring 2014",BCHS,8298,11,"Doctoral Research",Colbert,"Anne D",,,,,,,
"Spring 2014",BCHS,8298,13,"Doctoral Research",Briggs,"James M",,,,,,,
"Spring 2014",BCHS,8298,22,"Doctoral Research",Zhang,"Shaun Xiaoliu",,,,,,,
"Spring 2014",BCHS,8298,24,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Spring 2014",BCHS,8398,4,"Doctoral Research",Briggs,"James M",,,,,,,
"Spring 2014",BCHS,8398,1,"Doctoral Research",Gustafsson,Jan-Ake,,,,,,,
"Spring 2014",BCHS,8398,12,"Doctoral Research",Willson,Richard,,,,,,,
"Spring 2014",BCHS,8398,18,"Doctoral Research",Fox,"Robert O",,,,,,,
"Spring 2014",BCHS,8399,16,"Doctoral Dissertation",Gustafsson,Jan-Ake,,,,,,,
"Spring 2014",BCHS,8498,5,"Doctoral Research",Briggs,"James M",,,,,,,
"Spring 2014",BCHS,8498,10,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Spring 2014",BCHS,8598,7,"Doctoral Research",Colbert,"Anne D",,,,,,,
"Spring 2014",BCHS,8598,15,"Doctoral Research",Williams,"Cecilia Marie",,,,,,,
"Spring 2014",BCHS,8598,4,"Doctoral Research",Gustafsson,Jan-Ake,,,,,,,
"Spring 2014",BCHS,8598,6,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Spring 2014",BCHS,8698,7,"Doctoral Research",Willson,Richard,,,,,,,
"Spring 2014",BCHS,8698,8,"Doctoral Research",Fox,"George Edward",,,,,,,
