TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Summer 2014",ACCT,4396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Summer 2014",ACCT,4396,2,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Summer 2014",ACCT,7396,1,"Accounting Internship",Newman,"Michael Ray",,,,,,,
"Summer 2014",ACCT,8399,2,"Doctoral Dissertation",Khumawala,"Saleha B",,,,,,,
"Summer 2014",ACCT,8699,2,"Doctoral Dissertation",Gamble,"George O",,,,,,,
"Summer 2014",ACCT,8699,3,"Doctoral Dissertation",Lobo,Gerald,,,,,,,
"Summer 2014",AFSC,3801,1,"Field Training","Bentley III",Lynn,,,,,,,
"Summer 2014",ANTH,6399,1,"Masters Thesis",Brown,"Kenneth L",,,,,,,
"Summer 2014",ANTH,6399,7,"Masters Thesis",Rasmussen,"Susan J",,,,,,,
"Summer 2014",BCHS,6198,2,"Special Problems",Widger,"William R",,,,,,,
"Summer 2014",BCHS,6198,10,"Special Problems",Wang,Yuhong,,,,,,,
"Summer 2014",BCHS,6198,11,"Special Problems",Gao,Xiaolian,,,,,,,
"Summer 2014",BCHS,6198,6,"Special Problems",Gunaratne,"Preethi H",,,,,,,
"Summer 2014",BCHS,6198,7,"Special Problems",Schwartz,"Robert J",,,,,,,
"Summer 2014",BCHS,6298,6,"Special Problems",Fujita,Masaya,,,,,,,
"Summer 2014",BCHS,6298,7,"Special Problems",Willson,Richard,,,,,,,
"Summer 2014",BCHS,6298,9,"Special Problems",Briggs,"James M",,,,,,,
"Summer 2014",BCHS,6298,19,"Special Problems",Gunaratne,"Preethi H",,,,,,,
"Summer 2014",BCHS,6298,21,"Special Problems",Bark,Steven,,,,,,,
"Summer 2014",BCHS,6398,11,"Special Problems",Gunaratne,"Preethi H",,,,,,,
"Summer 2014",BCHS,6498,3,"Special Problems",Fujita,Masaya,,,,,,,
"Summer 2014",BCHS,6498,9,"Special Problems",Willson,Richard,,,,,,,
"Summer 2014",BCHS,6498,12,"Special Problems",Briggs,"James M",,,,,,,
"Summer 2014",BCHS,6498,21,"Special Problems",Bark,Steven,,,,,,,
"Summer 2014",BCHS,6598,2,"Special Problems",Widger,"William R",,,,,,,
"Summer 2014",BCHS,6598,11,"Special Problems",Gao,Xiaolian,,,,,,,
"Summer 2014",BCHS,6598,4,"Special Problems",Wang,Yuhong,,,,,,,
"Summer 2014",BCHS,6598,6,"Special Problems",Schwartz,"Robert J",,,,,,,
"Summer 2014",BCHS,8198,5,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Summer 2014",BCHS,8198,6,"Doctoral Research",Gunaratne,"Preethi H",,,,,,,
"Summer 2014",BCHS,8398,16,"Doctoral Research",Gunaratne,"Preethi H",,,,,,,
"Summer 2014",BCHS,8498,5,"Doctoral Research",Gustafsson,Jan-Ake,,,,,,,
"Summer 2014",BCHS,8598,4,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Summer 2014",BCHS,8698,5,"Doctoral Research",Willson,Richard,,,,,,,
"Summer 2014",BCHS,8698,6,"Doctoral Research",Briggs,"James M",,,,,,,
"Summer 2014",BCHS,8698,9,"Doctoral Research",Fox,"George Edward",,,,,,,
"Summer 2014",BCHS,8698,11,"Doctoral Research",Fujita,Masaya,,,,,,,
"Summer 2014",BCHS,8698,16,"Doctoral Research",Briggs,"James M",,,,,,,
"Summer 2014",BCHS,8698,23,"Doctoral Research",Gustafsson,Jan-Ake,,,,,,,
"Summer 2014",BCHS,8698,24,"Doctoral Research",Wang,Yuhong,,,,,,,
"Summer 2014",BCHS,8698,27,"Doctoral Research",Fox,"George Edward",,,,,,,
"Summer 2014",BCHS,8698,31,"Doctoral Research",Fox,"Robert O",,,,,,,
"Summer 2014",BCHS,8698,32,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Summer 2014",BCHS,8699,26,"Doctoral Dissertation",Gao,Xiaolian,,,,,,,
"Summer 2014",BIOE,6198,11,Research,Shevkoplyas,Sergey,,,,,,,
"Summer 2014",BIOE,6198,12,Research,Wu,Tianfu,,,,,,,
"Summer 2014",BIOE,6198,3,Research,Akay,"Yasemin M",,,,,,,
"Summer 2014",BIOE,6198,6,Research,Gifford,Howard,,,,,,,
"Summer 2014",BIOE,6198,7,Research,Ince,"Nuri Firat",,,,,,,
"Summer 2014",BIOE,6398,11,Research,Shevkoplyas,Sergey,,,,,,,
"Summer 2014",BIOE,6598,10,Research,Ince,"Nuri Firat",,,,,,,
"Summer 2014",BIOE,6598,11,Research,Shevkoplyas,Sergey,,,,,,,
"Summer 2014",BIOE,6598,12,Research,Wu,Tianfu,,,,,,,
"Summer 2014",BIOE,6598,3,Research,Akay,"Yasemin M",,,,,,,
"Summer 2014",BIOE,6598,6,Research,Gifford,Howard,,,,,,,
"Summer 2014",BIOE,8198,10,"Doctoral Research",Omurtag,Ahmet,,,,,,,
"Summer 2014",BIOE,8198,2,"Doctoral Research",Larin,Kirill,,,,,,,
"Summer 2014",BIOE,8198,4,"Doctoral Research",Birla,"Ravi K",,,,,,,
