TERM,SUBJECT,CATALOG_NBR,CLASS_SECTION,CLASS_NUMBER,COURSE_DESCR,INSTR_LAST_NAME,INSTR_FIRST_NAME,A,B,C,D,F,SASTISFACTORY,TOTAL_DROPPED,AVG_GPA
Spring 2025,SOCW,7325,1,10002,Individuals: Adv Clinical Prac,Amtsberg,Donna K,19,3,3,0,0,0,0,3.64
Spring 2025,PHIL,1301,1,10003,Intro To Philosophy,Aiman,Edwin E,24,22,1,0,1,0,2,3.369
Spring 2025,PHIL,1301,3,10004,Intro To Philosophy,Haaga,Curtis W,92,31,8,0,1,0,1,3.584
Spring 2025,PHIL,1301,4,10005,Intro To Philosophy,Aiman,Edwin E,49,26,13,2,3,0,6,3.173
Spring 2025,PHIL,1305,1,10006,Intro To Ethics,Coates,Daniel J,74,45,31,10,5,0,2,3.108
Spring 2025,PHIL,1305,2,10007,Intro To Ethics,Aiman,Edwin E,25,16,2,2,2,0,2,3.22
Spring 2025,PHIL,1321,2,10009,Logic I,Loewenstein,Yael R,20,11,11,7,8,0,12,2.468
Spring 2025,PHIL,1321,3,10010,Logic I,Haaga,Curtis W,22,20,12,1,3,0,6,2.971
Spring 2025,PHIL,1321,5,10011,Logic I,Haaga,Curtis W,19,18,18,5,5,0,15,2.605
Spring 2025,PHIL,1361,1,10012,Philosophy and the Arts,Drapela,Nick Gerard,10,12,10,1,2,0,15,2.771
Spring 2025,PHIL,1361,2,10013,Philosophy and the Arts,Drapela,Nick Gerard,9,13,5,4,2,0,14,2.687
Spring 2025,PHIL,1361,3,10014,Philosophy and the Arts,Drapela,Nick Gerard,7,11,8,4,5,0,15,2.305
Spring 2025,PHIL,1361,4,10015,Philosophy and the Arts,Drapela,Nick Gerard,6,15,10,6,6,0,7,2.217
Spring 2025,PHIL,3358,1,10017,Classics in Hist of Ethics,Werner,Andrew Timothy,23,5,1,0,0,0,3,3.713
Spring 2025,ARCH,6324,1,10019,High Rise Structures,Colaco,Joseph P,3,8,0,0,0,0,0,3.483
Spring 2025,AAS,2320,2,10020,Intro To African American Stdy,Odewale,Alicia D,17,6,0,0,1,0,1,3.583
Spring 2025,ACCT,2301,1,10021,Prin of Financial Accounting,Lobo,Gerald,4,8,14,4,1,0,6,2.429
Spring 2025,ACCT,3368,1,10022,Intermediate Accounting II,Sun,Xue,6,10,8,0,1,0,5,2.76
Spring 2025,ACCT,4331,1,10023,Federal Income Tax,Fernandez,Ramon,4,21,6,0,0,0,0,3.053
Spring 2025,ACCT,4331,2,10024,Federal Income Tax,Small,Randolph Christopher,24,19,11,3,2,0,4,3.017
Spring 2025,ACCT,4396,1,10025,Accounting Internship,Newman,Michael Ray,0,0,0,0,0,13,0,
Spring 2025,ACCT,5330,1,10026,Advanced Accounting,Ramaswamy,Vinita,1,2,1,0,0,0,0,3.083
Spring 2025,ACCT,5337,1,10027,Management Accounting,Serrato,Darlene Marie  Bohac,6,1,0,0,0,0,1,3.81
Spring 2025,ACCT,5368,1,10028,Intermediate Accounting II,Wang,Yu,0,4,1,0,1,0,0,2.443
Spring 2025,ACCT,6331,1,10029,Financial Accounting,Zhu,Limin,11,5,1,0,0,0,0,3.569
Spring 2025,ACCT,7330,1,10030,Advanced Accounting,Ramaswamy,Vinita,3,10,5,0,0,0,0,3.017
Spring 2025,ACCT,7330,2,10031,Advanced Accounting,Ramaswamy,Vinita,3,6,0,0,0,0,1,3.333
Spring 2025,ACCT,7340,1,10032,Financial Statement Analysis,Crawford,Steven,13,2,0,0,0,0,0,3.779
Spring 2025,ACCT,7340,2,10033,Financial Statement Analysis,Crawford,Steven,9,9,0,0,0,0,0,3.5
Spring 2025,ACCT,8699,1,10034,Doctoral Dissertation,Lobo,Gerald,0,0,0,0,0,1,0,
Spring 2025,ACCT,8999,1,10035,Doctoral Dissertation,Lobo,Gerald,0,0,0,0,0,1,0,
Spring 2025,AFSC,1202,1,10036,Foundations of the USAF II,Koontz,Savanah,8,6,2,2,0,0,1,3.019
Spring 2025,AFSC,1202,2,10037,Foundations of the USAF II,Koontz,Savanah,2,2,2,0,1,0,1,2.477
Spring 2025,AFSC,2202,1,10039,Evolution of Air Power II,Bolarinwa,Feyisade,8,3,0,0,0,0,0,3.667
Spring 2025,AFSC,2202,2,10040,Evolution of Air Power II,Bolarinwa,Feyisade,7,1,0,0,0,0,0,3.751
Spring 2025,AFSC,3302,1,10042,Air Force Leadership II,Giebler,Andrew,5,1,0,0,0,0,0,3.778
Spring 2025,ANTH,2346,1,10044,Introduction to Anthropology,Routon,Erin Danielle,30,14,3,2,2,0,2,3.314
Spring 2025,ANTH,2351,1,10045,Intro to Cultural Anthropology,Sen,Debarati,23,30,14,11,1,0,6,2.706
Spring 2025,ANTH,2302,1,10046,Introduction to Archeology,Raymond,Amy Lynn,24,16,15,3,3,0,3,2.918
Spring 2025,ANTH,4310,1,10047,Theories of Culture,McNeal,Keith E.,13,20,4,0,0,0,1,3.297
Spring 2025,ANTH,7399,2,10049,Masters Thesis,Quinn,Rachel Afi,0,0,0,0,0,0,0,
Spring 2025,ANTH,7399,3,10050,Masters Thesis,Ghazali,Marwa,0,0,0,0,0,1,0,
Spring 2025,ARAB,1502,1,10052,Beginning Arabic II,Hefter,Thomas H,3,1,1,0,0,0,1,3.466
Spring 2025,ARAB,2312,1,10053,Intermediate Arabic II,Hefter,Thomas H,6,4,3,1,0,0,2,3.142
Spring 2025,ARCH,1501,1,10054,Arc/Int Arc Design Studio II,Gonzales,Michael A,9,6,0,0,0,0,0,3.622
Spring 2025,ARCH,1501,7,10058,Arc/Int Arc Design Studio II,Wienert,Ross George,10,5,0,0,0,0,0,3.535
Spring 2025,ARCH,1501,9,10060,Arc/Int Arc Design Studio II,Soto,Carlos E,8,7,0,0,0,0,0,3.511
Spring 2025,ARCH,2351,1,10062,Hist of the Built Environmt II,Ramaswamy,Deepa,72,76,15,4,5,0,2,3.167
Spring 2025,ARCH,2501,1,10069,Architecture Design Studio IV,Woodfill,Celeste Ponce,2,10,5,0,0,0,0,2.862
Spring 2025,ARCH,2501,3,10071,Architecture Design Studio IV,Clovis,Sam,7,9,0,0,0,0,0,3.438
Spring 2025,ARCH,3501,1,10074,Architecture Design Studio VI,Self,Ronnie L,8,4,1,1,0,0,0,3.31
Spring 2025,ARCH,4351,1,10079,Readings & Criticism in Arch,Turner,Drexel,12,2,1,0,0,0,0,3.601
Spring 2025,ARCH,4355,1,10080,Houston Architecture,Fox,Stephen,16,3,0,0,0,0,0,3.721
Spring 2025,ARCH,4367,1,10081,Case Studies in Sustain Design,Taylor,Rives,8,5,0,1,0,0,1,3.452
Spring 2025,ARCH,6341,1,10082,Architectural Hist Survey II,Ramaswamy,Deepa,5,4,0,1,0,0,1,3.234
Spring 2025,ARCH,6360,1,10085,Practice of Arch,Jacobs,Daniel,13,9,0,0,0,0,0,3.471
Spring 2025,ARCH,6604,1,10086,Architecture Design Studio IV,Zamore,Brett Elliot,6,5,0,0,0,0,0,3.545
Spring 2025,ARCH,6604,3,10088,Architecture Design Studio IV,Hager,Jesse,8,2,0,0,0,0,0,3.701
Spring 2025,ARCH,7601,1,10090,Architecture Design Studio VI,Borden,Gail,9,1,0,0,0,0,0,3.735
Spring 2025,BCHS,3201,1,10092,Biochemistry I Laboratory,Pattison,Donna,8,13,2,0,0,0,1,3.29
Spring 2025,BCHS,3201,2,10093,Biochemistry I Laboratory,Pattison,Donna,8,6,1,1,0,0,0,3.292
Spring 2025,BCHS,3201,3,10094,Biochemistry I Laboratory,Pattison,Donna,7,7,4,0,0,0,0,3.112
Spring 2025,BCHS,3305,1,10095,General Biochemistry II,Fujita,Masaya,12,16,4,0,1,0,1,3.112
Spring 2025,BCHS,4399,1,10098,Senior Honors Thesis,Widger,William R,1,0,0,0,0,0,0,4
Spring 2025,BCHS,6113,1,10099,Graduate Biochemistry Seminar,Yeo,Hye-Jeong,0,0,0,0,0,31,0,
Spring 2025,BCHS,6231,1,10100,Grad Biochem Lab Rotation II,Widger,William R,6,0,0,0,0,0,0,4
Spring 2025,BCHS,8999,1,10102,Doctoral Dissertation,Wang,Yuhong,1,0,0,0,0,0,0,4
Spring 2025,BIOE,6111,1,10103,Grad Bioengineering Seminar,Larin,Kirill,0,0,0,0,0,53,0,
Spring 2025,BIOL,2102,1,10104,Anatomy & Physiology II (lab),Gill,Tejendra,9,11,2,2,0,0,0,3.07
Spring 2025,BIOL,2102,2,10105,Anatomy & Physiology II (lab),Gill,Tejendra,5,15,4,0,0,0,0,3.028
Spring 2025,BIOL,2102,3,10106,Anatomy & Physiology II (lab),Gill,Tejendra,9,8,1,0,0,0,5,3.426
Spring 2025,BIOL,2102,4,10107,Anatomy & Physiology II (lab),Gill,Tejendra,9,11,0,2,1,0,1,3.144
Spring 2025,BIOL,2102,5,10108,Anatomy & Physiology II (lab),Gill,Tejendra,9,9,1,2,1,0,2,3.045
Spring 2025,BIOL,2102,6,10109,Anatomy & Physiology II (lab),Gill,Tejendra,7,14,0,1,1,0,1,3.144
Spring 2025,BIOL,2102,7,10110,Anatomy & Physiology II (lab),Gill,Tejendra,9,11,3,0,0,0,0,3.218
Spring 2025,BIOL,2102,8,10111,Anatomy & Physiology II (lab),Gill,Tejendra,3,15,4,0,0,0,2,3
Spring 2025,BIOL,2102,9,10112,Anatomy & Physiology II (lab),Gill,Tejendra,8,11,1,1,0,0,1,3.238
Spring 2025,BIOL,2102,10,10113,Anatomy & Physiology II (lab),Gill,Tejendra,7,11,1,1,0,0,3,3.167
Spring 2025,BIOL,1107,1,10114,Biology for Science Majors II,Medrano,Ana I,18,4,2,0,0,0,0,3.708
Spring 2025,BIOL,1107,2,10115,Biology for Science Majors II,Medrano,Ana I,17,6,1,0,0,0,0,3.694
Spring 2025,BIOL,1107,3,10116,Biology for Science Majors II,Medrano,Ana I,17,7,0,0,0,0,0,3.667
Spring 2025,BIOL,1107,4,10117,Biology for Science Majors II,Medrano,Ana I,22,2,0,0,0,0,0,3.889
Spring 2025,BIOL,1107,5,10118,Biology for Science Majors II,Medrano,Ana I,17,5,0,1,1,0,0,3.514
Spring 2025,BIOL,1107,6,10119,Biology for Science Majors II,Medrano,Ana I,21,3,0,0,0,0,0,3.875
Spring 2025,BIOL,1107,7,10120,Biology for Science Majors II,Medrano,Ana I,14,4,4,0,0,0,1,3.44
Spring 2025,BIOL,1107,8,10121,Biology for Science Majors II,Medrano,Ana I,10,7,4,0,0,0,3,3.239
Spring 2025,BIOL,1107,9,10122,Biology for Science Majors II,Medrano,Ana I,16,6,1,1,0,0,0,3.555
Spring 2025,BIOL,1107,10,10123,Biology for Science Majors II,Medrano,Ana I,10,10,2,1,0,0,1,3.261
Spring 2025,BIOL,1107,11,10124,Biology for Science Majors II,Medrano,Ana I,21,3,0,0,0,0,0,3.834
Spring 2025,BIOL,1107,12,10125,Biology for Science Majors II,Medrano,Ana I,21,2,1,0,0,0,0,3.833
Spring 2025,BIOL,1107,13,10126,Biology for Science Majors II,Medrano,Ana I,17,5,1,1,0,0,0,3.418
Spring 2025,BIOL,1107,14,10127,Biology for Science Majors II,Medrano,Ana I,21,2,1,0,0,0,0,3.751
Spring 2025,BIOL,1107,15,10128,Biology for Science Majors II,Medrano,Ana I,21,2,0,0,0,0,1,3.913
Spring 2025,BIOL,1107,16,10129,Biology for Science Majors II,Medrano,Ana I,20,3,1,0,0,0,0,3.805
Spring 2025,BIOL,1107,17,10130,Biology for Science Majors II,Medrano,Ana I,14,5,2,1,0,0,2,3.47
Spring 2025,BIOL,1107,18,10131,Biology for Science Majors II,Medrano,Ana I,19,5,0,0,0,0,0,3.778
Spring 2025,BIOL,1107,19,10132,Biology for Science Majors II,Medrano,Ana I,18,4,0,1,0,0,1,3.653
Spring 2025,BIOL,1107,20,10133,Biology for Science Majors II,Medrano,Ana I,7,13,2,0,1,0,0,3.03
Spring 2025,BIOL,1107,21,10134,Biology for Science Majors II,Medrano,Ana I,18,2,2,0,0,0,1,3.727
Spring 2025,BIOL,1107,22,10135,Biology for Science Majors II,Medrano,Ana I,21,3,0,0,0,0,0,3.875
Spring 2025,BIOL,2301,1,10136,Anatomy & Physiology I (lect),Wayne,Chad M,40,72,78,36,15,0,75,2.332
Spring 2025,BIOL,2302,1,10137,Anatomy & Physiology II (lect),Gill,Tejendra,57,138,69,14,5,0,15,2.774
Spring 2025,BIOL,1307,1,10138,Biology for Science Majors II,Medrano,Ana I,28,50,44,21,16,0,22,2.317
Spring 2025,BIOL,1307,2,10139,Biology for Science Majors II,Cheek,Ann Oliver,102,85,60,13,9,0,11,3.018
Spring 2025,BIOL,1307,4,10140,Biology for Science Majors II,Farmer,Lisa M,100,98,59,14,3,0,10,3.005
Spring 2025,BIOL,3306,1,10141,Evolutionary Biology,Frankino,William A,42,59,72,31,10,0,5,2.456
Spring 2025,BIOL,3324,1,10142,Human Physiology,Ogletree-Hughes,Monique L,42,39,39,8,2,0,18,2.834
