department,catalogNumber,description,catoid,groupEntoid,groupNavoid,groupShortTitle,groupLongTitle
ARCH,1198,Special Problems,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,1210,Introduction to Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,1358,Introduction to Design Culture,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,1360,Architectural Sketching I,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,1500,Design Studio I,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,1501,Architecture and Interior Architecture Design Studio II,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,2327,Technology I,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,2328,Technology 2,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,2331,Digital Vocabularies,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,2350,History of the Built Environment I,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,2351,History of the Built Environment II,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,2397,Selected Topics,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,2500,Architecture and Interior Architecture Design Studio III,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,2501,Architecture Design Studio IV,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3111,Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3112,Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3113,Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3114,Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3198,Independent Study,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3211,Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3212,Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3213,Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3214,Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3230,Programming and Building Regulations,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3311,Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3312,Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3313,Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3314,Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3327,Technology 3,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
