department,catalogNumber,description,catoid,coid,coreCode,coreArea,groupNavoid,groupTitle
ENGL,1303,First Year Writing I,36,171247,10,Communication,13121,2020-2021 Undergraduate Catalog
ENGL,1304,First Year Writing II,36,171248,10,Communication,13121,2020-2021 Undergraduate Catalog
ENGL,1370,Freshman Composition II - Honors,36,171251,10,Communication,13121,2020-2021 Undergraduate Catalog
ENGL,2361,Western World Literature II - Honors,36,171276,10,Communication,13121,2020-2021 Undergraduate Catalog
BUSI,2305,Business Statistics,36,184550,20,Mathematics,13122,2020-2021 Undergraduate Catalog
MATH,1310,College Algebra,36,172365,20,Mathematics,13122,2020-2021 Undergraduate Catalog
MATH,1311,Elementary Mathematical Modeling,36,172366,20,Mathematics,13122,2020-2021 Undergraduate Catalog
MATH,1312,Introduction to Mathematical Reasoning,36,172367,20,Mathematics,13122,2020-2021 Undergraduate Catalog
MATH,1313,Finite Math with Applications,36,172368,20,Mathematics,13122,2020-2021 Undergraduate Catalog
MATH,1314,Calculus for Business and the Life Sciences,36,172369,20,Mathematics,13122,2020-2021 Undergraduate Catalog
MATH,1330,Precalculus,36,172370,20,Mathematics,13122,2020-2021 Undergraduate Catalog
MATH,1431,Calculus I,36,172372,20,Mathematics,13122,2020-2021 Undergraduate Catalog
MATH,1450,Accelerated Calculus,36,172374,20,Mathematics,13122,2020-2021 Undergraduate Catalog
MATH,2311,Introduction to Probability and Statistics,36,172377,20,Mathematics,13122,2020-2021 Undergraduate Catalog
BIOL,1305,Human Biology for the Informed Citizen,36,174355,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
BIOL,1309,Human Genetics and Society,36,170325,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
BIOL,1310,General Biology 1,36,170326,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
BIOL,1320,General Biology 2,36,170327,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
BIOL,1361,Introduction to Biological Science 1,36,170331,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
BIOL,1362,Introduction to Biological Science 2,36,170332,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
BIOL,2315,Biology of Food,36,174435,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
CHEM,1301,Foundations of Chemistry,36,170495,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
CHEM,1331,Fundamentals of Chemistry,36,170497,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
CHEM,1332,Fundamentals of Chemistry 2,36,170498,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
GEOL,1302,Introduction to Global Climate Change,36,171497,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
GEOL,1330,Physical Geology,36,171498,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
GEOL,1340,Earth Systems,36,171499,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
GEOL,1350,Introduction to Meteorology,36,171500,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
GEOL,1360,Introduction to Oceanography,36,171501,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
GEOL,1370,Natural Disasters,36,174434,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
GEOL,1376,Historical Geology,36,171502,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
NUTR,2332,Introduction To Human Nutrition,36,172018,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
PHAR,2362,Principles of Drug Action,36,172729,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
PHYS,1301,Introductory General Physics I,36,172818,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
PHYS,1302,Introductory General Physics II,36,172819,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
PHYS,1305,Introductory Astronomy - The Solar System,36,172820,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
PHYS,1306,Introductory Astronomy - Stellar and Galactic Systems,36,172821,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
PHYS,1321,University Physics I,36,172822,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
PHYS,1322,University Physics II,36,172823,30,Life and Physical Sciences,13123,2020-2021 Undergraduate Catalog
AAS,2320,Introduction to African American Studies,36,169923,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
AAS,2330,Black Liberation Theology,36,169925,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ARAB,3340,Modernity and Rationalism in Islamic Tradition,36,170062,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ARTH,1300,Ways of Seeing: Art and Our Visual World,36,170240,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ARTH,1380,Art and Society: Prehistoric to Gothic,36,170241,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
CHNS,3352,Chinese Culture and Society Through Modern Literature,36,170561,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
CHNS,3360,A Look Into Modern China,36,170563,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
CLAS,3307,Greek and Roman Myths of Heroes,36,170602,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
CLAS,3308,Myths and Cult of the Greek Gods,36,170603,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
CLAS,3366,The Trojan War,36,170606,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
CLAS,3374,Women in the Ancient World,36,170608,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ENGL,2305,Introduction to Fiction,36,171257,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ENGL,2306,Introduction to Poetry,36,171258,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ENGL,2308,Introduction to Nonfiction Prose,36,171260,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ENGL,2315,Literature and Film,36,171264,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ENGL,2316,Literature and Culture,36,171265,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ENGL,2323,Literature and Identity,36,171270,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ENGL,2325,Literary Traditions of the Nonwestern World,36,171272,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ENGL,2340,Cosmic Narratives,36,171274,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ENGL,3306,Shakespeare: The Major Works,36,171285,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ENGL,3324,The Development of the Novel,36,171297,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ENGL,3325,Structures of Poetry,36,171298,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ENGL,3327,Masterpieces of British Literature to the Eighteenth Century,36,171300,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ENGL,3328,Masterpieces of British Literature from the Eighteenth Century,36,171301,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ENGL,3350,American Literature to 1865,36,171311,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ENGL,3351,American Literature Since 1865,36,171312,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ENGL,3360,Survey of African American Literature,36,171318,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ETHN,2300,Introduction to Ethnic Studies,36,174563,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
FREN,3318,History of French Cinema,36,171439,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
FREN,3319,History of French Cinema,36,171440,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
FREN,3321,Cinema of French-Speaking Africa,36,171442,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
FREN,3322,Cinema of French-Speaking Africa,36,171443,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
FREN,3362,Paris - Berlin: Tales of Two Cities,36,171444,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
FREN,3364,Writing Holocausts: The Literatures of Genocide,36,171445,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
GERM,3350,Understanding the 20th Century through German Culture,36,171599,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
GERM,3362,Paris - Berlin: Tales of Two Cities,36,171602,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
GERM,3364,Writing Holocausts: The Literatures of Genocide,36,171604,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
GERM,3369,"World War I in Literature, Visual Arts, and Film",36,171605,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
HISP,2373,Spanish Culture and Civilization,36,174336,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
HISP,2374,Spanish American Culture and Civilization,36,174337,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
HISP,2375,United States Hispanic Culture and Civilization,36,174338,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
HIST,2349,Latina/o Jewish History,36,174384,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
HIST,2351,Western Civilization to 1450,36,171695,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
HIST,2353,Western Civilization From 1450,36,171696,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
HIST,2361,The Study of Early Civilizations,36,171697,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
HIST,2363,Study of Modern Civilizations,36,171698,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
HIST,2368,Introduction to African Studies,36,173722,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
HIST,2371,Latin America 1492-1820,36,171699,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
HIST,2372,Latin American History Since 1820,36,171700,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
HIST,2373,Environment in Latin America,36,173597,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
HIST,2374,Popular Culture in Latin America,36,174566,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
HIST,3379,World Civilizations to 1500,36,171770,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
HIST,3380,World Civilization Since 1500,36,171771,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
HIST,4330,Flowering of the Middle Ages,36,171807,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
HON,2301,The Human Situation: Antiquity,36,171848,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
IART,1300,The Arts in Society,36,174580,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ILAS,2350,Knowledge and Methods,36,172132,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ILAS,2360,Cosmic Narratives,36,172133,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ITAL,3305,Italian Culture Through Films,36,172203,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ITAL,3306,Italian Cinema,36,172204,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ITAL,3308,Italian Heritage,36,172205,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ITAL,3335,Survey of Italian Literature,36,172207,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ITAL,3336,Survey of Italian Literature  in Translation,36,172208,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
JWST,2372,The Bible and Modern Pop Culture,36,174588,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
JWST,2380,Introduction to Jewish Studies,36,173622,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
JWST,3371,Women in the Hebrew Bible/Old Testament,36,174589,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
MAS,3340,The Development of the Mexican American Urban Community,36,172541,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
PHIL,1301,Introduction to Philosophy,36,172730,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
PHIL,1305,Introduction to Ethics,36,172731,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
POLS,3340,Ancient and Medieval Political Thought,36,172900,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
POLS,3342,Liberalism and Its Critics,36,172902,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
RELS,1301,Introduction to Religious Studies,36,173027,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
RELS,2310,The Bible and Western Culture I,36,173028,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
RELS,2311,The Bible and Western Culture II,36,173029,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
RELS,2330,Judaism,36,173030,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
RELS,2372,The Bible and Modern Pop Culture,36,174416,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
RELS,3371,Women in the Hebrew Bible/Old Testament,36,174417,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
SPAN,3331,Mexican-American Literature,36,173155,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
SPAN,3373,Spanish Culture and Civilization,36,173162,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
SPAN,3374,Spanish American Culture and Civilization,36,173163,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
SPAN,3375,United States Hispanic Culture and Civilization,36,173164,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
WCL,2351,World Cultures Through Literature and Art,36,173404,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
WCL,2352,World Cinema,36,173405,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
WCL,2370,Cultures of India,36,173406,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
WCL,3351,Introduction to Latino Cultural Studies,36,173409,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
WCL,3377,"The Modern Middle East: Literature, Politics, and Ideas",36,173421,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
WGSS,2350,Introduction To Women’s Studies,36,173708,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
WGSS,2360,Introduction to GLBT Studies,36,173709,40,"Language, Philosophy & Culture",13120,2020-2021 Undergraduate Catalog
ARCH,2350,Survey of Architectural History I,36,170070,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
ARTH,1381,Art and Society: Renaissance to Modern,36,170242,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
CLAS,3345,Myth and Performance in Greek Tragedy,36,170605,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
CLAS,3381,From Homer to Hollywood: Archaic and Classical Greek Themes in  Modern Cinema,36,170611,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
DAN,2307,Introduction to Dance,36,170968,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
DAN,3310,Dance History I,36,170981,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
ENGL,2307,Introduction to Drama,36,171259,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
ENGL,2318,Creation and Performance of Literature,36,171266,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
GERM,3363,Themes in German Drama,36,171603,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
GERM,3381,History of German Cinema,36,171607,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
GERM,3384,Fascism and German Cinema,36,171609,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
GERM,3385,East German Cinema,36,171610,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
HIST,4371,Latin American History Through Film,36,171828,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
INDS,2355,Design History I,36,172058,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
MUED,2342,Music for Children,36,172645,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
MUSI,2302,Listening to Jazz,36,172595,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
MUSI,2362,History of Music I,36,172598,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
MUSI,3300,Listening to Music Masterworks,36,172613,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
MUSI,3301,Listening to World Music,36,172614,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
PHIL,1361,Philosophy and the Arts,36,172734,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
POLS,2346,The Politics of Greek Theatre,36,172862,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
SPAN,3386,Screen Memories: Spanish Culture Through Film,36,173166,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
THEA,1331,Introduction to the Theatre,36,173273,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
THEA,1332,Fundamentals of Theatre,36,173274,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
WCL,3366,Latin American and Latino Film Studies,36,173414,50,Creative Arts,13124,2020-2021 Undergraduate Catalog
HIST,1376,The United States To 1877,36,171687,60,American History,13125,2020-2021 Undergraduate Catalog
HIST,1377,The U S To 1877,36,171688,60,American History,13125,2020-2021 Undergraduate Catalog
HIST,1378,The U S Since 1877,36,171689,60,American History,13125,2020-2021 Undergraduate Catalog
HIST,1379,The United States Since 1877,36,171690,60,American History,13125,2020-2021 Undergraduate Catalog
HIST,2348,U.S. Latino/a Histories,36,173619,60,American History,13125,2020-2021 Undergraduate Catalog
HIST,2341,Texas To 1865,36,171693,60,American History,13125,2020-2021 Undergraduate Catalog
HIST,2343,Texas Since 1865,36,171694,60,American History,13125,2020-2021 Undergraduate Catalog
POLS,1107,Texas Constitution and Government,36,172855,70,Government/Political Science,13126,2020-2021 Undergraduate Catalog
POLS,1336,U.S. and Texas Constitution and Politics,36,172858,70,Government/Political Science,13126,2020-2021 Undergraduate Catalog
POLS,1337,"U.S. Government: Congress, President, and Courts",36,172859,70,Government/Political Science,13126,2020-2021 Undergraduate Catalog
POLS,2336,"U.S. and Texas Constitutions, Politics, and Institutions",36,173623,70,Government/Political Science,13126,2020-2021 Undergraduate Catalog
AAMS,2300,Introduction to Asian American Studies,36,170888,80,Social and Behavioral Sciences,13127,2020-2021 Undergraduate Catalog
ANTH,1300,Introduction to Anthropology,36,169973,80,Social and Behavioral Sciences,13127,2020-2021 Undergraduate Catalog
