catoid,catalog_title,classification,page_number,coid,course_title
36,2020-2021 Undergraduate Catalog,undergraduate,1,169985,ANTH 3316 -  Society and Culture of India
36,2020-2021 Undergraduate Catalog,undergraduate,1,169986,ANTH 3324 -  Peoples and Culture of Latin America
36,2020-2021 Undergraduate Catalog,undergraduate,1,169887,ACCT 2301 -  Principles of Financial Accounting
36,2020-2021 Undergraduate Catalog,undergraduate,1,169888,ACCT 2302 -  Principles of Managerial Accounting
36,2020-2021 Undergraduate Catalog,undergraduate,1,169889,ACCT 3377 -  Cost Accounting
36,2020-2021 Undergraduate Catalog,undergraduate,1,169890,ACCT 3366 -  Financial Reporting Frameworks
36,2020-2021 Undergraduate Catalog,undergraduate,1,169891,ACCT 3367 -  Intermediate Accounting I
36,2020-2021 Undergraduate Catalog,undergraduate,1,169892,ACCT 3368 -  Intermediate Accounting II
36,2020-2021 Undergraduate Catalog,undergraduate,1,169893,ACCT 3371 -  Accounting Information Systems
36,2020-2021 Undergraduate Catalog,undergraduate,1,169896,ACCT 4198 -  Independent Study
36,2020-2021 Undergraduate Catalog,undergraduate,2,169898,ACCT 4330 -  Advanced Accounting
36,2020-2021 Undergraduate Catalog,undergraduate,2,169899,ACCT 4331 -  Federal Income Tax-Individual
36,2020-2021 Undergraduate Catalog,undergraduate,2,169900,ACCT 4332 -  Corporate Taxation
36,2020-2021 Undergraduate Catalog,undergraduate,2,169901,ACCT 4335 -  Financial Statement Auditing
36,2020-2021 Undergraduate Catalog,undergraduate,2,169902,ACCT 4396 -  Accounting Internship
36,2020-2021 Undergraduate Catalog,undergraduate,2,169904,ACCT 4375 -  Internal Audit and Entity Control Environment
36,2020-2021 Undergraduate Catalog,undergraduate,2,169906,ACCT 4378 -  Oil and Gas Accounting I
36,2020-2021 Undergraduate Catalog,undergraduate,2,169907,ACCT 4379 -  Enterprise Risk Management
36,2020-2021 Undergraduate Catalog,undergraduate,2,169908,ACCT 4380 -  Control & Security of Financial Information: Theory and Practice
36,2020-2021 Undergraduate Catalog,undergraduate,2,169909,ACCT 4397 -  Selected Topics in Accounting
36,2020-2021 Undergraduate Catalog,undergraduate,3,169910,ACCT 4398 -  Independent Study
36,2020-2021 Undergraduate Catalog,undergraduate,3,169911,ACCT 5330 -  Advanced Accounting
36,2020-2021 Undergraduate Catalog,undergraduate,3,169912,ACCT 5331 -  Federal Income Tax - Individual
36,2020-2021 Undergraduate Catalog,undergraduate,3,169913,ACCT 5332 -  Corporate Taxation
36,2020-2021 Undergraduate Catalog,undergraduate,3,169914,ACCT 5335 -  Financial Statement Auditing
36,2020-2021 Undergraduate Catalog,undergraduate,3,169915,ACCT 5337 -  Management Accounting
36,2020-2021 Undergraduate Catalog,undergraduate,3,169916,ACCT 5367 -  Intermediate Accounting 1
36,2020-2021 Undergraduate Catalog,undergraduate,3,169917,ACCT 5368 -  Intermediate Accounting 2
36,2020-2021 Undergraduate Catalog,undergraduate,3,169918,ACCT 5371 -  Accounting Information Systems
36,2020-2021 Undergraduate Catalog,undergraduate,3,169919,ACCT 5376 -  Advanced Financial Statement Auditing
36,2020-2021 Undergraduate Catalog,undergraduate,4,169920,ACCT 5377 -  Government and Nonprofit Accounting
36,2020-2021 Undergraduate Catalog,undergraduate,4,169921,ACCT 5397 -  Selected Topics in Accounting
36,2020-2021 Undergraduate Catalog,undergraduate,4,169923,AAS 2320 -  Introduction to African American Studies
36,2020-2021 Undergraduate Catalog,undergraduate,4,169925,AAS 2330 -  Black Liberation Theology
36,2020-2021 Undergraduate Catalog,undergraduate,4,169926,AAS 3301 -  Hip Hop History and Culture
36,2020-2021 Undergraduate Catalog,undergraduate,4,169927,AAS 3307 -  African Spiritual Transformation in the Social Sciences
36,2020-2021 Undergraduate Catalog,undergraduate,4,169928,AAS 3310 -  African American Experience through Theatre
36,2020-2021 Undergraduate Catalog,undergraduate,4,169929,AAS 3330 -  African American Studies Oral History and Field Research
36,2020-2021 Undergraduate Catalog,undergraduate,4,169930,AAS 3340 -  Seminar in African American Sociolinguistics
36,2020-2021 Undergraduate Catalog,undergraduate,4,169931,AAS 3348 -  African Americans and the Law
36,2020-2021 Undergraduate Catalog,undergraduate,5,169932,AAS 3350 -  Slavery and Race Relations in the African Diaspora
36,2020-2021 Undergraduate Catalog,undergraduate,5,169933,AAS 3354 -  African Nationalist Thought and Ethics in the U.S.
36,2020-2021 Undergraduate Catalog,undergraduate,5,169934,AAS 3356 -  Africana Thought and Philosophy
36,2020-2021 Undergraduate Catalog,undergraduate,5,169935,AAS 3379 -  Africana Oratory
36,2020-2021 Undergraduate Catalog,undergraduate,5,169936,AAS 4300 -  African Philosophy
36,2020-2021 Undergraduate Catalog,undergraduate,5,169937,AAS 4330 -  The Black Church in America
36,2020-2021 Undergraduate Catalog,undergraduate,5,169938,AAS 4370 -  Seminar in African American Studies
36,2020-2021 Undergraduate Catalog,undergraduate,5,169939,AAS 4373 -  Black Leaders of the Twentieth Century
36,2020-2021 Undergraduate Catalog,undergraduate,5,169940,AAS 4377 -  Seminar on W.E.B. DuBois
36,2020-2021 Undergraduate Catalog,undergraduate,5,169941,AAS 4440 -  Model African Union Seminar
36,2020-2021 Undergraduate Catalog,undergraduate,6,169942,AFSC 1201 -  Foundations of the USAF I
36,2020-2021 Undergraduate Catalog,undergraduate,6,169943,AFSC 1202 -  Foundations of the USAF II
36,2020-2021 Undergraduate Catalog,undergraduate,6,169944,AFSC 2201 -  Evolution of Air Power I
36,2020-2021 Undergraduate Catalog,undergraduate,6,169945,AFSC 2202 -  Evolution of Air Power II
36,2020-2021 Undergraduate Catalog,undergraduate,6,169946,AFSC 3301 -  Air Force Leadership Studies I
36,2020-2021 Undergraduate Catalog,undergraduate,6,169947,AFSC 3302 -  Air Force Leadership Studies II
36,2020-2021 Undergraduate Catalog,undergraduate,6,169948,AFSC 3801 -  Field Training
36,2020-2021 Undergraduate Catalog,undergraduate,6,169949,AFSC 4301 -  National Security Affairs I
36,2020-2021 Undergraduate Catalog,undergraduate,6,169950,AFSC 4302 -  National Security Affairs II
36,2020-2021 Undergraduate Catalog,undergraduate,6,169955,ASLI 1301 -  Elementary American Sign Language I
36,2020-2021 Undergraduate Catalog,undergraduate,7,169956,ASLI 1302 -  Elementary American Sign Language II
36,2020-2021 Undergraduate Catalog,undergraduate,7,169958,ASLI 2301 -  Intermediate American Sign Language I
36,2020-2021 Undergraduate Catalog,undergraduate,7,169959,ASLI 2302 -  Intermediate American Sign Language II
