catoid,catalog_title,page_number,coid,course_title
34,2019-2020 Undergraduate Catalog,1,164989,ACCT 2331 -  Accounting Principles 1 - Financial
34,2019-2020 Undergraduate Catalog,1,164990,ACCT 2332 -  Accounting Principles 2 -Managerial
34,2019-2020 Undergraduate Catalog,1,164991,ACCT 3377 -  Cost Accounting
34,2019-2020 Undergraduate Catalog,1,164992,ACCT 3366 -  Financial Reporting Frameworks
34,2019-2020 Undergraduate Catalog,1,164993,ACCT 3367 -  Intermediate Accounting I
34,2019-2020 Undergraduate Catalog,1,164994,ACCT 3368 -  Intermediate Accounting II
34,2019-2020 Undergraduate Catalog,1,164995,ACCT 3371 -  Accounting Information Systems
34,2019-2020 Undergraduate Catalog,1,164996,ACCT 3399 -  Senior Honors Thesis
34,2019-2020 Undergraduate Catalog,1,164997,ACCT 4399 -  Senior Honors Thesis
34,2019-2020 Undergraduate Catalog,1,164998,ACCT 4198 -  Independent Study
34,2019-2020 Undergraduate Catalog,2,165000,ACCT 4330 -  Advanced Accounting
34,2019-2020 Undergraduate Catalog,2,165001,ACCT 4331 -  Federal Income Tax-Individual
34,2019-2020 Undergraduate Catalog,2,165002,ACCT 4332 -  Corporate Taxation
34,2019-2020 Undergraduate Catalog,2,165003,ACCT 4335 -  Financial Statement Auditing
34,2019-2020 Undergraduate Catalog,2,165004,ACCT 4396 -  Accounting Internship
34,2019-2020 Undergraduate Catalog,2,165005,ACCT 4344 -  Financial Statement Analysis
34,2019-2020 Undergraduate Catalog,2,165006,ACCT 4375 -  Internal Audit and Entity Control Environment
34,2019-2020 Undergraduate Catalog,2,165007,ACCT 4377 -  Government and Nonprofit Accounting
34,2019-2020 Undergraduate Catalog,2,165008,ACCT 4378 -  Oil and Gas Accounting I
34,2019-2020 Undergraduate Catalog,2,165009,ACCT 4379 -  Enterprise Risk Management
34,2019-2020 Undergraduate Catalog,3,165010,ACCT 4380 -  Control & Security of Financial Information: Theory and Practice
34,2019-2020 Undergraduate Catalog,3,165011,ACCT 4397 -  Selected Topics in Accounting
34,2019-2020 Undergraduate Catalog,3,165012,ACCT 4398 -  Independent Study
34,2019-2020 Undergraduate Catalog,3,165013,ACCT 5330 -  Advanced Accounting
34,2019-2020 Undergraduate Catalog,3,165014,ACCT 5331 -  Federal Income Tax - Individual
34,2019-2020 Undergraduate Catalog,3,165015,ACCT 5332 -  Corporate Taxation
34,2019-2020 Undergraduate Catalog,3,165016,ACCT 5335 -  Financial Statement Auditing
34,2019-2020 Undergraduate Catalog,3,165017,ACCT 5337 -  Management Accounting
34,2019-2020 Undergraduate Catalog,3,165018,ACCT 5367 -  Intermediate Accounting 1
34,2019-2020 Undergraduate Catalog,3,165019,ACCT 5368 -  Intermediate Accounting 2
34,2019-2020 Undergraduate Catalog,4,165020,ACCT 5371 -  Accounting Information Systems
34,2019-2020 Undergraduate Catalog,4,165021,ACCT 5376 -  Advanced Financial Statement Auditing
34,2019-2020 Undergraduate Catalog,4,165022,ACCT 5377 -  Government and Nonprofit Accounting
34,2019-2020 Undergraduate Catalog,4,165023,ACCT 5397 -  Selected Topics in Accounting
34,2019-2020 Undergraduate Catalog,4,165024,AAS 1310 -  Introduction to Africana Culture
34,2019-2020 Undergraduate Catalog,4,165025,AAS 2320 -  Introduction to African American Studies
34,2019-2020 Undergraduate Catalog,4,165026,AAS 2322 -  Introduction to African Religions and Philosophy
34,2019-2020 Undergraduate Catalog,4,165027,AAS 2330 -  Black Liberation Theology
34,2019-2020 Undergraduate Catalog,4,165028,AAS 3301 -  Hip Hop History and Culture
34,2019-2020 Undergraduate Catalog,4,165029,AAS 3307 -  African Spiritual Transformation in the Social Sciences
34,2019-2020 Undergraduate Catalog,5,165030,AAS 3310 -  African American Experience through Theatre
34,2019-2020 Undergraduate Catalog,5,165031,AAS 3330 -  African American Studies Oral History and Field Research
34,2019-2020 Undergraduate Catalog,5,165032,AAS 3340 -  Seminar in African American Sociolinguistics
34,2019-2020 Undergraduate Catalog,5,165033,AAS 3348 -  African Americans and the Law
34,2019-2020 Undergraduate Catalog,5,165034,AAS 3350 -  Slavery and Race Relations in the African Diaspora
34,2019-2020 Undergraduate Catalog,5,165035,AAS 3354 -  African Nationalist Thought and Ethics in the U.S.
34,2019-2020 Undergraduate Catalog,5,165036,AAS 3356 -  Africana Thought and Philosophy
34,2019-2020 Undergraduate Catalog,5,165037,AAS 3379 -  Africana Oratory
34,2019-2020 Undergraduate Catalog,5,165038,AAS 4300 -  African Philosophy
34,2019-2020 Undergraduate Catalog,5,165039,AAS 4330 -  The Black Church in America
34,2019-2020 Undergraduate Catalog,6,165040,AAS 4370 -  Seminar in African American Studies
34,2019-2020 Undergraduate Catalog,6,165041,AAS 4373 -  Black Leaders of the Twentieth Century
34,2019-2020 Undergraduate Catalog,6,165042,AAS 4377 -  Seminar on W.E.B. DuBois
34,2019-2020 Undergraduate Catalog,6,165043,AAS 4440 -  Model African Union Seminar
34,2019-2020 Undergraduate Catalog,6,165044,AFSC 1201 -  Foundations of the USAF I
34,2019-2020 Undergraduate Catalog,6,165045,AFSC 1202 -  Foundations of the USAF II
34,2019-2020 Undergraduate Catalog,6,165046,AFSC 2201 -  Evolution of Air Power I
34,2019-2020 Undergraduate Catalog,6,165047,AFSC 2202 -  Evolution of Air Power II
34,2019-2020 Undergraduate Catalog,6,165048,AFSC 3301 -  Air Force Leadership Studies I
34,2019-2020 Undergraduate Catalog,6,165049,AFSC 3302 -  Air Force Leadership Studies II
34,2019-2020 Undergraduate Catalog,7,165050,AFSC 3801 -  Field Training
34,2019-2020 Undergraduate Catalog,7,165051,AFSC 4301 -  National Security Affairs I
34,2019-2020 Undergraduate Catalog,7,165052,AFSC 4302 -  National Security Affairs II
34,2019-2020 Undergraduate Catalog,7,165053,"AMER 3300 -  The Americas: Identity, Culture, and Power"
34,2019-2020 Undergraduate Catalog,7,165054,AMER 3390 -  American Cultural Internship
34,2019-2020 Undergraduate Catalog,7,165055,AMER 3398 -  Independent Study
34,2019-2020 Undergraduate Catalog,7,165056,AMER 4300 -  Senior Seminar in American Cultures
34,2019-2020 Undergraduate Catalog,7,165057,ASLI 1301 -  Elementary American Sign Language I
34,2019-2020 Undergraduate Catalog,7,165058,ASLI 1302 -  Elementary American Sign Language II
34,2019-2020 Undergraduate Catalog,7,165059,ASLI 1310 -  Fingerspelling in American Sign Language
34,2019-2020 Undergraduate Catalog,8,165060,ASLI 2301 -  Intermediate American Sign Language I
34,2019-2020 Undergraduate Catalog,8,165061,ASLI 2302 -  Intermediate American Sign Language II
34,2019-2020 Undergraduate Catalog,8,165063,ASLI 2335 -  Multiculturalism & Diversity in ASL Interpreting
34,2019-2020 Undergraduate Catalog,8,165064,ASLI 3430 -  Consecutive Interpreting and Translation
34,2019-2020 Undergraduate Catalog,8,165065,ASLI 3333 -  Simultaneous Interpreting: Foundational Skills
34,2019-2020 Undergraduate Catalog,8,165067,ASLI 3460 -  Advanced American Sign Language
34,2019-2020 Undergraduate Catalog,8,165068,ASLI 4335 -  Advanced Interpreting Techniques and Skills in ASL/English
34,2019-2020 Undergraduate Catalog,8,165069,ASLI 4346 -  American Sign Language Transliteration and Educational Interpreting
34,2019-2020 Undergraduate Catalog,8,165071,ASLI 4368 -  Comparative study of ASL and English Linguistics
34,2019-2020 Undergraduate Catalog,8,165072,ASLI 4397 -  Selected Topics in American Sign Language Interpreting
34,2019-2020 Undergraduate Catalog,9,165073,ASLI 4398 -  Independent Study: Tri-lingual Interpreting
34,2019-2020 Undergraduate Catalog,9,165074,ASLI 4489 -  Service Learning - Internship
34,2019-2020 Undergraduate Catalog,9,165075,ANTH 1300 -  Introduction to Anthropology
34,2019-2020 Undergraduate Catalog,9,165076,ANTH 2301 -  Introduction to Physical Anthropology
34,2019-2020 Undergraduate Catalog,9,165077,ANTH 2302 -  Introduction to Cultural Anthropology
34,2019-2020 Undergraduate Catalog,9,165078,ANTH 2303 -  Introduction to Archaeology
34,2019-2020 Undergraduate Catalog,9,165079,ANTH 2304 -  Introduction to Language and Culture
34,2019-2020 Undergraduate Catalog,9,165080,ANTH 2395 -  Selected Topics in Cultural Anthropology
34,2019-2020 Undergraduate Catalog,9,165081,ANTH 3304 -  Demographic Anthropology
34,2019-2020 Undergraduate Catalog,9,165082,ANTH 3305 -  Psychological Anthropology
34,2019-2020 Undergraduate Catalog,10,165083,ANTH 3306 -  Sex and Culture
34,2019-2020 Undergraduate Catalog,10,165084,ANTH 3310 -  North American Indians
34,2019-2020 Undergraduate Catalog,10,165085,ANTH 3312 -  Mexican-American Culture
34,2019-2020 Undergraduate Catalog,10,165087,ANTH 3316 -  Society and Culture of India
34,2019-2020 Undergraduate Catalog,10,165088,ANTH 3324 -  Peoples and Culture of Latin America
34,2019-2020 Undergraduate Catalog,10,165089,ANTH 3338 -  Peoples of Africa
34,2019-2020 Undergraduate Catalog,10,165090,ANTH 3341 -  Cultural Ecology
